comment,cosine similarity
"Do you work 40 hours a week? Do you know when you'll be working? Are you well compensated for being on call or do you work for free when you tele-commute? Are you sent home without pay if it's slow or required to clock out but remain on the job site just in case there's an influx of customers? This article isn't about high tech industry or white collar workers being on call. Everyone knows that there are certain industries that require this. It is about places like Wal-Mart, McDonalds, Home Depot and other lower wage employers who schedule work hours so erratically that you don't know when you'll be working or even IF you'll be working any given week.<br/>Sorry, this article isn't about you!",0.956673029325405
"Being an engineer is fine, but engineering or STEM fields relegate you to worker-bee status with some perks. I left my second job in engineering around 3 years ago at 26 and went into consulting with app/big data/good business skills and it has landed me a lot of fortune 20 gigs presenting my work to c-level/vp level at these companies. I had the same situation: I told my current employer, pay me 55% more or I'm leaving. The best they could do is 15%. I walked out the next day.<br/><br/>And this is the job market for those with in-demand skills, just ask your price. Can you blame people in this position for abusing it? The thing is, most people in this position have honed their skills and put a lot of weekends of work in to get to the point which they are so much better than everyone else. I work 15-17 hour days, and while one might be off enjoying a Sunday soccer game with the kids, I'm most likely working.<br/><br/>The idea here is, go get yourself some skills which allow you to have an extreme amount of power over employers.",0.95639873031407
"I have a high tech job at a leading high tech F500 firm.  like most of our peer companies, our job performance is reviewed by our quality of work, not necessarily quantity.  I rarely work nights/weekends unless I'm meeting with colleagues in opposite time zones to find a compromise.  My stress level is very low, and my morale and motivation are excellent.  I've had more time to spend with my family and personal life than any other time in my 15 year career because I've learned to manage myself and my manager.<br/>With all the talent and skillsets the fresh-out-of-college workforce can bring to a company, it's softskills and personal skills (time management?) where they are severely lacking.  My counterpart who was hired one year before me worked nights/weekends and was a constant suck-up to mgmt and a real go-getter whose plate was far fuller than mine was.  This person was let go last year and those responsibilities were given to me.  I haven't had to work a single after hour to wrap up those projects.  A tip to the inexperienced: trust your team and respect everybody, don't be the smartest person in the room, delegate but share in success/failures, have your projects and deliverables under control and your boss will notice.  Let your work speak for you.",0.955191178566295
"I find it rather disingenuous that Bezos is not aware of this culture at his company.   My gut tells me that he knows exactly what is going on, but that he just doesn't see that there is anything wrong with it.    And those that are complaining are just whiners.   Since more and more companies are going in this direction and many are expected to work at least 50 hours a week, I think its time for the Department of Labor to step in and provide some protection the way that non-exempt employees have.    Too many companies are trying to skirt the law by making people ""managers"" or ""contractors"" so they can work them without having to provide compensation.    And they need to take into account the technology tether that most employers now just expect.   Already the wealth gap is exploding in favor of the 1% despite increases in productivity.     But that isn't enough apparently.<br/><br/>We need the DOL to come in and require employers to pay ALL employees and contract workers for the hours they work AND are required to be onsite, including time and a half and double time.   These companies may become a better place to work if they have to think twice about demanding that extra report or that whatever at 4:00 pm on a Friday.",0.954151121942419
"""1. In today's tech climate, some companies don't wish to pay their employees 150K or 120K for skills that can be outsourced for cost of 85-90K. Edison and Disney have outsourced some of their IT work, and quality of this outsourced work may or may not suffer.""<br/><br/>Next time you go to your bank and the ATM crashes or your supermarket and the check out aisle is down because of a computer glitch you remember you said these words. <br/><br/>The point is, as many of us can tell you, the quality is not there. And it's getting worse every day. For an example, we did an assessment for a large printer company that had hundreds of Indian contractors from Wipro. The company software had an invoice engine that took 24 hours to deliver an invoice. Imagine that. 24 hours to deliver a single one page invoice. This had been developed by the folks from Wipro and by anecdotal accounts had worked like this for 2 years.  We went in, and in 6 weeks of work (2 people) redid the software, added a few custom enhancements and the thing not only delivered an invoice in a few seconds, it had added functionality. We bid on another project and the this large printer company decided to use Wipro. <br/><br/>Does this make sense to you? If it does you're a candidate for corporate management. ",0.953911281263714
"It's not just women that are affected by HR specifying last salary or rate. I was one of those victims. Like a good employee I worked hard. I was in manufacturing for almost 20 years. My pay fell farther and farther behind my peers. Finally, I was making $60k/year while I was worth $90k/year. A recruiter told me honestly that I could never expect to be paid what I was worth because HR departments wouldn't offer more than 5% above my last salary.<br/>I quit engineering for 2 years and worked as an editor. I'd get calls:""Don't you want to be in engineering?"" Not at $65k a year, I'd reply. I made that much as an editor and back in engineering, I'd be working 50-70 hours a week for less per hour than I made as an editor.<br/>Finally, a former colleague who recognized my value offered me a job at a fair rate. I've been a contract engineer ever since. I don't work full time but at least I get paid for my hours. I was treated as expendable anyway with these manufacturers. None of the engineers I surveyed for the magazine ever wanted to go back into production.<br/>I think it is criminal to restrict pay by allowing HR access to information on your last position. Your resume should stand out on its own merits. Eventually, mine did.",0.95340792932341
"I was thrilled when I was hired as a manager by Amazon.  I lasted about 6 months.  I was working 6 -7 days a week, 12 -14 hours a day and getting called frequently when ""off duty"" when I finally quit.  The joke that I often heard during my tenure with Amazon was ""Work life balance is for those who don't like work.""  That pretty much sums up Amazon's culture.  Most of the other managers I knew were either waiting to complete their first year so that they could quit without having to pay back their signing bonus, or they were waiting for their latest stock award to vest so they could quit.  It seemed like most everybody was counting down toward a quitting date.  The NYT article is spot on regarding the pressures put on the white collar/managerial workers at Amazon.  The Times should do a follow-on article focusing on the plight of the poor hourly workers toiling in Amazon's fulfillment centers in sweat-shop-like conditions for paltry wages so folks can get their dog food, toilet paper, and other ""stuff"" delivered to their door steps.  The pressure put on those folks is intense, especially during ""Peak Season.""  I don't think Amazon's current work force model can be sustained.  At some point I think enough people, both customers and potential employees, are going to realize how immoral and exploitative Amazon's culture is.  Hopefully Amazon will not have run all of the mom and pop and brick and mortar retailers out of business before then.  ",0.953193030762709
"I am a software consultant, working around different companies that have large Tech teams. These days, most of them have 'Temporary' consultants. The contract period of the 'Temporary' consultants get extended every 6 months or so, and there are temporary guys working for 10 or so years! <br/><br/>The rules and facilities provided to Regulars and Temps are different. Most of the time, the Temps are aspiring immigrants.<br/><br/>Yes, the industry is promoting  a club culture, but most of the time for their Regulars. The hard work is accomplished by hiring these Temps. While the Regulars are vacationing, or 'busy' attending meetings, the Temps are doing the actual work.<br/><br/>This is how other folks in the industry afford to be a 'club', and yet be competitive.<br/><br/>If Amazon treats all of its Employees like 'Temps', and provides an equal platform, what is wrong?",0.951995464695003
"Not only do average jobs--like executive assistants or admins--now require a degree; those jobs are going away.  Group scheduling software, email and cellphones are eliminating the necessity for general office workers:  everyone, including most executives, now keeps their own calendar and screens their own calls.  Many other tasks can be outsourced overseas to cheaper labor.  There are more people and fewer jobs, thanks to automation.",0.951848893201109
"If you think its hard to start a business, try being an employee on the bottom rung of the economic ladder.  The issue here is corporations are using cut-out contracting firms to limit wage growth.  By adding a middle layer, the cut-out limits the corporations responsibilities and gives it plausible deniability.  The NRLB is simply stating that the corporations can't hide behind a contracting firm if the corporation is dictating how the business is run.  You say its hard to start a company, but try negotiating your employment contact when there are several levels of indirection between you and the company calling the shots.  Without a union to back you up, its a take it or leave it contract.  And if you think that's fair, well don't complain about the government giving you hard time.  Because it's take it or leave it.",0.950436211945251
