,comments,scores
0,"I never thought I'd say this, but please bring back Mr. Friedman ... or allow people like him to write ahead of deadlines to avoid cramming in distinctly ""minor league"" (totally out of his depth) subs by way of writers &amp; columns.<br/><br/>One can't help looking for words like ""parody"" or ""humor"" in connection with a column like Mr. Bruni's - that's how lame it is.<br/><br/>He MUST be aware (or he needs to be given a sabbatical to bring him up to date with America since 2000) that the primary voters in the Republican party skew way more conservative than even the increasingly ""average"" Republican voter. Compare those million powerful individuals to people who call themselves independent or people objectively ""intelligent"" and decent and ... there's no comparison. It's always tough to deal with bullies and bigots - we used to smirk at Berlusconi; was he better or worse than George Wallace?<br/><br/>Anyhow, with 15 candidates vieing to be Repub. #1, none of them have the courage or decency to take on Trump as an obvious non-friend of the party, F. Bruni, ostensibly counsels. In Iowa or NH - um, isn't the great state of S. Carolina an early-ish, important primary prize? - ticking off a few thousand bigots requires more courage than most of the Republican piglets have. (That's not an insult - it's as if there are 10 teats on the money pig, and some of the runts will be short-lived.)<br/><br/>Who was it who tackled Joe McCarthy? A far more courageous and decent individual than any of those 15 - that's for sure!",0.9919
1,"The oft-repeated argument I hear is that Hillary is electable, but Bernie is not.  Yet if I recall correctly about eight years ago this was the same justification for supporting Clinton's candidacy.  The MSM was trumpeting the inevitability of her nomination then as well.<br/><br/>It is early enough, and support for Sanders is strong enough, that I think dismissing his candidacy as anything other than one that will be legitimately contesting the nomination may ultimately make one look foolish.   Did Obama look any stronger than Sanders this time eight years ago?<br/><br/>I think Hillary Clinton's best shot was 2007.  She has tremendous political capital (and financial), but support for her seems to be listless.  Her candidacy reminds me of two previous ones:  Robert Dole (the sentiment that it was ""his turn"" to be president) and Mitt Romney (too much politicking, too little substance).<br/><br/>I happened to be living in Iowa in 2008, and I caucused for Obama.  Believe me, most of us who voted for him didn't think we were voting for the next president then (after all, a Clinton nomination was inevitable).  But we felt that we were making a stand for something we believed in, and it felt good to be excited about that.",0.9836
2,"With the presidential election approaching, the article “Who Is Running for President (and Who’s Not)?” interested me. With two different political parties and opposing candidates, each individual holds their own views on political, economic and social aspects. Donald Trump is aspiring to become president in 2016. Trump is an outspoken individual and believes that he has a “foolproof” method to defeat the Islamic State. Although a very strong candidate, his outspoken personality and motifs deem him unpopular among some of the population. Hillary Clinton is a Democrat candidate running for president. If elected, Clinton hopes to focus on economic issues and reforms for the middle class, specifically women. She aspires to demand a higher minimum wage, paid family and medical leave, childhood education, and affordable childcare. Clinton faces intense criticism from her opposing Republican candidates. The retired governor of Florida, Jeb Bush is joining the Republican presidential nomination. Bush not only wants his campaign to gain him support from Republicans, but also conservatives who are distressed about electing a candidate. Bush holds the powerful belief that “America deserves better.” He supports reform in aspects of the economy and government. Due to extreme respect for the Bush family, a tremendous amount of Republicans support Jeb Bush. Overall, this article was very interesting because I admire how each candidate from either party holds their own views on the nation.",0.9832
3,"Well, we have zipped past Pluto and took some amazing pictures, and more good information will be coming.  A bonus for us and for the human race in this raging era of greed.<br/><br/>If Biden zips past Hillary another bonus for us and the world.  <br/><br/>I have always admired and trusted Biden.  Not only would he make a good president, he might bring out our better selves and instead of greed winning all the time, decency and honor might prevail.  ",0.9808
4,"With ""friends"" like these, who needs enemies?  As a close follower, loyal supporter and (small) contributor to Joe Biden since 2007, I am confident that:<br/><br/>1. Joe Biden is completely cognizant of his tendency to ""go off the ranch"" with the occasional errant comment-- I've seen him speak to this with great humor. To suggest that Biden is unaware of this trait insults the man and his political acumen, and ignores his repeated successes as Vice President, as a leader in the Senate, on the campaign trail, and in campaign debates.<br/><br/>2. As the veteran of two unsuccessful presidential campaigns and two successful runs on the Obama-Biden ticket, Biden is no doubt aware of the money and staffing needed to mount a successful national campaign.  I agree that he should not enter the race without substantial financing on hand.  He is already at a deficit vis a vis Clinton-- and even Sanders-- and will have to overcome this late start.  I have no doubt that Biden can and must assess accurately the magnitude of this deficit, which grows daily.<br/><br/>3. It insults Biden and the American public to suggest that his legacy will be diminished by a presidential run or as POTUS.  Biden is widely admired for good reason: a strong record in the White House and in the Senate; unwavering support for ordinary Americans; and a good heart.  He is better qualified than his challengers to assume the presidency and has broad bipartisan support.<br/><br/>If Biden runs, I am in his corner.  Joe: decide soon and well. ",0.9774
5,"With ""friends"" like these, who needs enemies?  As a close follower, loyal supporter and (small) contributor to Joe Biden since 2007, I am confident that:<br/><br/>1. Joe Biden is completely cognizant of his tendency to ""go off the ranch"" with the occasional errant comment-- I've seen him speak to this with great humor. To suggest that Biden is unaware of this trait insults the man and his political acumen, and ignores his repeated successes as Vice President, as a leader in the Senate, on the campaign trail, and in campaign debates.<br/><br/>2. As the veteran of two unsuccessful presidential campaigns and two successful runs on the Obama-Biden ticket, Biden is no doubt aware of the money and staffing needed to mount a successful national campaign.  I agree that he should not enter the race without substantial financing on hand.  He is already at a deficit vis a vis Clinton-- and even Sanders-- and will have to overcome this late start.  I have no doubt that Biden can and must assess accurately the magnitude of this deficit, which grows daily.<br/><br/>3. It insults Biden and the American public to suggest that his legacy will be diminished by a presidential run or as POTUS.  Biden is widely admired for good reason: a strong record in the White House and in the Senate; unwavering support for ordinary Americans; and a good heart.  He is better qualified than his challengers to assume the presidency and has broad bipartisan support.<br/><br/>If Biden runs, I am in his corner.  Joe: decide soon and well. ",0.9774
6,"""[Hillary's Democratic opponents] can move further to her left (Sanders, in particular, won’t have trouble doing so), but then their campaigns will seem even more quixotic.""<br/><br/>Not true, Ross. A majority of Americans support raising taxes on the wealthy, their effective tax rates are the lowest in decades. They are opposed to the disastrous Citizens United decision and support moving to public funding of elections. They believe that college has become unaffordable for many young people. They believe that climate change is occurring and that it is caused by human activity.<br/><br/>How Mainstream is Bernie Sanders?<a href=""http://readersupportednews.org/opinion2/277-75/30463-how-mainstream-is-bernie-sanders"" title=""http://readersupportednews.org/opinion2/277-75/30463-how-mainstream-is-bernie-sanders"" target=""_blank"">http://readersupportednews.org/opinion2/277-75/30463-how-mainstream-is-b...</a><br/><br/>""Sanders’s positions are quite mainstream from the point of view of the stances of the American public in general. Of course, the 1%, for whom and by whom most mainstream media report, are appalled and would like to depict him as an outlier.<br/><br/>""On [Citizens United and public funding of elections], Bernie Sanders is the most mainstream of all the candidates The others are in a part of the political spectrum that by the polling represents a tiny lunatic fringe, in opposing significant campaign finance reform.<br/><br/>""[The Republican field of] climate change denialists are kooks, and if we had an honest media, it would call them kooks. Instead, Bernie Sanders, whose positions are shared by strong majorities of Americans, is being depicted as the one who is out of step.""<br/><br/>Bernie 2016!",0.9773
7,"While there are 17 Republican presidential candidates at present, sometime shortly after the first caucus or primary, one by one Republican candidates will begin announcing their withdrawal and the pundits will begin their count down to one (so they hope).  Problem is, it may not go that way at all.  There is so much money in the game (including The Donald's own) that a fair number may hold out to what might be a free for all at their convention.  And Donald Trump may just be the king maker of not the king by then.  <br/><br/>Trump will not make a third party run, because he wants to be king or king maker.  Running as an independent will remove him from the Republican fray and cost him fame and fortune.  I believe Mr. Trump will be at the convention, and Republicans with no clear winner may be forced to vote for him.  Everyone says he will not be the Republican nominee.  That is wishful thinking.<br/><br/>As for the ""debate"" commentators, that was Fox saying look at me, I can be legit.  The three played more like a beauty contest that a serious political event.  And they are right.  With so many Republicans with no chance in the running, playing as the circus that it currently is was the best way to get good ratings. <br/><br/>Donald Trump may well be the Republican nominee, and serious Republicans will be saying ""What do we do now?""   ",0.9739
8,"Sometimes age is a good thing--in those who've gained wisdom from experience, and have learned what's really important--such as serving a higher calling rather than their own personal ambition.  I heard Senator Sanders speak at a house party in West Branch, IA, and was electrified by his energy, charisma, charm and wit--as were all those assembled to hear him.  HIS AGE IS NOT AN ISSUE!  I repeat his response to the final questioner, for those cynics who can't imagine anything but business as usual.  The questioner stated agreement with all of Senator Sanders' views, but asked how he will implement them in the gridlocked Congress.  He responded, something to the effect, ""President Obama is a friend of mine.  And he ran a campaign that will go down in history for the way it engaged the grassroots. But President Obama made one mistake.  Once he was elected he said to all of you, 'Thanks.  I'll take it from here.'  The difference is that when I get elected, that's when your work will start.  I need all of your support and activism every day on every issue, so that when I am trying to convince Mitch McConnell to change position on a given issue, I can point out the window and say, 'See? All these people are with me.  You oppose me at your peril.'""",0.9734
9,"Hillary has a liability that seems unique among recent major candidates for president.  The more people know her the less they like her.  This was true in 2008, hence the Obama ""likeable enough"" comment in New Hampshire. This is the reason the Clinton campaign is loath to let her out on the stump except in the most controlled situation.  This may worked in a typical campaign season but as we are seeing the never ending campaign it is hard to image how her handlers can protect her long enough to lock up the nomination.  While see is certainly a big favorite against any currently announced democratic rival I am starting to think she is at best even money against a field which may include Biden and/or other well know democrats.",0.9715
