,comments,scores
0,"Thanks to President Obama -- millions of people now have healthcare who didn't.  It will be part of his legacy that he was the President who like Lyndon Johnson with Medicare and the Voting Rights Act and FDR and the introduction of Social Security -- did the most to help the majority of Americans who are not part of the 1% and never will be.   Three great Presidents, three great Americans who did the ""right thing.""<br/><br/>The names of the three ""justices"" who voted against should be emblazoned on the list of American scoundrels: Scalia, his toady Thomas, and Alito -- the day that all of them bite the dust and are off the court will be a great day.",0.9722
1,"He has been able to do great work, with great humility and grace, after he left the grueling and nasty work he had to do as president.  We still should honor him for the Dayton accord; his presence on the world stage; his unusual and original work on climate change and the emphasis on that issue even in his early presidency.  I totally understand how former presidents can make and do make a difference in the world.  For the life of me, I have not seen anything from the last three GOP presidents that would make me proud.  W. of course, needs to keep out of the public eye, and I think he understands that, although he does have a very good record on AIDS work in Africa.  Somehow I don't believe the GOP would like to make that point.  Reagan had Alzheimer, and frankly, nothing stands out about GW.  ",0.967
2,"Mr. Ramsey only included part of the President's statement during that panel:<br/><br/>""And that is not something that -- for me to have that conversation [about parenting] does not negate my conversation about the need for early childhood education, or the need for job training, or the need for greater investment in infrastructure, or jobs in low-income communities. <br/><br/>So I’ll talk till you're blue in the face about hard-nosed, economic macroeconomic policies, but in the meantime I’ve got a bunch of kids right now who are graduating, and I want to give them some sense that they can have an impact on their immediate circumstances, and the joys of fatherhood.""<br/><br/>Obama is right on the money. There's society, and the individual. Mr. Obama is not blaming black Americans. He is saying he will work on the macro side for justice, but that each of us has a responsibility to live in such away that advances justice in our personal sphere. That seems entirely correct and reasonable to me. ",0.9645
3,"I listened to President Obama's speech. He has a well laid out arguments for my California senators to support.  I would write to them to support.  Also, in my opinion president earned his Noble peace prize if he succeeds in implementing the agreement",0.9638
4,"What I find interesting is the extent to which Jeb is using the some of the same strategies as his bother and father. Why not? It worked for them. Emphasize the supposed ""compassion"" in conservatism. Claim to be a ""uniter"". Present oneself as sympathetic to issues of people from the Spanish-speaking Western Hemisphere. Maybe Jeb speaks Spanish, but the Bush's sure did lie about George speaking Spanish. Claim that the candidate was an amazing governor. Remember how George was this great education governor? The press didn't bother to vet out the true on that until after George was elected. The policies with Jeb will be the same policies the Republicans have been peddling for many years. Always cut taxes on upper income no matter what. Always support unrestrained spending on the military. Turn regulatory agencies into subsidiaries of the industries they regulate. And, of course, Tora, Tora, Tora!",0.9626
5,"I heard Pres. Carter speak once at the Carter Center and was impressed with his humor, intelligence, and humility.  We were fortunate to have him as president and his accomplishments including the Camp David accord, emphasis on energy and the environment, as well as the Panama Canal treaty and SALT.  The successful negotiations to release the Iranian hostages were by Pres. Carter and his administration although the actual release followed Reagan's inauguration.  No Reagan officials participated in the negotiations which were virtually complete by his administration.<br/><br/>Pres. Carter is a very fine man, and one whom I suspect is close to a living saint, especially for his dedication to peace, the eradication of disease in Africa, and democracy itself.",0.9606
6,"Legacy indeed:  ""My administration will be the most transparent in history.""  Trade deal drafted in secret.  Muslim video responsible for 9/11 Bengazi.  If you like your doctor and health insurance you can keep it.  The private sector is doing just fine, and after all, they didn't build that business, someone else made that happen.  Declining working class income.  Record numbers on public assistance.  Incredible gains in wealth for the super rich.  A make believe economy run by the FED.  If I had a son, he would look like Trayvon.  Desperate Americans cling to their guns and religion.  Barry, the most divisive leader in US history.  They are coming for capitalism next...",0.9578
7,"JAP,<br/>I do agree with you about the Syria blunder, not the ""redline,"" but saying that Assad must go. Also he was wrong in participating in the Libya bombing campaign. Both were horrible.<br/><br/>But I am an admirer and ardent supporter of president Obama. I'm sure he regrets it. I wish he apologized to the Syrians. The Benghazi  incident is a Republican creation, in search of a scandal. There's nothing in it.<br/><br/>The Iran nuclear agreement is also a big deal, may even be as large as ""Obamacare."" In the large scheme of things, Obama will be seen as a transformational president. I hope, just a hope, not an expectation, his presidency will reverse the disastrous Reagan revolution.",0.9568
8,"My first presidential vote went to Jimmy Carter solely on his promise - which he kept - to pardon all the Vietnam War draft refusers. Far beyond that, what this nation got was not only promises kept but a man whose honesty, conviction, faith and selflessness has done every American proud and set an example I wish was the standard for our society. ",0.9428
9,"Jeb needs to play to his own strengths and act like Trump is not barrelling all over him.  He is a seemingly nice guy who was governor and should be a lock ovote.  Trump is defying gravity - things that would destroy lesser men, like offending important demographics like women or people from Mexico, work to his advantage and that is because everyone already knows all his flaws but they aren't' so sure about everyone else.  Better the devil you know.  He is also easy to understand - I am bringing back the American Dream, big time - instead of droning on about real-world policy issues like the real politicians.  It's hard to explain real policy in the Twitterverse and people these days have a short attention span.  Some snappy policy slogans and confidence might help the rest of them.",0.9407
