,comments,scores
0,Schemer was one leader I thought was sensible and reasonable but he has proved me wrong.<br/>He has sold his soul for some petty gain. Instead of convincing his Jewish friends he has joined them.<br/>Well I hope the electorate make this his last term,0.9428
1,"""Equating celebrity with leadership and business with governance""<br/><br/>A rather broad statement that may be true or false or correct or incorrect or....what exactly. Perhaps the Times pickers  could explain, as the implied self-evident wisdom of the statement escapes me. Nor do I understand why I should accept that Trump supporters think whatever you say they think. <br/><br/>There is celebrity in leadership and business in governance. Do you agree?",0.9287
2,"I hope this will also make it more likely that health care providers won't assume that they know what a patient wants towards the end of their lives -- just framing it as a question with multiple possible answers would be a positive change, in my opinion, and would give an elderly person a better chance to express their choice and be less likely to feel railroaded.  My mother had me to help her make sure her wishes were heard, but it amazed me how many doctors didn't seem to want to listen.",0.9269
3,"I hope this will also make it more likely that health care providers won't assume that they know what a patient wants towards the end of their lives -- just framing it as a question with multiple possible answers would be a positive change, in my opinion, and would give an elderly person a better chance to express their choice and be less likely to feel railroaded.  My mother had me to help her make sure her wishes were heard, but it amazed me how many doctors didn't seem to want to listen.",0.9269
4,"I would agree.  Didn't vote for him, either, but he's clearly a talented, numbers-crunching manager and his integrity is not really in question.  And I guess George Mitchell is too old to take it on.",0.9209
5,"I'm at a loss to reconcile your account here with what actually is occurring, and has occurred, in the U.S. context you refer to. ""Educated"", as an adjective, obliges the individual it denotes to provide fair descriptions of events from which valid claims and sound conclusions emerge. You failed to meet that standard. That institutions, be they the U.S. Congress, the Supreme Court, or labour unions, can be sources of corruption and wrong doing is not news. But they aren't inherently so, despite Paul Tillich's assertions to the contrary. When they are, it's because at their core, narrow interests have supplanted a broader disinterest, or, rather, a commitment to justice and fairness that emerges from upholding the public good. That's what's wrong currently. We are first and foremost members of the NRA, or ""educated middle class professionals"", and only secondly citizens with broader responsibilities to the culture than our own narrow self interests. ",0.8957
6,"Mr. Fishman answers questions in defense mode. Questions about the need for change are put off into a vague, expensive, and cumbersome future, and meanwhile the virtues of the status quo -- cheap food! jobs! free markets! -- are raised to put out any remaining fires.<br/><br/>He is an apologist, not a critic. It would be nice to have a critic to balance out Mr. Fishman's ""leave it alone for now"" stance.",0.8751
7,"This seems like a bad set of analysis. First Appiah says I'm puzzled, like it's difficult to understand how displaying ivory jewelry might inspire people to seek out ivory. The antique designation is irrelevant in that respect. It's not going to have a sign saying this was before or after the ban. Bloom thinks it's OK because it was before the ban and it doesn't matter what other people think. Focusing on the effective date of the ban implies that it was OK on one day, but not on the next one.Apply the same logic to issues like slavery, segregation, etc.; it doesn't hold up. Her other proposition that everything has a distasteful background it disingenuous. That's not established, but the sourcing process for ivory is clear. While I find Yoshino more acceptable, wearing it only in private seems just a little weird. I acknowledge the challenges of the question, but I think the best recommendation would be to wear it discreetly, and if you are aware of someone noticing it, start a dialogue. ",0.8616
8,"Sadly, I cheered his zing back at Megyn. She certainly had it coming. While the question subject was sort of legitimate, the way it was phrased was emphatically designed to indite and convict before a response could be offered. Bizarrely, it appears that his response that most of the words were from a catfight with Rosie O'donnell was accurate (I had thought he had just thrown it out there before fact checking.) Unlike other questions, the subject of treatment of women was not asked the others, who mostly seemed thrilled to commit a woman to death to avoid risking the health of a fetus and even happier to ensure that poor women would have no place to go for medical care by defunding Planned Parenthood. <br/><br/>Yes, maybe Trump (who will not get the chance to be a terrible president) could have been more politically correct toward someone asking a clearly biased question, and we want more deliberation and fineness from our Diplomat in Chief and  Commander in Chief, but Megyn richly deserved at least a good zinging.",0.8393
9,"To answer truthfully you would need to be informed, and to that I am afraid you as well as most Americans are woefully misinformed. Sure the Greeks did much of what you say, but they did so with the guidance and cajoling from the likes of Goldman Sachs...a name I see nowhere on your post...<br/><br/>Americans just love to blame the little guy, we are such devout authoritarians. ",0.8302
