,comments,scores
0,"When Obama was asked about NSA spying on Americans, his TV media response was carefully structured with carefully chosen words.<br/>He said, paraphrasing a bit, that ""If you're a U.S. Person, you don't have to worry about being spied upon.""<br/>An odd turn of phrase, stilted, but telling, regardless. A quick look up in the United States Code, known as the USC, that includes, among other things, the Tax Code, the Healthcare Act, etc - one will find the curious definition of a U.S. Person that is used throughout the ENTIRE US Code.<br/>USC :Title 26 - Subtitle F - Procedure and Administration - Chapter 79 - Definitions - 26 USC § 7701 - Definitions:<br/>(30) United States person: The term “United States person” means:<br/>(A) a citizen or resident of the United States…<br/>Ah! Then…<br/>(9) United States: The term “United States”…includes ONLY the States and the District of Columbia…<br/>Hmmm! Okay…but…<br/>(10) State: The term “State” shall be construed to include the District of Columbia…<br/>…and ANY possession of the United States…which includes the Commonwealth of Puerto Rico, the Virgin Islands, Guam, and American Samoa…<br/>That's it? That's the US?<br/><br/>Yep. Obama was right: if you fit the above definitions, chances are you're a politician or a government worker living in those defined locations - and yes, you are not going to be spied upon. That's why the politicians don't really care about NSA spying.<br/>It doesn't affect them - so there's NO RISK.<br/><br/>But the rest of us aren't US persons, and we are fair game.",0.9795
1," <br/><br/>	i do say the words “kind of” and “sort of” often but i wouldn't say i over use them in a casual conversation. i expected that i used it more than what i realized after i read this article but i analyzed my speech but and i didn’t.  <br/><br/>	Recently, a recording of my voice was played and i noticed a couple things that i hadn’t noted before. first off, my voice doesn't sound the same in recording and as it does in my head the tone is different. Then, i also observed that i tend to speak quicker. they really didn't bother me they only changed the view i have of myself neither in a negative or a positive way <br/><br/>	Also, i do have a phrase i overly use. it would have to be the phrase “im not trippin” when refering to a situation also i use “ i mean i guess” in a sarcastic tone”. the way they are used is as fillers in conversation. <br/><br/>	Finally, the phrases “kind of” and “sort of” do not weaken language or make for wishy washy conversations. they are just the language evolving to fit the modern culture our way of speaking english is a lot different that english in colonial days. its just changing with the times and i don't see any problem with that.",0.9745
2,"Why, thanks for that, RiA and Deb.  I'm sitting here with coffee and wearing my pretty blouse (DHubby), reading funny cards (""You make the world a better place...partly by spreading kindness....partly by not being a serial killer."") and contemplating the implications of being 68.  Next up, see if the hummies like the new feeder (PhysicsDaughter) and water the lemon tree (ComputerSon).  Life is good.",0.946
3,"Male, PI, huge group....  I hope I'm aware, open, non-discriminatory, and unbiased, but I undoubtedly carry biases ""underneath"" which on my better days I try to ferret out.  The more we *all* hear such well-expressed analyses, the more we *all* will benefit.  I thank you.  ",0.928
4,"This charming article gave me a brief and delightful break from dealing with...email.  And oh that I may uncover Dan Kois's address, that I might have one of these so clever automissives....<br/><br/>Thank you! ",0.9146
5,"I've been watching Kelly and Micheal some mornings. For some reason, Kelly wants to wax a man's back on the show. So waxing was in my mind before I started this puzzle. I'll skip the show if they actually follow through.<br/><br/>Very nice puzzle, with good misdirection. I liked the clue for alimony, although I'm glad to have never been involved in that activity.",0.8885
6,Ahhh!!! The life of the privileged rich.  Nice little get together to let your dollars do some talking.,0.88
7,"We've gotten to where we are by a very simple dynamic. One political party, The Republican has—and evidently will—do nothing other than what it's always done. It has built a formidable political base around the simplest of all words: ""NO!""<br/><br/>There is not even a hint of a vision emanating from any part of the Republican Party.  Only ""NO!""<br/><br/>Therefore, what can be talked about?",0.8709
8,"Wow. This sums up my life neatly. Fresh out of college, just moved, unemployed, friendless, not knowing in the slightest what I'm doing.<br/><br/>I do hope it ends, as you say it does.",0.836
9,"It's only recently that I've ever had any luck with cryptics, so either they're getting easier or I'm getting smarter. I doubt each answer.<br/><br/>Can I get a confirmation on 8-Down as a synonym for ""view""? As in, a ""... on an issue""?<br/><br/>I had ""BATH"" for 1-Down: my reasoning was ""B at H."" I think I am wrong.<br/>Tough puzzle!<br/><br/>Deb asked for 'splaining:<br/><br/>15-Across held a word for feed - all but the first letter anyway - and was a synonym for stranger.<br/>10-Across: a synonym for huge. TIC holding (split apart by) one=I and TAN=whip.<br/>12-Across: a luncheonette worker is a COUNTERMAN, to cancel an order is to COUNTERMAND; ""finally had to"" refers - I think - to the word root MAND as in deMAND and MANDate at the back end of the answer.<br/>28-Across: a synonym for phony, ""tears spilled"" - part of the answer is an anagram of TEARS,, ""the end"" is Z.<br/><br/>I'd like to hear a 'splanation for 20-Across: I have a synonym for ""to sit on the throne"" but the rest of it doesn't make any sense to me.<br/><br/>For many of the answers, I found a word that fit and then gradually understood the clue, instead of the other way around.",0.8249
