,comments,scores
0,"It's quite possible the law of value in the fine dining restaurant business is unworkable. In other words, the price a restauranteur is required to sell his product to make a profit is not of good or fair value based on what the product offers the buyer. This explains why Mr. Arifai was getting from his customers, on average, ""less than half"" of what he would have priced his entrees. After all, it's only a piece of skate. There is only so much you can do to it to make a $12 value worth $25. (Foam?) The difference is sometimes called ambience. But how can that be achieved with the barbaric noise level you find in 90% of all restaurants. Can you really enjoy your loved one or friends in that environment? A couple easily pays over a hundred dollars for a mediocre meal nearly every time they go out. It's the worst deal in town. Instead, invite some friends over for whatever. Enjoy their company for real. And buy a good pair of shoes with the money you didn't waste on an illusion.",0.9827
1,"The word tapa means ""cover"" and it originally described the small piece of cheese or ham one used to cover a glass of ""oloroso"" wine so it would not loose its aroma. Like other commenter wrote, it is supposed to be small and humble, something you eat so your alcohol does not go down in an empty stomach. For the longest time they were free with your drink in Spain, and it is still free in some places in the South, like Granada. Of course people don't want to pay a lot for tortilla, after all it *is* only potatoes, eggs and onions (although terribly delicious). If you make a very special tortilla, with very expensive ingredients, well, I am sure it is good but not quite what was meant to be. Tapas are not what they have become outside Spain: a culinary and expensive delight. They have have always been part of a social fabric, with friends hoping form bar to bar trying the different tapas (while drinking wine and beer); usually simple, cheap and delicious.",0.982
2,"I have three boys whose eating habits are remarked upon by almost everyone they eat with, from family to teachers to friends' parents and to their pediatricians.  If I am to believe these people, my children are freakishly excellent eaters - eating a wide variety of healthy, nutritious food, trying new things, eating treats in moderation.  How is it that I managed to be so lucky to have three great eaters?  Perhaps it really is just dumb luck, but I'm inclined to believe it has more to do with the way my husband and I eat - a wide variety of healthy, nutritious food - and how that's the model our kids have grown with, from pregnancy through teenagehood.  We cook, we grocery shop, we plan meals, we talk about food, we eat - as a family.  We don't have lousy food in the house, because we don't eat it.  My kids marveled at boxed mac and cheese, and had become proficient at making a quick tomato sauce or pesto before they had ever tried jarred sauce.  For all of the parents lamenting their children's demands of only junk - well, who bought it in the first place?  Processed foods are designed to be the most intensely rewarding, hitting all the salt/fat/sugar high notes, so to speak.  How do you expect the taste buds and brains of kids raised on GoGurt, Frosted Flakes, soda and Fruit Roll-Ups to react to plain Greek yogurt, muesli, water or a perfectly ripe peach?",0.9803
3,"I like good food, but I also don't want to spend a bunch of money and still feel hungry.  Fine dining sometimes makes me feel like I'm on a diet.  When I go out to eat, it is a splurge, not just in dollars, but calories too. I like a fixed price menu.  Here is the cost of a full meal without wine, here is the cost with two glasses of chief chosen wine. At my income bracket, I don't want to be cheap, but I can't afford to be chump either. I want you to stay in business too. Clearly a delicate balance.  I wish you success!",0.9724
4,"You jest! One of the best pairings I've ever done was a bottle of Tott's American Champagne (I shutter to not include the """"s) and a plate of salty salamis, olives, pickled mushrooms and cheese. The bottle was a very generous gift given to us with the deepest kindness imaginable from a new Russian immigrant family. Yes, I am a snob, but I smiled appreciatively, opened it and served it. Wine protocol totally thrown out the window. And you know what? It worked - the cloying sweetness against the salt and vinegar. A decent Riesling would have been destroyed. As for Boone's Farm, harkening back to my college youth (I never drank the stuff, but my roommates did), I would recommend serving it with hash-brownies ala Alice B Toklas, and a fine marijuana joint. Short of that, grow up.",0.9706
5,"Guideline for When Food Goes Bad<br/><br/>People throw out food everyday because of the expiration date on the side of the labeling, but what if that food was not really expired. Most companies put a best by date on the food that they sell but food like that could go days more without going bad. That date is for the sake of the company to tell the consumer to try and eat the product by that date. This unwillingly allows the company to trick people into thinking that the food is bad. The company then makes money because the consumer then goes to by the product again. People should check the food for signs of expiration. The only food that requires an expiration date is baby formula So the next time you go to throw out the bread, check for the signs because that could create many sandwiches instead of trash.",0.9688
6,"<a href=""http://www.nytimes.com/2015/08/12/dining/fried-eggplant-recipe-video.html?ref=dining"" title=""http://www.nytimes.com/2015/08/12/dining/fried-eggplant-recipe-video.html?ref=dining"" target=""_blank"">http://www.nytimes.com/2015/08/12/dining/fried-eggplant-recipe-video.htm...</a><br/>I chose this article because it gives me really useful health tips on what to eat. Frying eggplant makes it really delicious, especially with some garlic and olive oil on top. But the question is, is it healthy to fry it or not? From reading many articles, i understood that eggplants absorb oil so basically grilling them might be way healthier than frying. people's opinions on frying might be a little bit inaccurate, as the idea of frying is not always unhealthy it just all depends on what oil do you use. vegetable oils are usually healthier than others, especially olive oil, so this is absolutely healthier than any other. I liked about the article that this is a very useful thing to know how to be aware of what you eat.   ",0.9672
7,"The students get contradictory messages about food while they are in public school.  They are told ""Eat Healthy"" but candy and fast food incentives for good behavior and/or achievement abound.  School cafeterias have their own food culture: The staff may push extra helpings of the least nutritious foods on offer, so as to avoid ""waste""; children who have a healthy packed lunch may be given the unused ""tater tots"" or rib sandwiches on the lunch menu, without their parents' knowledge, much less permission.  (Guess where most of that healthy packed food ends up at the end of lunch period?)<br/><br/>The reality is that most public school children are taught in a food culture that provides little consistency or support for making healthy choices.  And let's not forget the impact of their visual experiences while in class, walking the halls and climbing on the yellow bus: A majority of the adults who have authority over them are obese!",0.9652
8,As soon as I tried this recipe and saw it cooking I knew it was going to be a good one. The smells from the oven alone were spectacular and when the pork was done the meat was perfect and the cracklings were unbelievable. The leftovers were great on sandwiches with some slaw and we even made nachos with some of the leftovers as well. Great recipe.,0.9628
9,"I had mildly high hopes for this Zucchini Flan. I say ""mildly"" because I am not a huge fan of the zucchini as it tends to be way too watery and tasteless in most recipes I have made with it. Baring frying it up in a hot skillet (my favorite way) BUT I love David Tanis and his recipes and was intrigued by his instruction to ""blanch the zucchini in salty water then drain excess water on a plate to cool afterwards"" to see if that solved the probelm. Not to mention the picture of the fished recipe looked delicious and my farmer husband had just brought home some zucchini from our farm. Well, I followed his directions entirely and let it rest until room temperature before serving... BUT lo and behold the freaking zucchini made this a watery soupy tasteless mess.<br/>SO disappointed.<br/> <a href=""http://www.nocisonoma.com/saltyspicybitterandsweet/"" title=""http://www.nocisonoma.com/saltyspicybitterandsweet/"" target=""_blank"">http://www.nocisonoma.com/saltyspicybitterandsweet/</a>",0.9541
