,comments,scores
0,"b fagan:<br/><br/>Who's advocating unlimited growth and unlimited consumption?<br/>Human beings worldwide ARE reducing their birth rate, particularly those in developed societies (all of which exhibit a high per-capita energy use). <br/><br/>I certainly am not advocating unlimited growth, but efficient growth. To repeat: set + enforce minimum standards while fomenting best practices (e.g., for energy extraction, refinement, delivery and combustion). <br/><br/>Here's a corollary: avoid technologies which are patently inefficient:<br/>- high land use per unit energy provided<br/>- intermittent provision of energy / reliance on back-up sources<br/>- depend on continued, massive subsidies for their existence<br/>In case you weren't aware, this describes solar and wind power very well. <br/><br/>Based on your comments, it looks like we agree on a number of things. However, be forewarned that some in your camp do NOT favor ""[Gettting] everyone to modern living standards.""<br/><br/>Kurt in Switzerland",0.9835
1,"Kurt - in a response to JC you say you wouldn't trust a bad doctor<br/><br/>But in this same thread you say ""I prefer to think for myself (as opposed to seeking safety in numbers and hiding behind someone whose credentials are likely to impress individuals lacking in scientific training). ""<br/><br/>So, I guess you have some kind of x-ray spex that get behind tedious credentials for so-called ""experts""<br/><br/>Since you got those crazy glasses, please glance around and tell us who will:<br/>- improve crop yields for 15 principal crops as population increases<br/>- improve ocean harvest while rebuilding overfished stocks<br/>- put fresh water where it's needed, when it's needed, as much as desired<br/>- provide really inexpensive energy infrastructure in developing nations<br/>- make coal ""clean""<br/><br/>Before you're done, please make the Iran nuclear agreement foolproof.  Oh, and tell us the best way to regulate open-ocean fisheries.<br/><br/>I'm confident that if you ""think for yourself"" a whole bunch, you'll save us lots of disruption and turmoil.<br/><br/>Try tapping your red slippers together.  Heels, not toes.",0.9822
2,"Kurt - in a response to JC you say you wouldn't trust a bad doctor<br/><br/>But in this same thread you say ""I prefer to think for myself (as opposed to seeking safety in numbers and hiding behind someone whose credentials are likely to impress individuals lacking in scientific training). ""<br/><br/>So, I guess you have some kind of x-ray spex that get behind tedious credentials for so-called ""experts""<br/><br/>Since you got those crazy glasses, please glance around and tell us who will:<br/>- improve crop yields for 15 principal crops as population increases<br/>- improve ocean harvest while rebuilding overfished stocks<br/>- put fresh water where it's needed, when it's needed, as much as desired<br/>- provide really inexpensive energy infrastructure in developing nations<br/>- make coal ""clean""<br/><br/>Before you're done, please make the Iran nuclear agreement foolproof.  Oh, and tell us the best way to regulate open-ocean fisheries.<br/><br/>I'm confident that if you ""think for yourself"" a whole bunch, you'll save us lots of disruption and turmoil.<br/><br/>Try tapping your red slippers together.  Heels, not toes.",0.9822
3,"I certainly admire Mr. Hundal - but ""300,000 to hire a contractor to dig three new wells, including the one in Tulare. Those didn’t pan out. So he wired $670,000 to a broker""  - even in today's world, those are big numbers.<br/><br/>They illustrate that ""farmers"" today - aren't.  They invest large amounts of capital, to create vast mechanized plantings, with as few humans involved as possible - eradicating all weeds and insects - etc. etc.  You should know the litany.<br/><br/>Basic question - we think it would be best to ""save farming"", yes?  But - is this farming?  At all?  Or is it mining - soil, water, and humans - all for profit, with most of the crop exported?",0.9806
4,"Dr. K,<br/><br/>I await your analysis.  I am pretty sure that I could reduce the electricity bill for all of the West Indies, using either solar, OTEC, compact thorium fueled nuclear reactors.  Of course I would like to beam solar power from space.  Diesel generators are a NO-NO from the stone age.  <br/><br/>One resource that is often overlooked are the beautiful woods from the islands.  Eventually because of rising sea levels a lot of those islands will need barriers to protect the towns from water surges in extreme weather.  <br/><br/>I like the idea of manufacturing in the West Indies.  It would be a beautiful place to manufacture refrigeration and cryo equipment.  <br/><br/>New bridge technology is being developed that may make it feasible to more cheaply drive piles  and then 3-D print bridge spans in place (the Dutch) to extend a Maglev transport system from Miami to the continent.  I like BIG PROJECTS.  Probably easier than the Panama Canal.  Where is TR when we need him?  We just need to change the direction of investment.",0.9781
5,"The bill the President signed to create the three new Wilderness areas in Central Idaho was the result of perseverance not only by Congressman Simpson and the threat of a national monument declaration on the area but also a lot of hard work by some conservation groups pointing out the serious problems the proposed national monument would have created by overlaying its boundaries on the already well protected Sawtooth National Recreation Area. The delays, controversy, confusion and distraction of resources this proposed overlay would have caused have often been ignored by national monument advocates, but are very real and caused much of the concern and resistance to a national monument among Idahoans.  By contrast, the Wilderness legislation affords an immediate, clear and predictable outcome, with better protection than any national monument declaration could provide.  This is probably the main reason so many people with diverse views supported this approach instead of a national monument.  The foregoing clearly suggests that when a national monument proposal is being seriously considered by any Administration careful planning and analysis must be given to any existing protections on the land under consideration, so any national monument declaration does not undermine those protections.  Such was not the case with the proposed Boulder White Clouds national monument, which is a key reason why the Wilderness designation was a much better and more supported solution. ",0.9678
6,"Peak oil is as much of a myth as gravity…<br/>One never gets past the first and second law of thermodynamics no matter how deep a hole is dug.  The fracking boom added about 10 billion barrels of oil to US reserves…that is less than two years of supply at current rates of consumption(18 million barrels per day).  US proved reserves are only about 30 billion barrels.  Angle drilling and enhanced extraction has brought new life to old wells, but that has only provided small gains in production.  The majority of wells in the US are stripper wells with low production.<br/>There is a significant amount of oil on the planet, but most of the easy to extract oil has been already tapped and put into production.  The energy return is the dominant factor.  Most of shale oil and tar sands are not useable as the energy to extract the oil is greater than the energy from the extraction.   The majority of major oil discoveries occurred in the 50s through the 70s with most of the world’s production coming from those wells.  Within a few decades, worldwide oil production will likely drop at a rate of about 2% per year.  Conventional production on the planet has not increased since 2006. <br/><br/>For information: oil is not from decayed dinosaurs.  The process to produce oil is nothing like the water cycle.<br/><br/><a href=""https://en.wikipedia.org/wiki/Petroleum#Formation"" title=""https://en.wikipedia.org/wiki/Petroleum#Formation"" target=""_blank"">https://en.wikipedia.org/wiki/Petroleum#Formation</a>",0.9627
7,"Peak oil is as much of a myth as gravity…<br/>One never gets past the first and second law of thermodynamics no matter how deep a hole is dug.  The fracking boom added about 10 billion barrels of oil to US reserves…that is less than two years of supply at current rates of consumption(18 million barrels per day).  US proved reserves are only about 30 billion barrels.  Angle drilling and enhanced extraction has brought new life to old wells, but that has only provided small gains in production.  The majority of wells in the US are stripper wells with low production.<br/>There is a significant amount of oil on the planet, but most of the easy to extract oil has been already tapped and put into production.  The energy return is the dominant factor.  Most of shale oil and tar sands are not useable as the energy to extract the oil is greater than the energy from the extraction.   The majority of major oil discoveries occurred in the 50s through the 70s with most of the world’s production coming from those wells.  Within a few decades, worldwide oil production will likely drop at a rate of about 2% per year.  Conventional production on the planet has not increased since 2006. <br/><br/>For information: oil is not from decayed dinosaurs.  The process to produce oil is nothing like the water cycle.<br/><br/><a href=""https://en.wikipedia.org/wiki/Petroleum#Formation"" title=""https://en.wikipedia.org/wiki/Petroleum#Formation"" target=""_blank"">https://en.wikipedia.org/wiki/Petroleum#Formation</a>",0.9627
8,"I understand that Professor Donald Carter has an agenda by dint of his professorship at Carnegie-Mellon, but in what world is Pittsburgh a ""Great Lake city?"" The other two mentioned, Cleveland and Chicago, sit right on the Great Lakes. Pittsburgh is a whole lot further removed from the Great Lakes than Waukesha is, and it's not particularly close. How did the writer and editor miss that?",0.9607
9,"But why did the Democratic Party ""leave"" you?  Because of the Civil Rights Act and the Voting Rights Act?  Because of Medicare?  Or because of more recent developments, like the ACA, the proposed EPA carbon regs, or advocacy for some degree of increase to the Federal minimum wage?  If any DP strategists are reading these comments, I'm sure they'd like to know.",0.9565
