,comments,scores
0,"Thank you Mr. President for the inspiring letter.  It is hard for Americans to be diligent defenders of democracy when we also have to work for our livings, raise families and care for aging relatives. But if we don't find a way to band together and do it, the task of earning a living, raising a family and caring for those we love will become ever more difficult.  I was very inspired when my college-age son and his friends joined an exciting new group called Democracy Matters, that is dedicated to strengthening American Democracy and trying to lessen the influence of big money in politics.  Anyone interested can learn more at: <a href=""http://www.democracymatters.org/"" title=""http://www.democracymatters.org/"" target=""_blank"">http://www.democracymatters.org/</a>",0.9901
1,"On a train ride many years ago, my neighbor told be about the respect he and his relatives shared for a 99 year old aunt living with his family.  Everytime she came into the dining room for a meal, the family would rise, doting over her every need.  And, she never once told someone not to help her when she needed it.  Times have changed. Families are often living hours and days away from oldest relatives.  And a myriad of other realities divides the generations, including advanced technology.  People needn't ""ask grandpa"".  They can now ""ask Siri"" or ""Google"".  With government cuts in spending and the rising costs of healthcare, many older Americans are facing dire health care challenges, as well as harmful isolation.<br/><br/>We in Morningside Heights, Manhattan, are resolving this dilemma.  We have created a free-of-charge, volunteer-based eldercare program (Morningside VIllage) where frail elders are not only receiving practicial help, but are included in the lives of one another and in the lives of their volunteers, in many cases as ""adopted families"".  Volunteers must live in the same catchment zone as elders, so the program boils down to neighbors helping neighbors.  LiLY is hoping to spread the word and has begun mentoring other leaders who want to start an eldercare village of their own.  We hope that officials will before long begin to support these informal villages that are so much more cost effective and successful than institutionalizing our loved ones.   ",0.9878
2,"Lots of very sad comments about marriage.  I've been married twice, divorced once and widowed once.  My first marriage had some good times and it produced two very special children, now in their 40's with 2 children each; one is married, one divorced.  My divorce was not my idea but in hindsight was probably for the best.  My 2nd marriage (after being alone 2 1/2 yrs with two small children), was a very good one.  We shared common values and we were very happy.  Unfortunately, cancer ended it after 27 yrs.  I miss him tremendously ten yrs later.  <br/><br/>At almost 72, I have no desire to remarry.  Two good reasons are a pension I would lose as well as some excellent health insurance.  I'm also picky and set in my way and much too old to compromise.  But I would love a nice companionship - someone to go out to dinner with - perhaps even to travel with.  Such is practically impossible to find.  I'm not miserable being alone - I'm a very independent woman - but ""lonely"" probably is a better description than ""liberated"".  I do see two of my grandchildren often and that is a joy - we're very close.  I see my daughter when she has time, but she has a demanding job, travels a lot and needs time with her husband and children.  My son lives hundreds of miles away so I don't see him or his children as often as I would like.<br/><br/>I think being alone tends to breed selfishness.  I'm far more selfish after 10 yrs alone than I ever was when married and I don't think that makes for happiness.  ",0.985
3,"It is never, NEVER, the child's fault as to what family they are born into. We all got the luck of the draw. I have always maintained that it is the most fervently conservative position to hold that we maximize resources and let the market choose. In this case, we maximize the talent that each child potentially has, we give them all the tools they need to succeed, then we stand back and let them do their best. Some are going to go on to great things and some are going to fail, and the vast majority will live simple lives like most of us do. But you simply can't throw away someone before you honestly give them that chance.<br/><br/>Kudos to Mr. Bandura for embodying the best of these principals. Great story!",0.9799
4,"Sesame street and Maria ""aka Sonia"" has been part of my childhood. Now that I'm 35 years old, I'm truly grateful to have watched Maria on SS educating kids about good values and mathematics. I must say she's one of the most passionate educator that make children's learning fun and easy. Best wishes on your retirement. <br/><br/>-gcn",0.9781
5,"Instead of tearing down Planned Parenthood as a hotbed of late term abortions, which it is not, our elected leaders at every level should be giving it support for its primary mission - women's health and family planning.  We should all be embracing comprehensive sex education, that is developmentally relevant from K - 12.<br/><br/>I grew up in affluent white suburbs in a two-parent home.  While my parents, as was common for their generation, did not go to college, there was never any doubt that we would attain bacholor degrees (I now have two master degrees) and have both a career and a family.  My mother worked when it suited her but she saw her daughters rising well above the secretarial positions she held. My mother got me a subscription to Seventeen Magazine, which in those days stress education, careers, athletic accomplishment, and delaying parenthood, as much as fashion and beauty.  With those expectations, I had every reason and support in not getting pregnant.  It was really easy.  This is not the case in low income families, especially black families, where hope and dreaming were regularly stomped out by the white majority where I grew up.  Those messages get internalized and are passed on across generations.  In the decades since we've made little progress in this area, and have actually gone backward with respect to family planning.  This is an issue that is now also affecting the middle class.  We need to start getting this right.",0.9781
6,"The cultural revolution of the 60s was about the hedonistic philosophy that happiness is found in the direct pursuit of pleasure and gratification. The ultimate extension of this philosophy, for many, is the escape from reality with substance abuse. This leads to profound aloneness, alienated, angry and socially disoriented people.<br/><br/>Marriage doesn't work like it used to. The natural gender differences between men and women will be profoundly incompatible with each other in the post-Christian hedonistic culture of the self. In this environment there will only be short term ""relationships""<br/><br/>The traditional American Christian culture taught the young people that the meaning and fulfillment of life was something much larger than the self. So when young people got married as equal partners in goals much larger than the self, these same incompatible features of gender became very complementary to the commitments to God, family, church, and community. Life continues to haves meaning and connection on into old age with extended family and church community<br/><br/>In a recent family reunion, with everyone having  conservative Anabaptist affiliation,  it was quite a happy gathering of the older generation of brothers and sisters (8 of us) and all the children and grandchildren. Dedicated and intact families with beautiful, thriving children, and the cousins making connections with that  real sense of foundational security that the children of Norman Rockwell America enjoyed.",0.9766
7,"My stepmother, a lifelong Catholic, was supremely proud of her marriage of many decades. Yes, she was living in adultery (my father had been married twice before her), he beat her, and she suffered repeated venereal diseases from his escapades. Oh, and he beat me, molested me from age 12, set an attack dog on me, and (when I was 18) tried to rape me. But she was loyal to her husband and to her religion (in which order I have no clue), and proudly proclaimed her happiness. <br/><br/>I'm a liberal, have been married close to 45 years to my very best friend, freely admit that my marriage is not perfect, and have suffered depression (not to mention PTSD) off and on throughout my life. <br/><br/>Does that make my marriage more or less happier than hers? Ha!",0.9734
8,"Oh hell yes! As a parent of a ""high achiever"" boy that has battled depression and intense feelings of being ""unworthy"" since high school I can say with certainty that his mother and I share the root of his predicament. We even had a little sign that was supposed to remind us to ""prepare the child for the path, not the path for the child""...but we didn't. The urge to solve problems before being asked and preempt failure did nothing to help him be resilient. That is the key -- experience small failures to build the tools and strength to manage the big ones. And while he has sought treatment and has taken a step ""sideways"" to reevaluate his path, we've learned (together) that as parents need to manage our expectations, and listen better, and keep our hands (and money, and time) off him as he lives his life. Better late than never, at 27 he's moving forward under his own power, more healthy, confident and insightful, still uncertain but more capable than ever. Thank God and therapists that saw a way to help him re-route himself before it got too bad to recover. And thanks to our son for forgiving us, and never failing to see the love behind the lending hand.",0.9732
9,"It seems like Ms Lee beautifully captured an experience that I share with her.  <br/><br/>My mother did her best to raise us to be fair- and open-minded.   She taught us that Jews were the apple of God’s eye and must always be respected for this, forbade the use of the N-word (even in our thoughts, if possible), took Korean war brides under her social protection, and welcomed people of all religious and ethnic backgrounds into our home as friends, as guests, and (through marriages and births) as members of the family.  <br/><br/>Once we were old enough to be spoken to as adults, the nastier truths came to light.  And yes, I was shocked.  And, despite how she raised us, she was a little surprised when her adult children challenged her comments about racial stereotypes.   Maybe she assumed that we would figure out that she was teaching public (not private behavior), never realizing that her self-disciplined example at home did not allow us to understand that hypocrisy was expected.  <br/><br/>Maybe it is also true that our opinions ossify over time, if we allow them to.  Perhaps Atticus was a better man in his earlier adult years, and maybe my mother was less judgmental when she was younger.  <br/><br/>I am very much looking forward to reading Watchman for myself to see how this astute observer of human nature illustrates how our morals evolve throughout of lives, as we are shaped by outside events, cultural pressures, and the strength of our own characters.",0.9718
