,comments,scores
0,"A Barbi doll is what Caitlyn looks like..our ideal of female beauty as a culture. In this, it seems she feels satisfaction. What needs to happen is that we accept our differences. Many intersex people exist..some even are real hermaphrodites. They are a natural but rare phenomena. They possess both sex genitals and can perform as either sex. People are born with a variety or continuam of sexuality, with different brain make ups etc. is what I've read. Bruce Jenner's journey made me very curious about why someone like her felt such an urgency after a life time of being a man. I think I understand better now. I don't know what Caitly's entire story is, and it is none of my business. I hope for her and her family, understanding, peace, compassion and happiness.",0.9892
1,"Choosing the Right Running Shoes by Gretchen Reynolds	August 5th, 2015<br/><a href=""http://well.blogs.nytimes.com/2015/08/05/choosing-the-right-running-shoes/"" title=""http://well.blogs.nytimes.com/2015/08/05/choosing-the-right-running-shoes/"" target=""_blank"">http://well.blogs.nytimes.com/2015/08/05/choosing-the-right-running-shoes/</a><br/>It is unique to find a study that’s results end up showing that “whatever feels best” is actually best for the body. However, it is a clear indicator that the body has a fair sense of what is right for the body. This is so psychologically important because often times people buy shoes for prestige, for certain features, or for their colorful designs. What they do not know is that when comfort is there for the actual function of the shoe, it is reducing the runner’s risk of injury. This is important because running is an important part of many athletics and activities. From being important to those who play sports to those who work out at a gym, the message is clear: although some shoes may seem more aesthetically appealing or favorable because of some novelty or their popularity, what is most important for the health of people’s feet is their comfort when they are wearing the shoes. Since this information is relevant to such a wide audience, it is important that there is more awareness among both shoe manufacturers and runners that their primary concern when making and buying shoes should be comfort so that better podiatary health is possible. ",0.9879
2,"I caught part of the last episode, where Caitlyn is gently confronted, first by Kim and then Khloe, about a perceived attack on their mother.  Kim states that the sisters support Caitlyn in her transition but are not comfortable with attacks on their mother.  Later, with Khloe, Caitlyn knows where the conversation is headed and strongly admonishes ""Don't go there!""  It didn't seem fair, given Caitlyn's journey.  The show is really worth watching, to see Caitlyn settling into a female persona, now that the surgical stuff is done.  What she knows about life, including family, was learned as Bruce, so Caitlyn's task is finding a new voice (which doesn't replicate Bruce's) and handling the (different?) personalities behind these voices.  I appreciated the transition as so much more than a female impersonation supporting a surgical approximation of a woman.  Caitlyn appears to be performing a feminine self.  The old Bruce (with his robust""California-masculine"" style), must now reside comfortably within this distinctly ""California-woman"" persona (still under construction).   I have even more respect for Caitlyn and also more sympathy for the family who have supported her.",0.9808
3,"I caught part of the last episode, where Caitlyn is gently confronted, first by Kim and then Khloe, about a perceived attack on their mother.  Kim states that the sisters support Caitlyn in her transition but are not comfortable with attacks on their mother.  Later, with Khloe, Caitlyn knows where the conversation is headed and strongly admonishes ""Don't go there!""  It didn't seem fair, given Caitlyn's journey.  The show is really worth watching, to see Caitlyn settling into a female persona, now that the surgical stuff is done.  What she knows about life, including family, was learned as Bruce, so Caitlyn's task is finding a new voice (which doesn't replicate Bruce's) and handling the (different?) personalities behind these voices.  I appreciated the transition as so much more than a female impersonation supporting a surgical approximation of a woman.  Caitlyn appears to be performing a feminine self.  The old Bruce (with his robust""California-masculine"" style), must now reside comfortably within this distinctly ""California-woman"" persona (still under construction).   I have even more respect for Caitlyn and also more sympathy for the family who have supported her.",0.9808
4,"Bill O Reilly would have been a better moderator that MK, who let her emotions get the better of her. I envision K as being now in the vicinity of militant feminism, with a possible logical and normal progression to, well, ""On verra."" Many middle aged women, having fulfilled their traditional roles and mothers and wives, find that they r most happy with their own kind, or another woman. As they would say in a Seinfeld episode, ""nothing wrong with that.""But I believe that is MK's future, and if and when she does come out of the closet,she will be accepted. I have also predicted in a pub.comment that DT has raised expectations among Republican voters, and if he is ostracized by the establishent, these voters will stay away  in droves, and we will be in for another ""era of good feeling,""not unlike that which followed the 1812 war, in which one party, the Democrat Party, will dominate.ROVE, PREIBUS, ERICKSON, MURDOCH r in for a dreadful surprise if they think they can sideline DT and win the 2016 election.",0.9801
5,"<a href=""http://www.nytimes.com/2015/08/13/fashion/what-taylor-swift-can-teach-you-about-rompers.html?mabReward=CTM&amp;src=recg&amp;mabReward=CTM&amp;module=Ribbon&amp;version=context"" title=""http://www.nytimes.com/2015/08/13/fashion/what-taylor-swift-can-teach-you-about-rompers.html?mabReward=CTM&amp;src=recg&amp;mabReward=CTM&amp;module=Ribbon&amp;version=context"" target=""_blank"">http://www.nytimes.com/2015/08/13/fashion/what-taylor-swift-can-teach-yo...</a>®ion=Header&amp;action=click&amp;contentCollection=Recommended&amp;pgtype=Blogs<br/><br/>What Taylor Swift Can Teach You About Rompers<br/>By MOLLY YOUNG<br/><br/>Reading the article I learned what other people thought about rompers. Usually babies wear rompers. Not only is it comfy, but it's also a look that kids, teens, and adults can wear. And the best part is that your only wearing one piece of clothing; putting undergarments aside. The reason why most women wear rompers is because its summer and it looks cute!"" “It provides a huge ‘no flashing’ benefit,” said Alexandra Amarotico, a 26-year-old photographer who lives in Hell’s Kitchen and has worn a romper four out of the last eight days, by her count. “It’s an especially nice perk in summer because your romper can be even shorter than your dresses on a hot day.” "" Rompers are great too because they  let you show off your legs without feeling overexposed. ""Taylor Swift and Karlie Kloss have both been seen loping around town in rompers from the store."" Some people are calling the style ""big baby"" I suppose. When you wear a romper you should keep your accessories simple. ""Still, the best pro-romper argument may be the simplest one, which is that it cuts morning-outfit deliberation time in half. Why make two choices, top and bottom, when you can make one?"" I chose this article because it was cool.",0.9788
6,"As a man who has never visited a prostitute,  I feel that it is the male customers who are absent from this debate.   Many of them are married, prosperous and have much to lose by ""coming forward.""   Society takes advantage of this situation to continue the idea that ""men are perps and women are their victims.""<br/><br/>No doubt this is true in many cases but not in all.  When Eliot Spitzer patronized a prostitute, he lost his job, but she on the other hand became rich.  Apparently she was a singer as well and enough people downloaded her songs to make her rich.  So who was the victim?<br/><br/>Having been a teenager myself, I am well aware that lack of sexual outlet for men between 15 and 30 is a torment.   Perhaps one could say, ""Why don't they find a girl friend?""  But some men are ugly  (no, I am not one of them).<br/>Or they do not know how to approach a woman.   And we are condemning them to a lot of pain because we use underage prostitutes as the thin edge of the wedge to criminalize ALL prostitution.   An eighteen year old boy who patronizes a prostitute of 30 is, in our society, committing a crime.<br/><br/>The play Tea and Sympathy details the case of a married woman Laura who comes to the rescue of a boy Tom Lee so that he can prove that he is capable of sex.   But not every Tom has such a guardian angel.   Why do we torment boys like him?",0.9774
7,"Ok, yes, I thought the white silk corset was a questionable choice, hypersexualizing the presentation of Caitlyn Jenner's new persona. However, I do think that the transgender community has taught us how to celebrate ourselves. I was raised in a culture that said don't tease, don't flirt, don't dress in a way that draws attention. The transgender community taught me how to find my individual voice, that I could strut myself and dress fabulous for ME. When we lose control of our image, when it is subjugated to the expectations and uses of others, then things get weird. However, we can flirt, we can tease, we can explore our own sexuality through dress and presentation. The reason that can be ok, healthy, and even authentic is that our body image and our actual body aren't on the same page. I know there is a real disconnect between what I see in the mirror and what I know in my head. I want to connect with that fabulous person within and celebrate her without. Your participation is only in the affirmation. Say, ""You go, girl!"" In the end, that's all adornment that she needs. ",0.9726
8,"Over the past few years I've improved my appearance, mostly through a better wardrobe, losing a few pounds and learning how to better take care of my naturally curly hair. The result has been an increase in compliments and attention from both men and women, which caused a boost in confidence, which is an attractive quality, which caused more compliments, and so on. I don't think better hair will ultimately determine my dating destiny, any more than it would Greta's, but it could be a way to boost her self-confidence and happiness, which in the end makes far more difference in the dating world than the hair or clothing itself. Bringing up Greta's appearance might not be politically correct but it was a valid, practical suggestion in the world we live in.",0.9718
9,"NYT? do me a favor, please. if you are going to have an opp piece that is anti trans, can you at least have someone who is knowledgeable and articulate on the subject? most of the ideas in this article could not be more stale having first been put forward by the TERFs in the late 70's and 80's that the author seems to think are new. what's worse her points are incoherent. in one sentence she is an essentualist (you're not a woman if you haven't taken birth control (and have ovaries)!!!) but in the very next claims womanhood is experiential (women are the sum of their experiences!). she clearly knows little to nothing about the actual subject to boot. i love how she talks about his privilege as if being trans was a ticket to the good life. never mind that most transpeople can get fired or kicked out of their house simply for being trans. never mind that for the 70 cents on the dollar women make compared to men, transwomen earn even less.....if they can find a job. <br/><br/>there is a reason most of her points have been dismissed in the 30+ years since transphobic feminists put them out: if they do make any sense at all, when you follow them to their logical conclusion, or compare them to reality, they don't stand up. <br/><br/> i've been reading pieces both pro and con, and i've been astounded that all of the anti pieces are so slapdash they practically feel like TERF madlibs. i expected more of the NYT, but clearly i expected too much. ",0.9705
