,comments,scores
0,"It's said that the love of money is the root of all evil.  Perhaps not all evil.  But regarding trade agreements and multinational corporations it's clear that money rules. Not worker's rights; not human rights; not jobs; not fairness; not a living wage; not our health; not the environment. Therefore, until those Scrooge-like corporate lovers of money--and blinded by it--become enlightened and aware that ideally we are all in this together to help and uplift one another (we sadly won't hold our collective breath) it's best we stay clear of such trade agreements and instead mind our own p's and q's, do our best to be an upright model to the rest of the world, and finally take care of the many needs of our own while at the same time honoring and playing fair regarding globalization and trade.",0.9931
1,"TRICKLE DOWN  After 35 years, we can see the devastation wrought by the Big Lie that is Trickle Down prosperity.  Then 1% own more than 90% of the value of the country; 99% of new profits go to the 1%  That looks much more like a Pump Up economy to me.  When the 99% increase the value of their holdings, it's called a ""transfer of wealth,"" or given the snide epithet of a ""social experiment.""  When the 99% increase their holdings it's called the success of free market capitalism.  To me both scenarios look like transfer of wealth.  Likewise for the big lie that the free market is the most successful model.  If that's an accurate claim, then why is it that the highest rates of growth recently have been in Europe, where all the economies are managed by the governments?  I'm still waiting for an answer to that question and I expect to be waiting a good long time.  Because it's a fact that some efficient management of economies is essential to growth.  Here in the US we're shooting ourselves in the foot by eliminating basic Research and Development and heavy investment in the educational infrastructure, starting in the prenatal period and continuing as life-long learning.",0.9909
2,"On August 11 the IMF stated that the new pricing regime is “a welcome step as it should allow market forces to have a greater role in determining the exchange rate”. However, the IMF has also said that the “exact impact will depend on how the new mechanism is implemented in practice”. The question is now: <br/><br/>Why should China let market forces have a greater role in determining the exchange rate?  <br/><br/>Teaching economics for undergraduate students at Stockholm University has made me realize the importance of providing students with an empirical background to current events. As a consequence, I’ve written an article on the topic rebalancing of China’s economy which can be found on the following website: <a href=""http://www.financialcrisismonitor.com"" title=""www.financialcrisismonitor.com"" target=""_blank"">www.financialcrisismonitor.com</a> <br/><br/>The article describes why rebalancing China’s economy away from investment towards consumption is necessary, and why a market determined exchange rate is one of the key policies for rebalancing. The main purpose of the article is to be a complement to the current curriculum for university students in economics. It is my aspiration to write in a way that even people without any previous experience of reading economics literature should be able to appreciate the articles. In addition, contributions from experts on the Chinese economy such as Michael Pettis hopefully increase the quality of the article.<br/><br/>Finally, I hope that the article can be of interest for those who want to have a better understanding of China’s current economic situation.",0.981
3,"In Russia and China, the Russians and the Mandarins, respectively, make up the majority, which makes creating national solidarity easier. And both have benefited from a long history of a somewhat coherent totalitarian ideology. In fact, simply having a long history, in general, also benefits Russia and China. Their vision may not be our vision, but unlike Americans, the Russian and Chinese political class do not suffer from historical short-shortsightedness. Thus, each country is better poised to defend their current nation-state, at least in the short-term.<br/><br/>The Post-Modern West, on the other hand, can best be described by V. I. Lenin: "" The Capitalists will sell us the rope with which we will hang them.""",0.9797
4,"Globalization raised this dragon's head above the waters.    Corporate entities represent 'controlled bubbles of autocracy' that we've invented to harness the competitive spirit of our animal heritage and at the same time protect society itself against the predatory inclinations of the animal spirit housed within.       <br/><br/>Problems occur, and have always occurred, when corporate overreach allows the 'animal' to find a way  to exert more control over society as a whole.    This has always been a problem, but it was easier to contain when the corporate constraints were national rather than global. <br/><br/>Globalization has unleashed the Gorgon, and 'corporate nation states' can now exploit and leverage the 'uneven and otherwise diverse terrain' of global governance and even use it against public governance itself.     These huge economic entities, the size of small countries, are now the only true global citizens.    They can operate locally as democratic participants, autocratic rulers, and/or corrupt despots in accordance with the local rules and their chartered need to reduce costs, increase profits, and promote the interests of stakeholders at will.  <br/><br/>All Kings and Emperors throughout history have fought for deregulation, lower  taxes, and increased wealth for themselves and their courtier's at the expense of anyone and everyone outside of their circle.    This time will only be different if we find a way to get the Gorgon back into it's bubble.     ",0.9768
5,"He's ba-a-a-ack!  The real David Brooks has emerged from his self-imposed touchy-feely introspection and jumped with both hobnail-booted feet onto the exploit-the-planet-for-dollars bandwagon, where he is most comfortable.  Your missives from the soft side did seem a bit strained, Dave.<br/><br/>And your arguments/talking points need some of that introspection you have now abandoned, dude.<br/><br/>""Within marriage, lust can lead to childbearing.  Within a regulated market, greed can lead to entrepreneurship and economic innovation.  Within a constitution, the desire for fame can lead to political greatness.""  Within a mathematical possibility, a lottery ticket can lead to fabulous wealth.  OK, that last one was mine, but I think you get the point: The word ""can"" has to carry a whole lot of freight.<br/><br/>Within a marriage, lust can also lead to adultery.  Wanta bet which one, childbearing or cheating, happens more often?<br/><br/>Within a regulated market...really, David, regulated?  You actually wrote that word in connection with a capitalist construct?...can lead to entrepreneurship and economic innovation.  Economic innovation.  Are we talking credit-default swaps and carried interest here?<br/><br/>Within a constitution, the desire for fame can lead to political greatness.  Newt Gingrich, Larry Craig, Dennis Hastert, Jim Wright, Richard Nixon...<br/><br/>At least we have the original version of David Brooks to bash again.<br/><br/>Welcome Ba-a-a-ack!",0.9757
6,"This is good for the United States and for both US companies and workers. We have learned from NAFTA that free trade keeps our consumer prices lower than they would otherwise be; but that advantage comes at great cost to our workers and a good deal of cost to US producers. Cars that should be readily produceable in the US for US consumers are built in Mexico and Canada. We lose those jobs and companies have to spend far more capital duplicating every element of plants to build products.<br/>The same holds true for other products as well. Japan seldom lives by the trade deals it makes with the US. While they do lower tariffs, they then increase inspection barriers. Same with China altho they are not part of TPP.<br/>The communist government of Vietnam an expected party to TPP has NEVER shown itself to be trustworthy to it's South Vietnam citizens and should not be trusted here. Worker exploitation in S Asia is a constant occurrence and should not be rewarded as it would be under TPP.  In addition, this entire deal is totally indefensible because it has been done IN SECRET. Whoever heard of negotiating trade using classified documents. I think Pres Obama is our greatest President since Eisenhower but he was totally wrong on TPP.",0.9727
7,"This industry is begging for self-improvement, not regulation.<br/><br/>If an owner started treating his dancers/strippers well, word would get around.  The best would be flocking to work at his club.  This would draw the customers, who want to see the best looking ones on stage, thereby increasing his profits and enabling him to attract better acts and improve the club as well, leading to more customers....<br/><br/>All it takes is one far sighted owner in a community to raise the standards for that town, and one in the next, etc.<br/><br/>That is how the problems could be solved without a bunch of parasitic regulators.",0.9702
8,"I'm sorry, but a President and Cogresses first responsibility is to help Americans, not to raise the wages and living standards of the third world.  And the legion of clothing manufacturers, shoe manufacturers, furniture manufactures, small appliance manufacturers, telephone support personnel, etc. have NOT lost their jobs to automation but rather to cheap foreign labor.<br/><br/>Before this happened, shoes were manufactured in Maine, emplying people.  They were sold in shoe stores by local merchants who actally helped fit you (also jobs), not in large chains applying trans-pacific buying power and race to the bottom pricing.  They cost more relative to income than Asian shoes, but they also lasted longer, were better quality, and were not thrown away but instead repaired by shoe-repairers (more jobs).  Can anybody really say our standard of living is better because we can buy ill-fitting, shoddy, throw-away shoes rather than Keds, and Maine shoes that may be on their third rebuild but still look and feel fine?<br/><br/>ps. I was trained as an economist and have spent my life in business.  But to me the economic argument is pure bull-pucky.  One can make a geopolitical case for these trade policies, but if you note, very few (including Obama or Clinton before him) are willing to stand up and make that case to an underemployed American workforce.  For good reason!",0.9692
9,"While I was studying International Economics in college I was constantly reminded of the miracles of ""free trade""; and indeed it looks pretty enough when you draw a simple graph to show how barriers to trade (tariffs, quotas etc.) raise prices while reducing available supplies of goods. I was told that free trade results in ""job diversion"" not job loss (they are ""diverted"" to other countries). Empirically, it seems that free trade only results in a global race to the bottom in which corporations are free to conduct their operations in nations with little to no labor/environmental protection while drawing the same revenues from domestic markets for increased profits. This does not make the United States more competitive. FTAs  only benefit large MNCs, many of which have boards of directors that are not from the United States and do not care a lick about the economic downspiral they are forcing upon the 99%. <br/><br/>Unfortunately I believe that we have already sold ourselves out. The people have spoken; they would rather purchase cheap junk from WalMart than maintain a solid manufacturing base in this country. People want it all: jobs for everyone and cheap stuff on Black Friday. We enabled our economic competitors by making easy choices: we can buy flat screens from S.E. Asia/China, but can anyone tell me they have a skilled manufacturing job with a living wage in the USA? I don't see any jobs returning as long as people spend and vote against their own best interests.  ",0.96
