,comments,scores
0,"@ Chanson de Roland: ""Instead of bringing Europe together in prosperous union, the European project now divides Europe into internecine feuds, even within nations.""<br/><br/>I agree, but I would be more specific: in my view, it is the Euro which divided Europe. The EU was doing quite fine until the single currency. There was friendship between the peoples, and a rather strong friendship between the Germans and the Greeks, actually. The Germans loved the Greeks - their temperament, their hospitality, their food, their beautiful landscapes.<br/><br/>Then came the Euro, which tied everyone together in an uncomfortable and unworkable monetary union. The currency was much too hard for Greece and the other southern European economies. And while the German export economy benefitted, the average German citizen did not - he is now being paid in an under-valued currency, has less buying power on holidays abroad or for imports, and has to watch wihile has savings accounts get eaten up by low interest rates.<br/><br/>Even worse, the Euro has made the southern Europeans into borrowers and the Germans into an economic policeman, who has to insist on following the rules because of his own self-interest, but is resented for it abroad.<br/><br/>We would all be better off, in my view, if we went back to our national currencies. I'd rather see the German export economy take a hit than live in the most hated nation in Europe.<br/><br/>The EU and the Euro are not identical. One worked fairly well until the other came along.",0.9766
1,"_ Did any banker or German hold a gun to Greece's head and compelled them to lie about their nation's financial health in order to gain entry into the EU?<br/>YES! Goldman Sachs cooked the books along with Greece's then-leader to get into the EU and they should be in jail now!<br/><br/>- Did any banker or German hold a gun to Greece's when they cho(o)se to look the other way to rampant tax evasion?<br/>Ordinary Greeks have their taxes taken automatically out of their monthly paychecks, just like ordinary French people. RICH Greeks, and French, however, like many rich of other countries, have their wealth in tax havens.<br/><br/> Did any banker or German hold a gun to Greece's head when they created an unsustainable social welfare state?<br/>The Greeks were doing fine until they joined the Eurozone, as were the French. Southern Europeans should leave the Eurozone until the terms are not skewered in the favor of the wealthy ad, yes, the bankers.<br/><br/>Please read any New York Times article pertaining to Greece and/or the Euro by Krugman to have more details on these issues...",0.9755
2,"May be the Greek government should compromise with its creditors on their demand.  But it should not reduce the pension amount paid to the elderly people.  Instead, the pension will be paid out in drachma.  But the Greek government will protect the drachma so that it would not depreciate more than predetermined level every year, say 5 or 10%.  This will allow 1) Greeks people realize how much will its drachma really worth without Euro, 2) pension benefits will be reduced over time as what the creditors will want, and 3) they have their own currency ready if they truly want to get out EU.",0.9622
3,"You are certainly right about the belligerent style and it would have been smart to avoid overtly marxist terminology, which is waving a red flag (literally). <br/><br/>However one of Greece's biggest problems is non payment of taxes which reduces government revenue dramatically. If their 0.1% is anything like ours that has also reduced living wage jobs (a huge part of the profitability of US companies depends on cheap labor) and increased income inequality. Those are issues with employers, shipowners, etc that are basically soaking the middle class and below. I don't know much about Greece but if their extensive public sector employment and generous benefits are a safety net they need to finance it with progressive taxation - give tax breaks only to employers that offer jobs which replace the need for government hiring. A VAT tax is regressive, not progressive.  Varoufakis could learn a lot from Germany, whose workers are much better off, if he looked beyond the disastrous economic prescriptions being forced on Greece. If Greece showed an interest in copying what Germany does right Germany might in turn have confidence that the Greek government could resurrect the Greek economy if they got some slack ...",0.959
4,"Money is a common denominator, a means of exchange accepted by two or more parties engaging in a transaction.  It is a convenience - no more and no less.<br/><br/>And as such, the means of exchange can not be owned; just as a public roadway can not be owned but rather must serve as a means for free transit, subject only to the conditions that make free transit practical for all parties that require it.<br/><br/>The root of the problem is the current banking system.  As a common denominator, money can not be owned, nor can it be an end in itself, or used to subjugate the elected government of a sovereign nation to to whims of the owners of Greece's debt.<br/><br/>Since Greece is currently a member of the European Community, it can not print it's own currency,  Yet the EC refused to provide Greece with the currency it requires to meet the immediate needs of it's citizens without renouncing it's sovereign right to exercise the powers granted it by the citizens of Greece.<br/><br/>As a result, Greece has no choice but to leave the EC, print it's own currency and administer it's distribution in order to assure the the survival and well being of Greece's population.<br/><br/>Furthermore, the Bank of Greece must not be owned nor controlled by private banking interests.  Ever, again.<br/><br/>As the seat of Western Civilization, Greece has continued showing the way.  Well done, Grecos.",0.9585
5,"""Long Live Europe""<br/><br/>The reason why I chose Roger Cohen’s column is simple: I want to spread the message, Long Live Europe; I cannot fathom that we have to fight to keep being “united in diversity”.<br/>After presenting a project on Romania’s integration into the European Union, I was asked: good or bad? I said positive, my argument was that we have someone to protect us, we have a safety net; Putin wouldn’t leave us alone if we weren’t part of the European Union, if we didn’t have 27 countries ready to help their sister in need.<br/>Romania today is fraudulent. We’re nowhere. They say at least Greece is doing worse than we are, but is that really true? Mr. Cohen says “The worst outcome for Europe would be a Greek exit from the euro,” and he’s right. He also points out that “joining the shared currency, for all nations in it, was an “irrevocable” decision”. Right once again? Maybe Greece wasn’t ready. I know we aren’t and probably never will be.<br/>Mr. Cohen reminds that “[Cameron] has promised, if re-elected, a referendum on Britain’s membership in the European Union in 2017.” Migration to Britain comes in large number from countries part of the European Union. I noticed a huge negative response on social media from young people studying in the UK, many of them allowed to do so because of the advantages that the European Union offers to its people. Britain represents the American dream to many European kids.<br/>Yes, Europe is not doing well, but it is alive. And alive means opportunity.",0.9575
6,"I am so glad for the Greeks. I am hopeful the people will live a better lives in the future. I hope in Germany, the employed people get more share in the reward of their high productivity so that there are less capital to look for returns by lending to the Greeks, or the Spanish people or others. ",0.9558
7,"Funny! The lefty economist Varoufakis, who was trying to tell the Troika that there really is an economics 101, and the ECB that it needs to act as a central bank rather than a collection agency, has gone for unknown reasons.<br/><br/>Of all the stupid comments that I have seen during this entire Troika orchestrated circus, the one which takes the cake is for Americans to ridicule the Greeks for not being able to collect taxes. In 2005 George W Bush repatriated corporate profits at a steep 5% discount, which were held outside of the US in order to evade and not avoid taxes in countries like Ireland, which has no tax liability at a cost to the Treasury of 134 billion dollars.<br/><br/>The 2014 estimate for the loss to the treasury per year is estimated at 50 billion per year. None of this cash has ever showed up as capital investment in the US Economy. Take a look at the list of Dynasty Trust States, which sets up tax free trusts in perpetuity, and then try to laugh at the Greeks for not being able to collect taxes! Hard to laugh now. Isn't it.",0.9529
8,"It is my fervent desire that with this brave step, Greeks will rebuild their economy through value added manufacturing, remain isolated as a national economy, thus proving to the world that a sustainable self-sufficient nation can grow and flourish. Please prove me right and enjoy your new found independence, ironically, the day after we celebrated ours.",0.9524
9,"As I am often reminded by my Liberal friends that Spain, Greece Italy etc had thriving economies before the financial crises. Of course debt sustained  economics works wonderfully well when no variables are introduced (econ 101). But in the real world it does not work that way. I sincerely believe that this was the Greek plan all along never to repay this debt. All of the theatrics and histrionics are for their own entertainment.  The PM will not resign, he is truly enjoying all the attention lavish upon him. It is also troubling to see all the comments against the lenders. It goes to show how the lack of personal responsibility and integrity has gone down to the individual level in our society as well.",0.949
