,comments,scores
0,"Outstanding observation of The Donald. Aside from the flash, he is doing all of the candidates a great favor by putting their feet to the fire. Mind you, he is not doing it as a favor, but he is showing that he does not fear anything. Fear itself? We know what that is. In the recent past, we have seen Republican candidates all raise their hands about whether or not they believed in climate change, in creationism, etc. Most of them are simply afraid to stand for something that may set them apart from the voting base they perceive as locked into a checklist. The Donald simply does not look at things in lock-step, and his numbers rise. Get it other candidates? Stand up for yourself. You have nothing to fear but fear itself. You too Hillary!",0.9702
1,"OK.  The NRA has won.  300,000,000 guns out there, for a population of 330,000,000.  If nothing has been done since the massacre of those elementary students in Conn., then nothing will ever be done.  So, accept the fact that the NRA has won.  What to do now?  Stay away from: churches, schools, sporting events, malls, parades, concerts, rodeos,  marathons, offices, any place where people gather.  I know it diminish our quality of life, but at least we will still be alive.  I repeat:  the NRA has won.",0.946
2,"If they had any sense, the NRA would support ""smart guns.""  Sales of guns would increase as responsible owners replaced their existing guns for safer new ones.  Trade-in programs could even be used to improve the NRA's image. ",0.9287
3,I don't kill them for sport I kill them because they are delicious.,0.9037
4,"I don't get this.  The officer starts off behaving very professionally and courteously.  What made him fire his weapon?  Did he panic? Was his ego threatened?  Insufficient training?  Some inherent personality or character disorder?  I am sure race played a part, but to simply explain it on that basis misses the opportunity to understand these shootings better and to learn how to prevent it from happening again.  I would hope this comes out in trial, but most likely it won't.  I am not trying to rationalize this but we need to understand all contributing factors if we hope to solve this problem.",0.8431
5,"Designed for warfare, Semi-automatic rifles gave the U.S. an important WWII military advantage. In peacetime America these, and all openly displayed firearms, promote paranoia and convince those brandishing them of their indomitability. Good Morning America, you've awakened to a vigilante thugdom. The arms merchants who promote war salute us. ",0.7906
6,The whole culture of psychopathy rewards kissing up with the power to kick down.,0.7783
7,Advocates of stop and frisk would gladly allow it on themselves if it means a safer city- they usually have nothing to fear about the procedure.,0.7599
8,"After several mishaps, I have replace ""the flat blade of a knife"" with a rolling pin.  Very effective for smashing and much safer, as we keep our knives quite sharp!",0.7569
9,Guns don't scare  me - crazy people with guns scare me.,0.7424
10,Gun control is what we need.  The Second Amendment was about keeping militias armed.  Either get Supreme Court justices appointed that support the original intent of the Second Amendment or repeal it.  The scourge on our nation that is the National Rifle Association needs to be addressed.  Now.,0.7351
11,"Open carry in front of a school, in a place that serves alcohol or a hub of transportation can only be seen as a provocation.<br/><br/>Anyone that would assert there's nothing threatening about carrying a loaded<br/>rifle within range of a public school is welcome to leave their innocuous totem of fading manhood at home and do something genuinely useful.<br/><br/>Comparing the vetting process for a CCW to Georgia's Peacock law is like comparing a CDL to a first learner's permit.<br/><br/>Odds are the largest potential threat to anyone in the Hartsfield terminal<br/>was the clown at parade rest.<br/><br/>Since it is obvious that you have a grasp of the higher standards in play,<br/>feel free to elucidate your point in a manner that includes refutation, illumination and education.<br/><br/>You may have forgotten one or three in your response.",0.7249
12,"This is absolutely not the most dangerous time to live in our nation - by nearly all measures we are safer than ever before. I also don't see an existential threat to our nation from terrorists, be they ISIS, al Qaeda, or domestic disgruntles - automobiles are more dangerous than these miscreants. I also don't see anything in our behavior indicative that we are the home of the brave - quite the contrary, evidenced by opinions like yours.",0.6948
13,"A concealed handgun license is accepted as proof of eligibility to vote????  A concealed handgun license is accepted as  proof of eligibility to vote???  This has to be a misprint.  Say it ain't so, Rick!",0.6654
14,It's hard to explain to people that Freedom unfortunately has a price...be it Freedom of Speech or the right to bear arms...there are million of people in this country who have guns legally for hunting or recreation and never bother anybody...and by the way....Europe's gun laws don't seem to stop anything either...please reference the recent train shooting and the attack on the newspaper...Can laws be strengthened..of course....but the politicians don't have the strength...blame them...not the right to bear arms.,0.6623
15,"""All of the commenters here castigating the young man who was shot for carrying a pistol at a peaceful rally are missing the point.""<br/><br/>Actually, I think it is you that is missing the point.  First, he wasn't shot for ""carrying"" a pistol.  As stated in the first para, he was shot for shooting at the copes.  <br/><br/>Second, the rally he was participating in was anything but ""peaceful.""  As stated in the article, ""the man, Tyrone Harris Jr., was among two groups of young people who exchanged gunfire NEAR peaceful protesters."" ",0.6369
16,"The victims pleaded with the shooter to stop and consider what he was doing.  They knew that they were about to die, yet they treated the shooter with dignity and respect.  He killed 9 human beings who were studying the Bible in a church.  I know all of the innocent victims are dancing in glory with God.  But, for the shooter.  Keep him behind bars, alive as long as possible in prison.  Don't kill him; that's what he did to those faithful Christians in their church.  Or maybe send him to ISIS.  Or ask the NRA to name a gun after him.  ",0.6258
17,"""I am convinced that many, if not most, of these gun toters are not motivated by self defence, but motivated by the desire to intimidate. They want power. They want the power to take human life with the ease of pulling a trigger. "" WOW  . You scare me with that kind of obsessive thinking. Paranoid? Schizo? seek medical attention quickly please .",0.5829
18,NRA didn't kill anyone.,0.5773
19,NRA didn't kill anyone.,0.5773
20,"First of all my sincere condolences to the parents of the victims.<br/><br/>There is certainly a racial root in all this, but this is a very easy police solution of its investigation.<br/>We have to keep also in mind that the caliber 9 gun used by Dylann Storm Roof was a nice gift of his lovely father for his 21st anniversary.<br/>This explains the mentality of this father, which must be incriminated for direct murdering instigation.<br/><br/>There is a second connivance from the Gun and Rifle Association, which finances the Free Army Lobby acting on USA Congress, to vote against the guns' control, which Mr Obama is promoting.<br/>For this reason the  Gun and Rifle Association should be incriminated  for indirect murdering instigation.<br/><br/>I think that police and the low can make much, if police will work politely and the courts will be formed of 50% whites and 50% blacks.",0.5697
21,"As our beloved Molly Ivins wrote in Texas some time ago, I am pro-knife and anti-guns.",0.5106
22,It's not end of story.  It could have been handled without violence and roughness.,0.5096
23,"This is a very definig moment in history.<br/>We need to stop being selfish cowards in the face of these kinds of events (see all the mass shootings in the US).<br/>These young men make all mankind proud, especially given that their buddy was injured, they never once considered killing the assailant... (something local law enforcement could learn), this is due to the fact that these a brave young men who actually know the value of life, even that of their potential murderer.<br/>Friday's tragedy became a triumph for humanity.",0.4795
24,"Very eloquently said! Thank you.<br/><br/>Josefina Alvarez<br/>Santa Fe, New Mexico ",0.4688
25,"When the predictable responses from the guns-everywhere crowd is ""someone there should have been armed for self-defense,"" how can anyone feel safe in this country?",0.4404
26,"With all due respect to Mr Krostof, we don't need any new ""lessons"" from the latest act of handgun lunacy.The lessons are already chiseled in the hardest granite: (1) a sizable fraction of the adult population of the United States have mental illness issues, (2) the availability of handguns in this country is unimaginable, (3) politicians will continue to cave to the NRA and its toadies with each act of outrage, and (4) the citizens of the United States will continue to wring their hands and do nothing.",0.4019
27,"First, this really makes me mad.  No one has the right to go trash public land for their own purpose, and responsible gun owners know that this behavior is dangerous.  From a more pragmatic standpoint, this is the result of gun ranges that are being run out of business because of local laws and high insurance.  <br/><br/>Why not providing funding and insurance for good gun ranges? We provide public money for golf courses, swimming pools, and a variety of parks. Why not provide public money to create safe, modern gun ranges so that people have a good place to go shoot?  Talk to anyone that shoots about trying to find a gun range that doesn't cost a ton of money.  Think of it like the public pool, which takes some nominal fee to enter but is also supported by tax payer money.  I guarantee that you will get a lot of people out of the national forests if you do that.  That may not further a political agenda, but it would help curb that actual problem.",0.367
28,"For those who think this is biased gun-owner bashing, tell that to Mr. Martin's family.  He was fishing in a place our family gathered and fished for decades.   No more.   The easy accessibility of guns and the belief held by some that their right to bear and shoot guns wherever and whenever they please have made churches, malls, movie theaters, national parks, and grocery stores a threatening place for everyone else.  The wild west rules and he with the most guns win.  Is this what we really want?  What will YOU do about it? ",0.342
29,"Apparently, ''It is not us, it is Apple.'' However I would go by the one, in about by the year 2020 ''the Predator'' movie villain has; the whole arm ''powrcompfabletwatch'' with Invincibility and Camo App, strapped to my arm like a glove. Then Apple of my arm, could be eyeing the Earth with ease and smug.",0.296
30,"We're we all told as children at one time or another that when given a special privilege, if we behaved badly, we'd spoil the chance for others to enjoy that privilege?<br/><br/>Indiscriminate shooting around others, leaving tons of shot-up trash behind, destroying our archaeological heritage, and killing an innocent means it's time to end that privilege. It was never a right.",0.296
31,"All the flapping about the flag has proven to a quite effective distraction from the issue of gun violence and the easy access Dylan Storm Roof had to his weapons of choice and adequate ammunition to carry out his planned spree.  He didn't seem to be part of any well organized militia, but that hasn't stopped anyone or anything of late.  Heck, even Tombstone Arizona had a no guns in  it's town's law.  That's what started the gunfight at the OK Corral.  ",0.2746
32,"""There are too many guns, and too little national will to do anything about them.""  If more than 100 million Americans own guns then it's easy to frustrate the national will because the national will just doesn't exist on this matter.  Don't blame the NRA blame the psychology of gun ownership.  That psychology has permeated America.  That psychology protects gun ownership through a deliberate misreading of the constitution.  You are not going to legislate change when so many Americans accept the idea of gun ownership for many different reasons.  ",0.2641
33,"Why doesn't a sane society pass anti-gun laws? Why doesn't a sane society make it a national project to get guns off the streets? Sure, there would always be some illegal weapons out there, but the way it is now, the Wild West looks like a Sunday school picnic compared to 21st century America. ",0.2523
34,Doctors scare the living daylight out of me; they love using that knife and your pocketbook.,0.25
35,"Patriarchy? A gun make a 125 pound female superior to a 250 pound rapist. It gives the weak the ability to defend themselves against the strong. Guns are used many more times in defense just by showing it without a shot even being fired, than in being shot. If you want to discuss disarmament, speak to the Christians in Darfur, ask them how trusting the government with your safety worked for them.",0.2177
36,"It's sad that you never heard of Barnie. Actually, you and your friends should be ashamed. Start doing your homework! He was the only one to stand up to Greenspan and held him responsible for helping the bubble building.",0.1759
37,"Virginia is awash with guns.  On Tuesday my Washington Post includes a circular whose front page is nothing but handguns and military-grade weapons.  I am sure that we have many more handguns in Virginia than people.  Hunting with rifles is a sport; perhaps not for everyone but a sport that millions of people love.  Handguns sold in strip malls with large magazines are designed to kill people, not target shoot or hunt.  We need more serious background checks and stricter gun transfer laws.  And may the people of Roanoke find peace.",0.1691
38,"Not true. The Israeli army figured found that the rate of suicides have gone down drastically by not allowing their soldiers take their guns home on the weekends. Guns make it easy to kill and versus other forms of suicides, you have a less likely chance of surviving and seeking help.",0.1254
39,"The key sentence in this article is:<br/>""Shouldn’t we regulate guns as seriously as we regulate toys?""<br/>The warped interpretations of the Constitution will never allow the word ""ban"".<br/>However, now is the time to ""regulate"" the ownership and use of guns.<br/>Not everyone is fit to be in the so called ""militia"" and ""bear arms"". We have age limitations and exams to license people to drive cars, smoke, drink liquor, etc..<br/>We must ""regulate"" guns with a strict set of laws and requirements.",0.1114
40,There's nothing wrong with trying to limit future gun ownership. ,0.0397
41,Note: the organizations you named have never shot anyone.,0.0
42,"why bring up well-regulated without bringing up the words ""militia"",""security"" and ""free""?",0.0
43,"The NRA has little power of its own.<br/>Its power is the millions of like-minded voters who can be relied upon to turn out.<br/>Politicians know this, even if anti-gun folks never seem to catch on.",0.0
44,"Nope, not happening",0.0
45,"   BREAK UP THE BIG BANKS!!! The control of our financial system is mirrored by the financial control of our politics, too few in control.",0.0
46,"Blood on your hands once again, NRA.....",0.0
