,comments,scores
0,"Lee`s ability to put a wall between inside and outside people is characteristic of the conservative mind. Homosexuals are evil until that moment one of them is in your family. The uninsured don`t need medical coverage, unless one happens to be a family member. Romney shares disdain for the life of the 47% but will shut down his company to look for the daughter of a partner. Conservative principles are strictly for those outside the circle. Inside it is a socialist paradise, with unlimited access to education, medical care, material comforts, and connections to employment. Apparently living in a cradle to grave hammock is only a problem if you get the support from outside your social group.<br/><br/>Lee is an easy call.  Despite some impressive military victories, liking animals, a love of painting, and being notably faithful to his girl friend, nobody has to live on Hitler Blvd.",0.9859
1,"The Robert's court's ruling is truly amazing as it does suggest that we are finally on the road toward health care for all in America.  But as amazing is the resistance's refusal to acknowledge that the reform actually leaves much waste, duplication, opportunism, and private profit completely untouched.  This differentiates the ACA from Social Security and Medicare.  One can still get quite rich selling health care to Americans. What ethical system says people should profit from others' suffering?",0.9816
2,"@ Lori:<br/>Much history indeed. I mostly agree with your observations, with a few modifications:<br/><br/>""Traditionally (1950-60's) most psychiatrists had basic therapy training + 3-4 further years of psychoanalytic education. ""<br/><br/>Well, not always. Outside of a very few enclaves most psychiatrists did not go to the psychoanalytic institutes,through the PSAs were at the top of the caste system, and others often tried to emulate them. In the analytically-oriented programs, residents did usually get pretty good training in dynamic therapy. In other ""eclectic"" programs. anything could go. The joke was ""Eclectic means electric."" <br/><br/>"" Unfortunately they also felt ""superior"" to other mental health professionals, tho (1970's 80's) psychologists and clinical social workers sought their own good psychoanalytic education. ""<br/>and<br/>"" including the the period where (mostly male) psychiatrist-colleagues felt ""superior"" to me (then an intelligent, hopefully, thoughtful female clinical social worker).""<br/><br/>Oh yeah! And as I alluded above, may of them were not as well trained.<br/><br/>""But be sure if you want therapy that the therapist is extensively trained as well as compatible.""<br/><br/>Exactly. You sound very wise. Keep up the good fight.",0.9802
3,"As a practicing prosthodontist ( a dentist that specializes in esthetic, implant and restorative dentistry), I see many patients that have spent a lot of time and money fixing dental problems and I do the very best I can to help them maintain good oral health throughout their lifetime. No matter the order of oral hygiene methods, the most important thing is to be thorough. If you floss first, it is a good idea to rinse to remove loosened particles before brushing so you don't push them back into spaces between the teeth. Either way it is also recommended to use an antibacterial mouth rinse after thorough brushing and flossing to help decrease the amount of bacterial plaque that can build up. I also recommend frequent visits with my dental hygienist. It is easier for patients to maintain good oral hygiene if they are professionally cleaned every 3 or 4 months. Some patients that exhibit excellent oral hygiene practices can go up to 6 months between professional cleanings.",0.9769
4,"Touchet:  You are right that a single payer health care system would lower the income of many health care professionals. That is the whole point, because we have way too many of them, performing unnecessary procedures, at too high a cost. Every study of our health care system reaches this conclusion. We spend twice as much for health care as our European and Japanese peers. That extra money goes to good professionals, and some to unnecessary transaction costs in our health care insurance system.<br/><br/>Face it, health care has become a make work, wealth re-distribution system for some members of the middle class. What we ought to do, and what Bernie suggests is put our middle class to work rebuilding our infrastructure, educating our children, revamping transportation and energy production to eliminate CO2. ",0.9761
5,"My god man, what did you do that required such self flagellation as that?  <br/><br/>And you were debating Mr. Moore in front of any audience that booed and hissed before you made your argument, at just the mere mention that Obamacare was a success?  Will Moore return the favor by debating you in San Francisco's Castro District?  Or just to make thing a little fairer, on NYU's campus during the academic year and not during exam season?<br/><br/>When an audience is that biased against you, you have to use rhetorical tactics to get them to listen.  Try something like:  Well, my opponent Moore does have some merit to his argument.  Take Obamacare, which has had its problems, conceding the problems with the rollout.  Then present the numbers that show Obamacare's success. <br/><br/> And continue:  Though these numbers are far better than Obamacare's critics and even it supporters expected, you must remember that Obamacare is really a conservative Republican program, which Heritage Foundation's scholars created; provide the citations to the Heritage Foundation's publication of what is in all material respect Obamacare.  So given that Obamacare was the best that Republicans could do to reform our failing healthcare system, I am sure that we liberals can do much better; then give them the numbers on relative GDP spending on healthcare for advance democracies that use single-payer healthcare insurance, which is about 9% of GDP, as oppose to the numbers for Republican Obamacare, which is about 17.1% of GDP.",0.9715
6,"""A better way to address our health care challenges is to put patients and doctors in charge of health care decisions."" Tom Price, R GA, US House Budget Chair<br/><br/>The GOP insists they have a better plan and wrap it in the seductive language of choice. Americans should be able to choose the insurance they want rather than the government telling them, he said on NPR today. <br/><br/>Of course, we tried that. That's how we got a $2.7 trillion health care industry and over 15% uninsured and climbing. And the insurers were free to choose to deny or cancel coverage if you actually needed it, which is why individual plans were cheaper. And women paid more, especially if they were of child bearing age. <br/><br/>With no standards, comparing policies was impossible.<br/>Insurance was an optional choice so a lot of younger people went without, making the risk pool older and less healthy. Based on their rhetoric. any GOP plan would have no mandates on employers, insurers or citizens. All choice. Just like before 2010.<br/><br/>The best promise of the ACA in cost control will come from evidence based medicine facilitated by electronic records. All kinds of useless treatments, surgeries and drugs will no longer be regarded as sound practice. And that will make a huge difference, especially with Medicare.",0.9683
7,"Those who propose getting rid of the health insurers through some form of single-payer system are often naïve.  First, non-profit health insurers, due to the constraints of their non-profit status, reap very little margin from the financing of health care. Furthermore, the amount of money insurers pay for various health care procedures is generally guided by Medicare, so the insurers are often not deviating that drastically from what the government is also doing.  Unlike non-profit insurers, physicians groups are often dramatically over-compensated regardless of their quality. We have a system in which surgeons are making $500,000 a year, incentivized to provide more care in order to make more money, with the necessity of many procedures already questioned.  That, readers, is a profit motive.  If you want to reduce the profit motive in health care, you are going to have to shift away from a fee-for-service model and move into a salaried model like at the VA Hospitals or the NHS in the UK: in those systems, physicians and other health professionals are salaried and do not have an incentive to provide more care and bill more CPT codes.  Additionally, if you look at Canada's single-payer system, it's a disaster, particularly with regards to certain areas of care, like mental health, medical rehabilitation, and others.  I'm a 3rd generation Democrat, but I'm not naïve when it comes to health care.  Do your homework, then re-consider how good a single payer system would be.      ",0.9654
8,"Reality is catching up to the Flim-Flam-Obamaman.<br/>This POTUS promised $2500 reduction in healthcare costs per family.<br/>He claimed that 30 - 40 million Americans wanted health insurance and couldn't afford it.<br/>Under obamacare, even with govt subsidies, at best 1/3 of the previous uninsured signed up - but that is an obamastat - others say about 1/4.<br/>Who signs up? Sick folks. Who doesn't sign up? The majority of those uninsured, i.e. young, healthy, optimistic adults.<br/>Obama conned the insurers into believing that all previously uninsured would immediately sign up. He even promised the insurers that the Feds would cover their loses. Not happening.<br/>Hense the insurers, a pretty heavily regulated industry at the state level, need to charge more. Surprise!!!!!<br/>Thanks to all you flatearthers who empowered Flim-Flam-Obamaman.<br/>Oh! And conservatives did have a better plan - you just weren't listening :(",0.9612
9,"The insurance companies have no systematic motivation to reduce drug prices.  Under the law, 78% of the premiums paid have to go to health care (including the drugs) and the remaining 22% is available for overhead and profit.  If they reduce overhead they get to  keep the difference, but the same is not true of the cost of care.<br/><br/>Assume that they set the premium at $100, assuming that care would cost $78, leaving $22 for overhead and profit.  It turns out the care only cost $60, they have to give you back $23.08 Because they should have charged you $76.98, $60 for care and $16.98 for profit.<br/><br/> You are correct that the analysis is worthless and that it will be interesting to see if there are improvements in health outcomes.",0.9604
