,comments,scores
0,"Tests are a good teaching tool, help motivate students to master critical elements of the material being taught, but they become insidious when used as the sole means of grading or otherwise judging competency.  For me, the real question is:  What is done with the results of these tests?  If they are used as the sole basis for grading, determining whether students pass to the next grades, or rating the competency of the teachers, that is very wrong.  Some students are quite competent, but don't test well, due to anxiety or any number of other issues.  Conversely, there are students who know how to score well on ""multiple guess"" tests, but who really aren't competent on the subject matter.  Multiple choice tests also don't show whether students have good oral skills, whether they listen to others, build on ideas, and arrive at new insights, or whether they will remember any of the subject matterafter the test.  Accordingly, tests must be only one tool among many in helping teachers motivate and grade students (and in helping schools motivate and grade teachers.<br/><br/>As to the last question, it's great to include a few problems that stretch the minds of the test takers, and that only a few will get right.  The correct answer is not in the text, and is not a very satisfactory answer, but it is a reasonable interpretation of the story and clearly the best alternative presented.  So, right answers will help identify students with exceptional talents (including good guessing).",0.9901
1,"I am grateful for the high quality of reporting on education in The Times. And this piece is a good example. But I wish this paper spent more space on the educational plight of the average American and less on the elite. <br/><br/>I suspect that the staff at the The Times has more brushes with students who aspire to the most elite institutions, and I also am certain the staff has more exposure to graduates of these institutions. But that's not the average American's--or even the above-average American's--experience. <br/><br/>I know you do plenty of pieces on the 99% of us who do not get Ivy League educations, but there is an inordinate number of articles about said ""League."" What made me notice most of all this time was the title, ""A Prudent College Path."" I'd assumed it was something I might read for my intelligent and successful teenager, but, alas, it was for the three people in his class who could possible benefit from this advice, no more than that. <br/><br/>While elite colleges have rightly earned strong reputations as institutions of learning, the press would do well to note how often they are attracted to giving these super-star schools and their super-star students too much attention. Perhaps fewer articles about these exceptions and more articles about the masses would  better inform a greater  number of us.",0.9899
2,"It's easy for you to look at this district! How about looking into the going's on in Districts 20 , 21, and 22 in southern Brooklyn where politicians like Felder, Greenfield, and Hikind hold sway?! While the districts themselves do an otherwise fine job educating their charges, essentially because of populations who value education, you can be sure they take care of their supposedly rigidly orthodox brethren and their Yeshivas first! Often at a loss to ALL our kids! Simple case in point is that I understand FDR high school which encompasses those districts recently celebrated its' glorious 50th Anniversary! Councilman Greenfield and his mishpocha staff were invited to their Sunday banquet, indicated they would come, and FDR's burgeoning alumni association set aside almost five hundred dollars for a Kosher table! Greenfield and his staff not only didn't show up, they never even sent their regrets! The alumni association would have been happy to allocate those monies for scholarships for our kids!...It will be interesting to see what these politicos do when one of southern Brooklyn's other high schools, and a much more famous one at that, New Utrecht celebrates its historic 100th Anniversary this October, and many of its notable Hollywood alumni, a number landsmen like myself, fly in from the west coast to glorify in their proud eastern Bensonhurst and Borough Park roots, and see that their old neighborhoods have essentially been turned into political fiefdoms and ghettoes?! ",0.9888
3,"High level US corporate life seems insane - and of course long hours are built into some high level professional roles in Europe.... But attitudes to work and balancing career and family seem more advanced in Europe - anecdotally at least - career breaks and job sharing are common in Ireland in the public sector.... The working week is capped and holidays are long in France.... German working life is more balanced..... And while the economists among you might point out that work life balance must be great in Greece, but unaffordable.... Nonetheless there most be a societal happy medium that's achievable that allows both parents to participate in the workforce, while having a home life..... By the way I agree with a comment below that examples drawn from elite universities graduates are not representative of the US at large..... They probably represent your readership.... but perhaps your readership need to be reminded that there is a world outside their upper-middle class environments..... How do working class American women cope with family life and child care??? ",0.9865
4,"<a href=""http://mobile.nytimes.com/2015/08/10/us/teacher-shortages-spur-a-nationwide-hiring-scramble-credentials-optional.html"" title=""http://mobile.nytimes.com/2015/08/10/us/teacher-shortages-spur-a-nationwide-hiring-scramble-credentials-optional.html"" target=""_blank"">http://mobile.nytimes.com/2015/08/10/us/teacher-shortages-spur-a-nationw...</a><br/>As a student, I know first-hand the importance of a good teacher in learning and doing well in class. With teacher shortages putting pressure on schools to hire, there's no guarantee that teachers will be experienced, good at teaching, or have any idea what they're doing. But experience doesn't always make a good teacher. I've had teachers that are so experienced in their subject, have been in their position for over 20 years, and are very nice, but they weren't good at conveying information. I've also had teachers that were only a few years out of college that were very effective in their teaching methods. Experience helps, but it isn't as important as being able to convey information, which is the main task in teaching. I'm sure the young teachers being brought in will be able to adapt and rise to the occasion, maybe with their learning days so close behind they'll be more able to put themselves in a student mindset. Rather than worrying about students effectively learning, I think greater concern for the future would be in insuring that this lack of teachers doesn't cause an over abundance in years to come, with young people seeing the great job market in the profession and all jumping into teaching school.",0.9865
5,"This article was about an exceptional individual creating a program of excellence that offers kids an opportunity, through participation in sports, to aspire to higher ideals. The parents portrayed in the article support not only  their children's participation in the program, but the program itself, including materially. <br/><br/>I for one think that Coach Bandura is an exceptional human being, and reading this article challenges me to seek in what ways I too could contribute to a better society by using him as a role model. I speak as a university professor, but also as a father whose kid has been through grad school successfully, and who was not ashamed to trust her to capable teachers and mentors, realizing that I did not possess nearly all the skills to successfully homeschool her, as you seem to be suggesting, to the same satisfactory outcomes. I thank God for exceptional people like Coach Bandura, and people like that who I can look up to. If that shows lack of shame, so be it.",0.9848
6,"I have taught maximum security inmates in the prison system for a number of years and I support offering courses to those that desire to take them. Most of the students I have had were very good students, highly motivated and they performed very well. And yes the statistics for such a group regarding recidivism are fairly good.<br/><br/>But for balance a few realities should be pointed out. These students are self-selected. They are for the most part interested and motivated to change and better themselves. It is not correct to infer that if all inmates are simply offered college classes that there will be a dramatic reduction in those returning, because many are not interested in changing and no one can predict when they will be. <br/><br/>So these programs have the very real possibility of helping 10-30% of the inmates get their life turned around, which is a good thing of course, but  again it's because they want to change in a fundamental sense. For the majority who are not yet at a point they actually want to follow the rules, there will be no such change.<br/><br/>Inmates don't change because you and I want them to, or we offer them opportunities to change, they change only when they decide to themselves. So it is good to have educational programs, it's also good to have some sense of the bigger picture.",0.9799
7,"For so many of us when we are younger we receive praise for our obvious gifts we are pushed in that direction. We think that is the way we ""should"" go, I mean after all, it would be the easy road. I taught gifted kids for awhile in a high school. I always cautioned them about their futures, reminding them that they have to make choices that suits them and not their parents or others. I was always good in math, and everyone assumed I would go that direction. I even got into college as a math major. But I looked around and said ""I couldn't possibly do this the rest of my life"", and changed my major. Fortunately for me, I had a variety of choices because of many passions. I eventually taught 18 different art and humanities courses over a 35 year career. To make a long story very short, one of my courses ""Puppetry"" was packed with gifted students looking for a way to express themselves, along with football players, art students, math majors, etc. I used to say it was a good life experience, all working together in close quarters, putting on a show, and laughing their butts off in the process. Life is short, do what makes you happy, money will follow. The important thing is the process, product is always an outcome.",0.9774
8,"I wonder if ""the best jobs, or the grad schools"" are even the way to go. I traded a crack at that world for a second-string grad program and a non-stellar academic career. I have been employed 23 years by the same employer, own a house and a rental house, started a small business I will pursue in retirement, and travel a lot.<br/><br/>No I don't have a skyscraper condo, a beach house, or a Maserati. But I'm comfortable and live a great life. I wonder how many who focus on being among the 1% of business or academe ""like laser beams"" end up really happy? You might ask your sons ""what is it you REALLY want to do?""  Too few parents, in this age of anxiety, do that.",0.977
9,"Fully agree with the elimination of obstacles preventing teachers from migrating from one state to another, but getting rid of meaningless additional licensing requirements will not resolve the problem, because pensions are generally not portable, and they are also structured in such a way as to reward longer term employees of a state or a district. This is a big problem, not only for teachers, but for their families, because spouses are tied to a particular state, as well, and others, like my single and childfree sister who is the sole remaining immediate family member in our home state with my very-old parents, will have to remain there even when she is the only one left, rather than moving closer to her siblings and their families.<br/><br/>The concern about doing the same thing after decades as on Day One is misplaced. This occurs in many respected professions, like medicine or dentistry. The main problem is that, regardless of what are viewed as lax entry requirements to the profession, most people do not realize how hard teaching really is or how much time and natural talent it requires. <br/><br/>As an aside, I would note that, while requirements for entry to medical school are still quite high, there are plenty of loopholes such as outright nepotism and Affirmative Action that permit markedly less-well-qualified candidates to slip through. It's rather shocking, frankly.",0.9758
