,comments,scores
0,"A question: I've read over and over again that print still accounts for a majority of newspapers' revenue while digital is making gains. What I've never seen is a breakout of how much profit, if any, that digital accounts for.<br/><br/>So can we have that number, please? It may be that digital is more profitable than print. Or not. But this is the key figure, not revenue. The Times and many other newspapers invest enormously in digital, but if that huge cost at this very late stage in the digital game isn't paying off, it's relevant to all of us who value daily journalism.<br/><br/>By the way, I'm glad that Ms. Sullivan noted that although the ""newsroom"" staff remains around 1,300, many of the new hires have been in areas such as ""audience development."" But that sounds a lot like marketing and PR, not news. And it also sounds as if the Times has laid off real reporters and editors in favor of these newly created positions that have little or nothing to do with gathering and reporting news and may even serve to compromise rather than support a vibrant, incisive and independent news operation -- or at least so I've heard from journalists. <br/><br/>So please give us the number of reporters and editors today as compared with numbers for past years. <br/><br/>Meanwhile, thank you for another informative column. You've been doing a fine job, and I appreciate your candor and willingness to sometimes confront your colleagues. That can't be easy. ",0.9917
1,"And Speaker Car Heastie is just as dirty and that won't get mileage becasue he's a democrat....let's face it pretty much all politicians are greedy liars and yet we still vote them back into office, but it's the dems who get a free pass. Three Federal investigations later Christ Chrstie has still not been linked 1 1/2 years later on ""Bridgegate"" and there's good old liberal NPR doing yet another hatchet job on him....Hillary has her own server deletes e-mails and that get 2 stories tops then silence. Amazing how the supposed un-biased MSM treats these stories. Amazing but not surprising.",0.9692
2,"Ms. Charles is very gracious. And I think Ms Deen has learned a lot. I grew up in a place that was considered southern, although in Md. It's called Southern Maryland. Men went across the Potomac and joined the Confederacy. I am not so southern, as my father was Norwegian, but I know about the type of relationship that Ms.Charles and Ms Deen had. I think it is true what the writer here says..Ms Deen was just doing things the way they had always been done. But it is no longer an excuse. It's tough on the people who hadn't gotten up to speed yet, but even tougher on the recipiants of the injustices. I think it speaks well of both women, that they continue to be in touch, and that the ties of the special times they had together are not completely broken, but it speaks loudest about Ms. Charles. And most of all, love speaks the loudest of all. I look forward to the new book. ",0.9688
3,"I agree with the Commenters who are strongly chagrined by the path the Times is going down in regards to the wealthy. I, too, wince (to put it mildly) when I see some of the stuff. However, I am going to take the liberty of adding here the comment I previously made, because I am genuinely hoping for thoughts from some of you as to how you think the Times can solve its own financial conundrum. That is the fundamental issue I believe.<br/><br/>I cut the Times a lot of slack in catering to the wealthy with puff pieces, rich lifestyle sections, and the like. (Today's lavish coverage of Jimmy Lee's funeral in the print edition is an example.) After all, I understand that even my print subscription does not pay for the rigorous, hard journalism I want and expect. The wealthy readers are the market for the upscale ads which pay a significant part of the freight.<br/><br/>Do I like this bargain with the devil? Of course not. However, until the Messiah comes, we should keep in mind that the perfect can be the biggest enemy of the good. As long as I continue to get the good, rigorous articles on complex issues, I will put up with the fluff.",0.9656
4,"A great article, that tries to explain what these Kansans are trying to do without first making a negative or positive value judgement as the underlying thesis. It is so rare in journalism today for an article to explore issues --  even continuous ones -- from a humanizing point of view rather than a sermonizing one. I am not a republican conservative, but this article helps me to understand where Kansas's republicans are coming from in a good way. I don't think their policy is right for US federal policy, but I wish them well to see if it works for Kansas. If it works, let's borrow parts at the Federal level where it makes sense. If it doesn't work, we'll know that it doesn't and (hopefully) learn something in the process.",0.9638
5,"I wonder if the constant admiration of Clinton by the New York Times has anything to do with the 100,000$ donation the Clinton's made to the NYT charitable fund back in '08. I urge everyone to research the donations the Clintons have received and given and the multiple ties those donations have to the New York Times top shareholders. I used to respect the NYT for their investigative journalism and seemingly high standards but my respect has waned with the bombardment of pro-Hillary articles and barely a word about Sanders and the amazing momentum he's gained.",0.9601
6,"Why is Andrew Sullivan trotted out as a gay intellectual with things of interest to say?  Yes, I know his background at the New Republic and his writing on the topic. He seems to be someone the slightly left of center straight community is comfortable with.  I can assure you many gay men including myself find his opinions, which on topics like Iraq, to be all over the place and mostly espoused for his own interest.  He is awful.",0.9524
7,"Thanks Lynn for your wonderful support. Only because of people like you, I continue to write about all kinds of my experience in life from time to time so that all of you can understand and appreciate our culture. <br/><br/>Culture may be different but human sentiments are the same globally. That's the main reason why I am enjoying reading many articles and the comments thereof. This is what required since we are essentially  "" Vasudaika Kutumbam "" or literally Global Family thanks to the Internet.",0.9451
8,"These are the stories behind the headlines that tell the real story of how soccer developed in this country, about Rudi and thousands of others like him, devoted people who usually worked for little or no money, motivated solely by their love of the sport and desire to help it grow.",0.9421
9,"At almost 88 I have a lot of wisdom to impart.  I have always worked until these past few years of retirement.  Though some volunteer work was often work.  I have a grandson going into the Navy.  I have begun to write him letters, no longer than 750 words on specific topics.  I am also doing this with a granddaughter who wants to be a writer.  My own writing will go to her on my death.  Conversations begun long ago and now refined I share with my husband and occasionally write columns or letters to the editor of a local paper.  I am the last of the letter writers and what good friend still alive comment on is my ability to keep in touch sometimes by e-mail, snail mail and telephone.  Every Holiday season my cards enclose a letter on some specific topic not just what families are doing or not doing.  Life is good.",0.9337
