,comments,scores
0,"Wow, such a wise kid! I'm impressed. I have to say though, he is still not whole, but he is mature enough to understand that that's just the way he is, and that it's better than what we can do for him at this time. There's a difference, and it's an important one because it makes him look smarter, stronger and more mature. Insisting that he's whole and that there's no problem at all is just being an unrealistic, stubborn ostrich, and that's true for any disability. Recognizing the disability as such but being able to pull together a full life despite it is what's actually impressive and inspiring to me, and shows true strength.",0.9896
1,"<a href=""http://well.blogs.nytimes.com/2015/08/05/choosing-the-right-running-shoes/?src=me"" title=""http://well.blogs.nytimes.com/2015/08/05/choosing-the-right-running-shoes/?src=me"" target=""_blank"">http://well.blogs.nytimes.com/2015/08/05/choosing-the-right-running-shoe...</a> <br/><br/>This article about choosing the right running shoes interested me because I'm looking to get new shoes at the moment. I thought it might give me some kind of sciency technical advice, but instead, what the article said was very simple- if it's comfortable, it's the right one! It's really just common sense (but now scientifically proven).<br/>This got me started thinking. The article suggested that your feet and senses are actually the best judge of what's best for it. Could it be that the same rule applies in other areas as well? Eg. what position we sleep in, our posture etc.<br/>If so, it would be rather ironic, as we spend years and years studying the right way to do things while nature has been telling it to us all along.<br/>Of course, I'm sure that not all of what our senses say is good is the right thing for us. Chips taste great! But that doesn't mean we should eat it all the time...",0.9886
2,"I think the ""good"", ""better"" and ""best"" ratings system is a mistake. It implies that WF thinks the pile of conventionally-grown asparagus really is ""best"", but what does that mean? Best for your health? Best for your budget? Best for the environment? The terms used undermine WF's previous efforts to convince us that organic food, pricey as it is, is best for our health and our environment. <br/><br/>On the bright side, I am glad to see WF is finally having to think deeply about competition. I stopped shopping there a long time ago, as I simply could not afford the prices there. ",0.9864
3,"There is growing literature that supports the view of an  intrinsic motivation to help, share and cooperate with others, and that thesa motivations are depply satifying and meaningful.  But these motivations , ""the better angeles of our nature"" can only flourish were ther is a sense of safety and trust, and were fear is not used to impose compliance. When we feel endangered we revert to a every man for themselves psycology.  Creating these conditions is what good and enlightened leadership is all about",0.9796
4,"Good for you, you made it! Congratulations!  You have much to proud of.<br/><br/>Now, do you have any interest in giving back, or really, did NOBODY help you get where you are?  NOBODY?",0.9596
5,"Ah - but, you see, Latvia is finally starting to catch up, which totally vindicates Steil... as long as you don't consider such stupid intellectual things like the areas under the curve. Real Americans don't need no stinkin' calculus.",0.9554
6,"Yes,  and for those of us old enough to remember when<br/>being said to have ""lots of class""  didn't mean Wall Street money,<br/>and big penthouses and pretensions,<br/>in fact, the opposite,<br/>it'd be a great  green relief to find lots of people who have class.<br/><br/>Who think good manners are a fine thing...and that good manners<br/>means ""for everyone"".",0.9477
7,"Best humorous descriptions with some heft since Flannery O'Connor.  Such inappropriate work for a pore ol' 12-year-old, but she did the best she could. like the good girl curious about being bad that so many are.",0.9382
8,"Well yes, Israel got the bomb pretty quickly and it has failed to make the ME a better or safer place.",0.9349
9,"""Doesn't mean that these countries are Italian either, right? Thank god, they aren't.""<br/><br/>-----------------------------------------<br/><br/>From Friedrich Nietzsche:<br/><br/>""In old Italian cities, even among the lower classes, there is an aristocratic self-sufficiency and manly breeding (which showed that it was not necessary, as Germans sometimes said, to have a great state to make the soul free and manly);  a poor Venetian gondolier is ever a better figure than a Berlin Geheimrath, and in the end, indeed, a better man.""",0.91
