,comments,scores
0,Warm congratulations to the Turkish people for mobilizing to preserve their proud heritage of secular democracy. The world is proud of Turkey with its impressive voter turnout that lays the foundation for the ousting of Erdogan and the return of freedom. We wish all Turkish people great success in going forward! ,0.9839
1,"Let me reiterate what I believe is the Republican Pentagon/C.I.A. strategy...............<br/><br/>( I don't drink or drug )<br/><br/>In the 1980's, the C.I.A. supported the mahujadeen and Osama Bin Laden in their fight against the Soviet occupation of Afghanistan. The Soviets are forever trying to gain warm water ports ( even though ships are now obsolete sitting ducks ) for their Navy.<br/><br/>Then 911 occurred and we invaded Afghanistan to destroy Al Queada led by Bin Laden and then also wound up pitted against the ruling lunatics there, the Taliban. Afghanistan is on the eastern boundary of Iran. So then what? Well, then the Pentagon invaded Iraq on the western boundary of Iran to depose Saddam Hussein and take Iraq away from any Russian occupation from the north, and you guessed it; to keep them from getting a warm water port on the Persian Gulf with adequate supplies of oil.<br/><br/>So now, we are occupying both Afghanistan and Iraq and next on the agenda is Iran in the middle to complete the trifecta of Russian boundary southern flank nations. But the Russians got friendly with Iran probably because they felt threatened by our military on their southern flank.<br/><br/>Now that we have left Iraq and Afghanistan, the heat is off, so Russia helped us make an agreement with Iran not to make weapons. Anyone in Congress who doesn't see this gift of diplomacy and cooling of war is a fool.<br/><br/>The heat is off but could come back if this agreement fails. It really is important. Vote for peace, please. Thanks.",0.9723
2,"Matt Richtel wrote a thoughtful piece on the ""thank you for your service phenomenon"" a few months ago.  ""To some recent vets — by no stretch all of them — the thanks comes across as shallow, disconnected, a reflexive offering from people who, while meaning well, have no clue what soldiers did over there or what motivated them to go, and who would never have gone themselves nor sent their own sons and daughters. To these vets, thanking soldiers for their service symbolizes the ease of sending a volunteer army to wage war at great distance — physically, spiritually, economically. It raises questions of the meaning of patriotism, shared purpose and, pointedly, what you’re supposed to say to those who put their lives on the line and are uncomfortable about being thanked for it.""<br/><br/>Let's recognize that this phenomenon exists, that many vets feel this way and many don't, that people who go out of their way to express feelings of gratitude are in fact expressing feelings of gratitude. Period. Let's also recognize that sincere expressions of gratitude are not a substitute for service to our country which can take many forms, which we all have a duty to perform, and which, sadly, so many of use are not performing. Period.",0.9716
3,"This is the best synopsis of the situation in the Middle East I have ever read. I do have two criticisms, however. The first is the implication that, by failing to act forcefully enough, Obama left a vacuum that was filled by ISIS. But we can only know that by means of hindsight, which as everyone knows, is twenty-twenty. The second is that in addition to calmness and transcendental peace, Zen denotes insight into the hidden inter-relatedness of things. This hidden inte-rrelatedness means that one can never do just one thing. If Obama had acted more forcefully in Syria, he might have prevented a vacuum from forming which ISIS then filled. But there would certainly have been many other side effects that would have been highly undesirable. I was registered as independent, because, although certainly not a Republican, I’ve been pretty much put off by the Democrats. But after Obama declined, even under great pressure, to launch Tomahawk missiles into Syria, I decided to give him my support and registered as Democrat. I consider his reluctance to use violence, his greatest quality and achievement. If any recent politician can be considered Zen, it is Obama.",0.9643
4,"Intelligence analysts always have this problem:Speaking truth to power.Finished intelligence has a lot of art and intuition in it.This implies opinion. All opinions are of equal weight. So disputes. Policy makers or operations C-3 in the military like actionable intelligence or what they call ""facts"".Usually these consumers pick the intelligence that fits their view to back up their decisions or assessments.<br/> This is the problem all intelligence analysts fit. In general the intelligence assessments clash with policy makers or the operations part of a military staff because other inputs are brought to the table by them which are not included in finished intelligence. The decision to invade Iraq was made to change the power balance in the middle east and get a democratic Iraq to support US interests their. In Vietnam we could not have a united communist Vietnam because that would give the Communists a victory in the cold war and empower Communist China.Lots of analysts disagreed with these policy goals because they did not consider them viable.But other factors affected policy makers then the dynamics of the Iraq situation or Vietnam.",0.9597
5,"George Bush won the Iraq war! Obama inherited a stable Iraq, but blew peace and created ISIS when he yanked troops out too soon just for cheap political points and in a desperate attempt to halt the nosedive in his cratering poll numbers.  Obama himself said he was leaving behind a secure, stable, and  self-reliant Iraq. Biden said Iraq would be obama's greatest achievement ",0.9571
6,"I am sure that this writer is correct, but I think he misses the point of this deployment. The purpose is not to save Iraq, it is to save the White House for the Democrats. And I am a Democrat. But that is the only thing that malkes sense. Obama is taking heat for doing nothing-so he is doing as litle as possible and saying it is a solution. <br/><br/>And that may be the right thing to do. I am not sure that the present Iranian backed regime in Iraq is better for the US than ISIS would be. ISIS might even be a good counter-weight. <br/><br/>But I suppose it would not be PC for our government to just say that we are going to let these guys sort out their own government, and we will just cut the best deal we can with the winner. So, as we did in Vietnam, we are pretending that we can alter the outcome. We only give up that charade when it collapses under its own weight, like Vietnam or Nationalist China, or Nicauaga or Cuba.<br/><br/>So do not be irked at Obama-this is SOP.",0.9556
7,"Let's call a spade a spade.  We have been privileged to experience eight years of  a superior president -- graceful, well-spoken, articulate, and militarily effective as Commander in Chief.  (His dispatching of Bin Laden required a surgically precise operation, not a grossly dishonest, ineffective, and obscenely wasteful invasion.)  We are spoiled.  I fervently wish we could have eight more years of Mr. Obama.  None of the Republican bile, xenophobia, and utter mediocrity can persuade me otherwise.  I deeply regret that we find ourselves reviewing the merits of such mediocrities (Trump, Bush, et al.) as the Republicans have put before us.",0.9555
8,"Several years ago, I attended a corporate game of ""paintball"".  The group was divided into 2 teams and there were a couple of female combatants, including one women who had served in the Army.  Over the next two hours, she was clearly the best combatant in the contest, successfully ""killing"" myself and my male teammates many times, while capturing the flag and rarely getting shot herself.  I believe she was a better warrior than most of the combatants she would ever encounter, anywhere.  If they can make it through the required training, why not pick the best, regardless of sex?  Female units seem to work for the Kurds, while striking extra fear into ISIS.",0.9325
9,"I followed the link of the new park lands recommended by the Administration.   I couldn't find the names of the territories appropriated to the Park Service, but the other information on the link was so interesting I got distracted.<br/><br/>Stuff like: "" Provides pay parity for: (1) the Chief of the National Guard Bureau with the other members of the Joint Chiefs of Staff, and (2) the senior enlisted advisor to the Chief of the National Guard with the senior enlisted advisors of the Armed Forces. ""  <br/><br/>Should the National Guard Chief really be paid as much as the other Chiefs?<br/><br/>10000 other interesting questions arise whenever you look at what the Government actually does....",0.9263
