,comments,scores
0,"We did almost the same trip, but in reverse order, a couple of years ago, in the summer, and it was delightful.  St.-Jean-de-Luz is like a smaller Santa Barbara but French.  When we got to St-Jean-Pied-de-Port. it was full of people starting on their pilgramage to Santiago de Compestela, because this is one of the starting points.<br/>Another interesting fact is when the Jews were expelled from Spain at the start of the Inquisition, many when across the border and settled in Bayonne.  They brought their chocolate making skills, and Bayonne chocolate, if you need an excuse to buy chocolate, is now famous.  The museum mentioned in the article has a room devoted to the Jews of Bayonne.<br/>We had lunch next store to the museum at La Bayonaisse, which was really good, and staying in St.-Jean-de-Luz was a good decision.  It was smaller than Biarritz or Bayonne and easier to navigate.  We liked it and would go back.  Flying into Bordeaux, renting a car and driving 2.5 hours south is an easy way to get there.  Another trip is flying into Bordeaux and driving 1 - 2 hours east, which is how you get to the Dordogne.  Fabulous.",0.99
1,"Sure. I grew up in that predominantly black neighborhood, in rural Berkeley County, South Carolina, in a town called Huger. Perfectly safe (I can send you law enforcement data), clean (check several years of Google maps images if you need satellite proof), extremely friendly (ask my mother's white tenants, who now occupy my late grandmother's home) and inquire with one of the honors students, nurses, teachers, journalists or engineers who've been produced by my block. Pretty positive attributes and made me who I am today. Have an excellent day C.Asaki!",0.9794
2,"I like the idea of the art display. what about the love lock building/museum go in there if you want to attach your locks or view them, of course built to be structurally sound to carry very large amount of weight. Those who think it's an eyesore don't have to see it but an exterior that matches the beauty of the city. Win Win. I personally don't understand the locks but to each their own and if they are going to keep trying to find other areas give them one that is appealing on the outside. charge a small fee, have a shop inside with pretty locks to purchase and engrave your lock for an extra fee, and place your lock inside that building and inside that building only.",0.9786
3,"I'll back up Mr. Kilner's recommendation of Sumahan on the Water. It's a lovely hotel with a superb restaurant. The staff (all of whom speak English) are friendly and helpful. Sumahan also has a regular boat service direct to the European side of the Bosporus, which makes it easy to visit all of the usual tourist sites (Hagia Sophia, Topkapi, Grand Bazaar, etc) and then escape back to a haven of peace at the end of the day.",0.975
4,"I feel we as humans need to stick together and stand up for one another in a grand and unified manner. Why does it matter if someone is attracted to their gender? Why does it matter where we are from? At the end of the day we are all just the same flesh and bone as the next person. In the article, a guitarist by the name of Aston Kruger said “is this going to be a tearing part? Or a pivot point of people trying to understand each other, trying to live together?” Personally I hope the latter occurs. It would be a huge leap for mankind if two nations who hate every last iota of each other to be unified and accept one another. The part in the article that I am really optimistic about is when it mentioned that “Ultra-Orthodox Jewish men” would like to speak to the gay community. Hopefully this could bridge a lot of tension between the religious group and the LGBT community. This is a bridge that I feel needs to be built, not just over there but everywhere. If we talk we are able to understand, and if we are able to understand, we are able to accept each other as humans. That would be the perfect outcome of this. It seems that Israel is a nation that would negotiate, and there is no doubt in my mind that they shall “Soul-Search” and find the answer that resides within themselves. We’ve seen big changes coming out of the world these past couple of months, and I hope we can see more. Let’s all stand and make a world that the next generation shall be proud to live in! ",0.9721
5,"On a related note, since Denali park is a jewel, we should all thank Obama for making it a priority to expand our national parklands and wilderness areas.  <br/><br/>I understand that out west sometimes this isn't popular -- as it's viewed as federal encroachment.  <br/><br/>But I hope our fellow Americans out west can appreciate how all Americans have an interest in the preservation of our nation's natural beauty.  <br/><br/>I hope that sentiment",0.9673
6,"My daughter moved into one of these inner city neighborhoods. The streets were pretty and lined with beautiful old houses.  She made lots of friends and I found these people to be friendly, vibrant and interesting.   <br/><br/>However, summer nights were a different story.  Shooting, lots of shooting, and burglaries.  Loud talking, joking, fist fights at 3 AM.  Some people have to get up and go to work.  She lived there for 3 more years and decided the negative aspects outweighed the positive aspects.  She moved.  Back to the boring suburbs.  Boring can be peaceful year around.  ",0.9531
7,"steve - places that increase the value of the education they provide will see increases in property values; under your theory, the best schools would always be in the largest cities, since that's where the highest property values are - for a variety of reasons, not the least of which are property tax give backs to businesses, we can both agree that the largest cities, where property valuations are high, are not public schooling paragons.",0.9393
8,I always get a kick out of city people's view of country people's values. Can you please just admit that you want to control how other people live and that you only value freedom so long as we agree with you?,0.9349
9,"We agree and are proud owners of a small home from the '30s in Tucson now - looking more like a Cuban ranch - with a little piece of desert home and priceless views free to all. Guy, thanks for the ideas packaged in refreshing writing! ",0.9311
10,"I live not far from Times Square and frequently walk my dogs there. I like the pedestrian mall. Complaining about too many people is ridiculous -- it's saying basically that they'e too successful. <br/><br/>Maybe it's because I remember the '70s, when you wouldn't walk through Times Square in midday, but I think it's a very pleasant. These commenters sound like a bunch of curmudgeons. If you don't like it, don't go there! ",0.9285
11,"Sorry, Mr. Krugman, but I think the British passenger trains are far superior to ours.  We rent a house outside of Windsor every year and go into London and up north by train and they are timely, clean and comfortable and also don't make half the noise ours do.  So I must beg to differ on this one. ",0.9274
12,"I once attempted to rent to a Section 8 tenant.  I had just vacated a beautifully restored 19th century apartment which was all original with elaborate woodwork, stained glass windows, wide board floors, fresh white painted walls and cream painted woodwork.  The section 8 was a high school drop out woman with an illegitimate child and no money.  The section 8 inspector came and insisted that one of the original wavy glass windowpanes which I had preserved so carefully be replaced because there was a 3"" crack in one corner.   I thanked her for her trouble, explained to the potential tenant that section 8 had found the place not up to their standards and rented to a young White couple who both had jobs and were not sucking up my taxpayer dollars for free housing. ",0.9215
13,"All you say has merit EXCEPT this is not an article of having kids married or not. I believe it is about Section 8 vouchers and difficulty in finding landowners will to take Section 8 tenants. I do not believe in racism but in the best answer to the problem. Ghettos should be cleaned up. Whites will and should not be responsible for this other than by making sure social services are adequate, such as schools, policing, transportation etc. Section 8 housing OFTEN brings down neighborhoods because the same life style that was in the Ghetto is brought along with the tenants. The solution should occur at the origin. African Americans have reasons to feel marginalized. The solution is complex but partly to move all neighborhoods to a higher state. ",0.9091
14,"Nice project, and nice photos ! I like this ! :)",0.9039
15,"I've worked with my contractor on three subsequent renovations of different homes in NYC, and they have always come in on-time and on-budget (unless I have been responsible for change orders, which has happened).  Having said that, during my most recent reno (a complete wall to wall gut job of a co-op on 57th Street) I simply looked to find another unit in my building that was for rent (there was a small studio unit on the market), and then had the doorman call the owner directly - who was thrilled to rent to me short term (for five months) because there no building management paperwork to go through for a tenant who already was a shareholder themselves.  I think my rent for the studio was around $2500/month, and the additional added bonus was living in the same building where my reno was taking place, so I could easily assess my contractor's progress on a daily basis.",0.8996
16,"Any family that truly loved your parents, would asset them in moving to a more affordable area than San Francisco -- literally the most costly real estate in the nation!<br/><br/>They don't have to necessarily leave California, just move to one of the more affordable parts. But they'd be better off by a huge percentage if they moved somewhere more affordable. So would you, for that matter.<br/><br/>Are you proud to be keeping your parents living somewhere that is driving them into poverty? is it about the status?",0.8969
17,"Even if Mayor DeBlasio loses a second term in ignominy, his Pre-K initiative will still guarantee his status as a historic mayor. The best President Obama was able to do was mention it in a State of the Union address, and then immediately hit a brick wall with Congress. <br/><br/>Thankfully our 4 year old made it through the lottery, and will be attending subsidized Pre K in the fall. We'll be saving on day care fees, and that will help us facilitate our long deferred dream of owning a home. Affordable Pre K is a rare perk for the beleaguered middle class in this day and age.",0.8957
18,"I appreciate Guy Trebay's visitor's perspective on Tucson and its built environment, which is rather different from mine, but that doesn't make either of us right or wrong. I lived in Tucson from 1973 to '95, and wrote about Arizona's architecture for one of Tucson's newspapers and several different magazines during that time. In my view, most of the city's midcentury modern architecture and strip development outlines a story of cheap land, expedient city planning, and developers' rush to make a quick buck before anyone could see what was being destroyed. Tucson occupies one of the most spectacular natural settings of any city in North America, and the narrative of its urban development is one of the people failing the land.<br/><br/>There is, however, the delightful quirkiness Mr. Trebay notes; and a number of unsung architectural gems. I would recommend the Wilmot Library at 6th and Wilmot (built in 1956, I believe); and Ventana Canyon Resort (1982). The latter is a riff on an unbuilt Frank Lloyd Wright hotel design and illustrates how to integrate a very large building into a delicate desert mountain landscape with grace and sensitivity.<br/><br/>I like the Chase bank branch Mr. Trebay cites, but I always wished the original design Valley Bank had commissioned for that site had been built instead. Frank Lloyd Wright's 1920s design for it incorporated an unheard-of innovation—a drive-up teller booth so clients could do their banking without leaving their cars.",0.8938
19,"For those of you who tend to write off the natural glories of the urban world,  there are thrilling New Yorker ospreys who hang out majestically over the<br/>Hudson, nesting both in the Palisades as well as the Bronx woods!",0.8777
20,"As a frequent visitor to Sandpoint from a hamlet in Canada, I'm disappointed you didn't mention the vibrant downtown, the exciting summer music festival, the beautiful residential areas - and the only pictures were of trailer parks!   Not the Sandpoint I know and love. ",0.8725
