,comments,scores
0,"Old time Southerners know when the song, ""Dixie,"" was played at the end of every sporting event, from high school to college, and the great legions of fans from both Southern teams stood and at the conclusion let out a ""Rebel Yell.""<br/><br/>That ""heritage"" ended with integration. High schools and colleges quickly shelved the remainder of ""old times,"" in the light of the new day.<br/><br/>Now the time has come to do the same with a flag tainted by its own misuse even by those who claim it is a cherished symbol of heritage (albeit, seen through a very narrow lens!). The attempt to remove all actions and ideals and ideologies associated with the flag through its history has stripped it of meaning. And even its original heritage it taunted by those who deny it flew for the cause of slavery as a state right.<br/><br/>Through its denial, blame, and violence, its meaning was lost long ago. But would not those ancestors be proud of progress? Would they not be willing now to sacrifice for communities of love and healing, without race as a division of power and opportunity? If so, wouldn't they want the old flag to come down, as ""Dixie"" did? Wouldn't they want to honor the progress we have all made since its time? As men of honor, surely would this be so. Let's honor them by taking the flag down on public grounds!",0.9903
1,"There wasn't anything ""civil"" about the 1861 War for Southern Independence. The South had no option but to defend itself from the yankee invaders who were determined to protect their economic interests. They were not about to lose their ""milch cow"". It was NOT about slavery. Millions of southern men didn't go to war over an issue that only affected 6 percent of the population. That is absurd.   The truth is - there wasn't any shining northern force fighting a moral battle for the sake of ending slavery AND there was no oppressive southern force fighting to preserve it either. <br/><br/>The war that continues today is over POWER, greed and economic interests. Perhaps it is time to separate into two countries - one that cherishes ONE NATION UNDER GOD with a clear understanding of the constitution stating  the rights of the PEOPLE and STATES comes BEFORE the government. Without the South, the northern country can accelerate secularism, bigger government and socialism.    ",0.9788
2,"There wasn't anything ""civil"" about the 1861 War for Southern Independence. The South had no option but to defend itself from the yankee invaders who were determined to protect their economic interests. They were not about to lose their ""milch cow"". It was NOT about slavery. Millions of southern men didn't go to war over an issue that only affected 6 percent of the population. That is absurd.   The truth is - there wasn't any shining northern force fighting a moral battle for the sake of ending slavery AND there was no oppressive southern force fighting to preserve it either. <br/><br/>The war that continues today is over POWER, greed and economic interests. Perhaps it is time to separate into two countries - one that cherishes ONE NATION UNDER GOD with a clear understanding of the constitution stating  the rights of the PEOPLE and STATES comes BEFORE the government. Without the South, the northern country can accelerate secularism, bigger government and socialism.    ",0.9788
3,"Unlike the secessionist traitors of the Confederate States of America, Thomas Jefferson and Andrew Jackson led a United States of America. The fact that they were both white supremacist misogynist slave masters engaged in native genocide is the founding American ideal principle.<br/><br/>How about identifying the Democratic Party ideal with the likes of John  Brown, Gabriel Prosser, Denmark Vesey, Sojourner Truth, Harriet Tubman,  King Phillip aka Metacomet of the Wampanoag, Tecumseh of the Shawnee and Ocanastota of the Cherokee?",0.9618
4,"It has not ended and indeed Southern ideology has been the big winner since it captured the Republican Party and banished liberal Republicans.<br/><br/>Red vs Blue..............sort of says it all.<br/><br/>Even so,  we are one nation with the freedom to vigorously disagree.<br/><br/>We are still the envy of the planet.<br/><br/>We could stand to be a bit more respectful and gentle with one another.   We really need to work on justice as fairness so that we do not become another Mexico.  The inequality of wealth is as disturbing as any of our other problems. ",0.9528
5,"When my youngest son was a kid I used to watch that show with him; he loved ""The Dukes of Hazzard"" and so did I.<br/>Thank you Bubba Watson for your contribution to sport and for being a true good hero!<br/>You have my respect and admiration.",0.9476
6,"Defenders of the Lost Cause defend the public flying of their flag because it's all they've got. The wealth, the economic success, the great houses of the South were based upon one thing - the enslavement of their fellow man. Once that was lost, the South collapsed like a pricked bubble because there was nothing else left to sustain it.<br/><br/>Those who talk glowingly today about Southern chivalry and Southern honour, about the Ante-Bellum era, those who weep for the lost grandeur of the South, are little different from the ageing grandchildren of the senior Nazis who secretly still come together commemorate the glory days of the Third Reich. Or to those who nostalgically raise a toast to Stalin and Lenin, to Mussolini and to Franco.<br/><br/>I grew up with many such folks. Over time, I have learned to recognise them and to call them what they are. They are not conservatives. Rather, they are first and foremost fascists, who will believe to their dying day in the supremacy over reason and over science of the iron fist in the velvet glove, and who believe that someone with a white skin, whatever their faults, must be inherently superior to a human with a black one whatever their merits.",0.9393
7,"Hey Southerners - those of you reacting so strongly on this issue - do you think that everyone who wants to see the end of that flag also wants you to throw away all the other aspects of your culture and heritage, including the love of liberty and independence? I think it’s just the racist part of it that most reasonable people want to see you fess up to and let go of.<br/>Those out there who don’t see that there’s SO much more to Southern culture than just the history of slavery, and the overlooking or acceptance of it, are probably those ‘liberals’ you all don’t like, and a pox on them.<br/>But if you think that getting rid of that symbol ‘removes’ such a significant part of who you are, then y’all are just agreeing with them, aren’t you?<br/>And while I can also well understand how much you don’t like having outsiders/Northerners tell you what you should do, where else is it going to come from? Obviously not from yourselves – been that way for a long, long time.",0.9318
8,"Having lived through many ""pivotal"" events in America, often having to do with race, I am witnessing another.  When the son of Strom Thurmond says he is not proud of ""this heritage,"" that is meaningful to me.  I remember his father well.  He personified that heritage.  I do not expect an abrupt about-face.  Racial attitudes are strongly held and a process of enlightenment will be lengthy.  Yet what is happening in just a few days is hopeful.  Senator Thurmond also included in his remarks that human beings were kept against their will while experiencing unimaginable acts.   Once the flags and other symbols fall, it's the human beings that need our concern.  I hope that those whose devotion to a flag has fallen can invest their devotion in them.  ",0.9126
9,"That is certainly one way of looking at the 3/5 compromise, although not the one most historians adopt.  Since slaves did not form part of the community in the south (they were property), counting them at all gave the south more political power than democratic principles would have granted it.  Women throughout the country also could not vote, but they did comprise part of the community in that men in a sense represented them.  (I am not justifying this, merely describing the way the system worked.)  Nobody represented African-Americans, slave or free (except in those few northern states that enfranchised free blacks).",0.9116
