,comments,scores
0,"I am shocked by the editorial video about Ferguson on your first page today, Aug. 5, 2015.  It contrasts two versions of Grand Jury testimony about the shooting of Michael Brown.  It presents selective extracts of the testimony of Michael Brown's companion, Dorian Johnson police Officer Darren Wilson through actors. It does that rather faithfully to the transcripts, but omits the forensic and other testimonial evidence that demonstrated clearly that Johnson lied grossly and Officer Wilson told the truth.  The video leaves the viewer with the false impression that there were two equally credible versions of the events.  This is pure distortion.  The New York Times should be embarrassed.<br/>The best summary of all the evidence was the 86-page report published by the United States Department of Justice. It reported that there was not one single credible witness who supported Dorian Johnson's story–not one!  The forensic evidence and every credible witness supported the testimony of Ofc. Darren Wilson.  It is a tribute to the integrity of the professionals in the United States Department of Justice that they did not come to the result which Attorney General Eric Holder and President Barrack Obama were clearly expecting.  If you read the entire 86-page DOJ report, you will see that my comments above are correct.",0.9912
1,"An excellent article. However, it fails to address the complicity by then Richmond County District Attorney Daniel Michael ""Dan"" Donovan, Jr. in covering up the criminal conduct by the officer which led to the victim's death. All that the article says of Donovan is that he fought to keep the grand jury minutes secret; little wonder considering that he ensured that there was no indictment. Donovan, the quintessential ""company man"" always found a way to 'throw"" any case that was a political hot-potato. I told friends and colleagues that Donovan would use the grand jury proceeding to insulate himself; pretend he was doing his job but when he would actually be doing everything in his power to insure no indictment was returned. He succeed. The transcript of the grand jury should have be released, but anyone familiar with grand jury proceedings could tell this was a travesty. Donovan called 50 witnesses and presented 60 exhibits over a grand jury proceeding that lasted well over 2 months. This how you to so deliberately confuse and fatigue a grand jury that they cannot indict. Many people wrongly assume that double-jeopardy attaches to grand jury proceedings. Donovan could have simply empaneled another grand jury, but the courtroom mayhem was deliberately created by Donovan to kill an indictment, so he was never going to do that. As a reward for his complicity in the Garner cover-up, Donovan was elected the United States Representative for New York's 11th congressional district.",0.9724
2,"Maybe or maybe not ""smarter"" than the elected prosecutor. But definitely, without any question, more honest and trustworthy and committed to justice.",0.9719
3,"The grand jury failed to indict Wilson because it wasn't run as a real grand jury. <br/><br/>The prosecutor, whose job was to present sufficient evidence to the members of the grand jury to convince them that there was sufficient cause to bring Wilson to trial, went a major step further and turned the grand jury discovery process into a de facto trial by jury.<br/><br/>He did this by presenting both sides of the controversy, by presenting the potential defense case and, in the process, muddying the issue of possible culpability and confusing the grand jurors.  In doing so, he failed in his job but won in what we can assume was his implicit goal, to avoid having to put Officer Wilson on trial for any charge at all.<br/><br/>I believe that in a real grand jury process, with a prosecutor making his case that sufficient evidence existed to bring the entire matter to trial, the prosecutor would not have failed and we would have seen the whole question of guild or innocence be judged in a trial by jury.<br/><br/>Instead, we had a grand jury that was perverted by a corrupt prosecutor into a de facto trial by jury, with the result that Officer Wilson walked free, a true perversion of justice, and of the justice system itself.  Institutional racism indeed.",0.9604
4,"DRIVING WHILE BLACK  It looks like the problem in many places in Missouri is Driving While Black.  If, proportionately, a smaller number of stops of Blacks produce evidence of criminal activity than of Caucasians, that difference looks like the smoking gun of evidence against policing practices in many parts of the state.  After all, in 1899, in the US House, Willard Duncan Vandiver from MO naming it ""the show me state.""  Well, the evidence from police traffic stops shows us, indeed.  Law enforcement in MO has shown us its activities, Kosher and otherwise, in lots of very convincing photos and videos in recent times.  Clearly, if law enforcement nets less evidence of involvement with drug crimes from stops of Blacks, one must conclude there's something rotten in the State of Missouri.  So show us the rot already, and clean up the mess!  Let us see the content of the characters not only of Blacks who have stopped by cops, but of the characters cops-who-stop as well.  The public is entitled to efficient enforcement of the law.  Clearly, the MO police, in some places, need to rethink their proven ethnic bias in applying and enforcing the laws they are meant to uphold and peace they are sworn to protect.",0.9601
5,"<a href=""http://www.nytimes.com/2015/08/15/world/asia/indonesian-court-overturns-educators-convictions-in-sex-abuse-case-lawyer-says.html?ribbon-ad-idx=11&amp;rref=education&amp;module=ArrowsNav&amp;contentCollection=Education%20Life&amp;action=keypress"" title=""http://www.nytimes.com/2015/08/15/world/asia/indonesian-court-overturns-educators-convictions-in-sex-abuse-case-lawyer-says.html?ribbon-ad-idx=11&amp;rref=education&amp;module=ArrowsNav&amp;contentCollection=Education%20Life&amp;action=keypress"" target=""_blank"">http://www.nytimes.com/2015/08/15/world/asia/indonesian-court-overturns-...</a>®ion=FixedRight&amp;pgtype=article<br/><br/>As I selected a random article to read, this article turned out to be one of the many world problems we have that intrigue me; defending the innocent and true justice. First of all, almost all of the children's parents who were convicted of being raped by school staff members, supported the fake truth with evidence that did not even exist. These parents are not what create a corrupt justice system, by they are one of the many factors that make the situation more difficult to prevent. Maybe these parents knew the truth, but wanted to get something more out of the situation for themselves; such as money because they already had all the attention they needed to win the case  without any bumpy roads. If the parents were to speak the truth, then the situation would be dealt with in harmony. Where trust is not found, honesty will be scarce. I think trust is one of the most important needs to have in any type of situation because without trust; no justice can be served. <br/><br/>As for the REAL victims of the case, my sympathy goes out to them because being accused of raping children is cruel. The feelings they have must be gruesome. ",0.9599
6,"We are talking about teenagers. Teens are mouthy and do things that defy logic daily because their brains are not fully developed. Most LE know this and act accordingly. Except for those who should not be in LE. <br/><br/>This officer should not be in LE. In what world does an officer get to throw an allegedly mouthy, unarmed 15 yr. old girl to the ground and use his body weight to keep her pinned? I don't care what she said. His reaction was over the top. He is supposed to be trained to not escalate situations.  <br/><br/>I have no doubt that this officer was/is experiencing either primary orsecondary post-traumatic stress due to the nature of his previous calls. I am sure those were not the only traumatic calls in his career, some . But, he was fresh off from triggering calls. He should have declined the pool party call. Unfortunately, one often can't recognize that one is unfit for their job when actively triggered. That is why department policy needs to include debriefing, if not assessment following traumatic calls. But, that won't solve the problem because men in our culture, and particular in LE, are taught that needing help means you are not a real man.  Especially if it involves something related to mental health like VT. He probably was a good officer at one time.<br/>Lots of factors coalesced to explain what happened here. Racism is just one of them. But, I think his mental health was the predominate factor. None of us are immune from primary or secondary PTSD.   ",0.9526
7,"I Love the way Colorado handles judges. Each election cycle a pamphlet is mailed to each voter with three summaries of the judges performance. One is from fellow judges, one from defense attorneys who had cases in the judge's court and the third from people who appeared before the judge. On election day voters are asked whether the judge should retain their position or be replaced. There are no campaigns by people running for the position nor are they any campaign contributions or ads. It is a great system that works. A judge who rigged a case when he was a prosecutor many years before that led to the conviction of an innocent man was very easily removed from office by the voters. I think all states should seriously consider using this system. I think it works beautifully and is fair, impartial and just.",0.9381
8,"The tax man and federal law enforcement want to know why you are making multiple withdrawals just under the 10K limit. Clearly you are hiding your activity. Invasive, somewhat, but a lot of the things that prompt people to do this are illegal. Big civil liberties issue? Not really, though I suppose there are situations where one would like to have privacy. I'm sure smart people with money have ways of dealing with this. When triaging important civil liberty and privacy issues this ranks close to the bottom. On the other hand how many hienious crimes have been uncovered by this law? I bet a very small number.<br/><br/>As far as Hastert goes he was no prince. Once calling a woman testifying at a congressional hearing a terminator for aborting a fetus that had developed with its brain outside of its skull. I found him to be a particularly disgusting hypocrite when he led the House.<br/><br/>And how did Hastert become a multi millionaire?",0.926
9,"Best of luck to you, Mr. Norris!  We all make mistakes, and we all come from different circumstances that lead us in different directions.  We all know about the shortcoming of the U.S.' for-profit prison system, and how our rate of incarceration compares to that of other 'civilized' nations.  It is in this country's own self interest to do more to ensure that ex-prisoners are given  ALL the tools possible to become fully-functioning, well-adjusted members of society.<br/><br/>btw, the photos and copies of the letters between Obama and Mr. Norris were beautiful!!!",0.9238
