,comments,scores
0,"It seems to me that you are demonstrating how absolutely meaningless the general GDP statistic is.  We know GDP is growing and we know the top 1% are benefiting most from the growth.  So what does it even mean to say our economy is growing, while we use a meaningless statistic like GDP to measure the growth, without relating it to the average citizen in that economy?<br/><br/>Rather than using GDP per working-age adult as a measure of a growing economy, why not use something like a (growth in GDP/ growth in median income) ratio?  Far better to have a small growth in GDP that produces a big growth in median income, than a big growth in GDP that produces a small or no growth in median income.<br/><br/>Of course the whole idea of measuring the health of our society by the ""things"" we have, is an issue for a different discussion.",0.9706
1,I have a policy with United Health Care that is grandfathered.  The premiums have had increases over 10% per year prior to the health care law being passed.  The premiums have had increases in excess of 10% per year after the health care law was passed.<br/><br/>My premium for the next 12 months is a 17% increase starting in July 2015.<br/><br/>I have not seen a change in the premium inflation rate.  The health care law does not appear to cause my rates to go through the roof or cause a reduction in the rate changes.<br/><br/>Actually I am surprised that the request of the insurance companies are as low as they are based on my premiums.,0.9493
2,"I've always thought that Keynes was most interested in employment, and he thought that a decline in spending will diminish employment.  In contrast, classical economics at the time said a decrease in spending will tend to lower the rate of interest and an increase in investment to raise it.  'But if what these two quantities determine is, not the rate of interest, bu the aggregate volume of employment, then our outlook on the mechanism of the economic system will be profoundly changed.'  Keynes considered this of 'overwhelming practical importance.'  That's the end of Chapter 14.  Keynes was arguing, I think, that the most important metric to consider is aggregate employment.  I think this is why Keynes looked so favorably on fiscal tools like direct government spending/investment.",0.9258
3,"Mr Krugman,<br/>      You say that costs are below what they were projected<br/><br/>Can you explain to me why the Wall Street Journal (5/21/2015)  Health Care Service Corp of New Mexico is asking for a 51.6% increase?<br/>Blue Cross Blue Shield of Tennessee is requesting a 36.3% increase<br/>In Maryland Care First Blue Cross Blue Shield wants a 30.4% increase<br/>Moda  Health of Oregon, the largest provider,  is asking for a 25% increase<br/>Anthem Inc of Virginia is requesting a 13.2% percent increase  Blue Cross  Blue Shield of Michigan is requesting a 10%  increase.<br/>Kentucky Health Care Cooperative is requesting a 25.1% increase<br/>Aetna is asking  for a 20% increase, ",0.9217
4,Interesting analysis .. Then perhaps the proper adjustment would be to set minimum wage to 0.6 of current median wage .. And then to use local metro inflation rate to adjust rate up on an annual basis .. Or something like that .. Could help rural areas recruit biz as they might move to obtain lower wage 'rates' .. At the very least excellent food for thought .. Thanks!,0.9165
5,"Stephen,<br/>Please offer a detailed comparison of how austerity has done so much better than the U.S. Mini stimulus. Provide the details please.  <br/><br/>It would be great if you focused on employment and growth.m",0.9038
6,"Reply to Sanjai Tripathi, Corvallis, OR:<br/>First-rate comment. Refreshing to see someone take a larger view, unwedded to one or another particularist argument. Of course, the list could go on, for example:<br/>inflation does in fact exist, but in stocks, not in consumer demand, or the Fed needs to restore its rate-cutting ability to forestall future inflation.<br/><br/>Perhaps the most vocal and effective proponents of raising rates are fixed income investors and their supporters in the financial industry. To paraphrase Upton Sinclair's famous aphorism, “It is difficult to get a man to understand something, when his investment income depends on his not understanding it.” ",0.8934
7,"I am afraid I cannot solve this without the need of a computer program. But the method would be as follows:<br/><br/>The bus number is known and hence the sum of the children’s ages is known. So generate for each possible sum (this is equal to the entire positive number line), all the combinations of the numbers (based on number of children which is checked from 2 to the bus number itself) that add to the bus number.<br/><br/>Suppose, the bus number is 8000. Generate from two children to 8000 children (of age 1 year each), numbers that add to 8000. For each combination find the product.<br/><br/>Since, knowing the age of wizard and thus product of ages and the number of children is not enough, the sum-product pair must have more than 1 combination of children’s ages. <br/><br/>So reduce the sums that meet the above criteria for a fixed number of children. From, the last statement, it is imperative that for that sum, the product is the same for all the combinations of numbers and thus the Wizard’s age is known. Find that sum, that has only 1 product for all the number combinations that add up to it.<br/><br/>I tried with two and three children and I did not get an answer.",0.8808
8,"4% GDP Growth is Definitely Doable<br/><br/>Bill Clinton achieved 4% GDP growth or greater in 5 out of the 8 years of his presidency and he averaged 3.9% growth overall.<br/><br/>OTOH, the last two Bush presidencies were failures:  H.W. averaged 2.3% growth during his 4 years in office while Dubya did even worse - 2.1% average over 8 years.  Neither one EVER achieved 4% growth during their terms.<br/><a href=""http://research.stlouisfed.org/fred2/series/A191RL1A225NBEA"" title=""http://research.stlouisfed.org/fred2/series/A191RL1A225NBEA"" target=""_blank"">http://research.stlouisfed.org/fred2/series/A191RL1A225NBEA</a>",0.8779
9,But the people locked up in Minnesota aren't all violent predators. Read the article - it says Minnesota's sex offender commitment rate is the highest in the nation by far. Do you think Minnesota has a higher rate of violent predators?,0.8621
