,comments,scores
0,"I'm a long-time deadhead and proud to identify myself as such.<br/>Last night's show was absolutely amazing!<br/>I was fortunate to attend the Santa Clara shows and thought they were wonderful as well; the (naturally occurring) rainbow on Saturday was truly magical.<br/>Those who don't get it, never will. We deadheads are perhaps some of the most fortunate people in the history of time! We have experienced true magic, and our community is so lucky to have the opportunity to come together and create that magic again.<br/>We carry it into our lives and into the future.<br/>I am grateful that the core four decided to play these shows. I am grateful to them forever for the joy they have brought to so many.<br/>I met my husband at a show, and nearly all my friends. Twenty years after Jerry's passing, our bond has not diminished. I chose my profession in part because it afforded me a flexible schedule so that I could easily attend 25-30 shows a year. It's been a great career, and I enjoy it so much that I will choose to continue working past retirement age.<br/>Through shared love of the music I've been privileged to meet an amazing number of brilliant, creative and accomplished people I would never otherwise have met.  ",0.9975
1,"I adore this lady. Yes she is beautiful, but apart from her beauty and model looks (which everyone here seems to be focussing on) I think she is a lady who represents women with her strength and true individuality.  Ana is quickly becoming one of the cultural icons of our time, creating something new fresh and wonderful.  Her work is simplistic enough that it hasn't become cynical or saturated with political or social messages.  I love the colour and originality, I love her childish play in design and she is someone that deserves all the praise she receives! I wish people would hold back on sharing negativity when someone beautiful is doing something wonderful.",0.9965
2,"Dear Dr. Sacks,<br/><br/>Your love for science, audacious pursuit of your passions, courage and hope in face of death, as well as exquisite expressions of your knowledge, thoughts, and experiences of a unique life have endlessly inspired me.  I aspire to be a doctor specializing in the brain and the mind, to bring new insights into our world just as you did to enrich our lives. Death is an unknown that one can only experience but not share, but when it reveals to one in its full exposure, it will be a revelation for one who rejoices in the discovery of truth. Thank you for sharing with us your wonderful journey through life. I wish you love, joy, and peace!   ",0.9932
3,"John's experience of self-expression and comfort from you was incredibly important to him, you may be sure.  In the life of a child who is abused or neglected (or I guess in any child's life but especially these), even a tiny instance of comfort, hope, or love has more power of healing than we adults might suppose.  A single expression of praise, a brief time of acceptance and care, can become a touchstone for a suffering child, a memory and hope at once, cherished and remembered, clung to through even rough days and nights.  A little love goes a long way.  It's always worth giving. ",0.9923
4,"Let me tell my little story: To practice my reading only Italian, once in a while I go to Il Corriere de la Sera, the Italian newspaper. One day I saw an European dating website, Nirvam and out of curiosity about Italian and European women, I started checking its female pictures. Suddenly I saw a woman that I found very attractive, but she wasn't European, she was Peruvian!<br/>Out of curiosity also I wrote to her thanks to three days of free use of the website. She answered me and we started corresponding. She was in Lima, Peru and I was in Houston. Almost from the beginning we used Skype to make sure we were whom we said we were. After a while, she visited me in Houston and we had a great time together. She started to come back to Houston every three months during six years. In 2013 I went to Lima and we went together to Buenos Aires and Iguaçu Falls in Argentina. We spent three months together. Now, keep in mind that a non-stop flight from Lima to Houston takes six and one half hours and costs more than a thousand dollars. United Airlines was delighted with our romance! To make the story short, we married on April 7th. of this year. During all this time, we found out that we had many things in common, like classical music, opera and ballet (Her daughter is a ballet dancer and choreographer), politics, etc., etc. We spend many hours drinking tea and talking at the kitchen table. She told me that she was in Nirvan looking to practice her Italian, not looking for boyfriend...",0.9898
5,"I intend no disrespect to the author of this story, who showed only the best intentions. But I have to wonder where the value is in a piece on the final Grateful Dead shows by someone trying to piece it all together at the last minute. The author did some research, followed the shows on social media, noticed some cliches. Finally we learn that ""extend guitar solos"" didn't move him, but the crowd's energy did. This just reads as superficial click-bait for dead fans. Anyone with even moderate appreciation for the band's history knows that there is a tremendous amount of musical interplay going on with these players, not merely extended guitar solos. And really, we have to read the words ""tie-dyed clothes"" in a piece about this band....again? Is this the most interesting thing we can say about these passionate music fans? What about their role in allowing the world's biggest DIY rock band to flourish outside of the music industry, or the nomadic grey economy they fostered for 30+ years? I appreciate the attention given to these concerts by the mainstream media. But we are long used to those who don't understand it. This is merely another bit of text devoted to earnest head scratching. I think a lot of deadheads would agree that pieces like these add very little to the discussion about a vibrant piece of American music history. ",0.9887
6,"One story I especially really like because I am an amateur musician.<br/><br/>There is the story that Oliver Sacks relates about the musician with perfect pitch has to play a concert but the piano was tuned a half step out of tune.  The fellow heard everything he played in perfect pitch in his head at the same time he heard the piano playing out of tune.<br/><br/>Somehow that has always tickled me in a way, and I have related to story many times to friends that I Jam with.  As a musician, one can really appreciate humor in such a dilemma.<br/><br/>Thank you, Dr. Sacks for this and the many other fascinating stories you shared with us.",0.9877
7,"I saw the exhilarating, heart breaking 'Fun Home' last month and am delighted at its award for best musical. Little Sydney Lukas almost stole the show, what a talent.  When she sang Ring of Keys there were few dry eyes.  We were also fortunate to get tickets to 'Something Rotten' and 'On the Town', fabulous shows!  But 'Fun Home' was something special, and I agree with Michael Cerveris in his hope the Supreme Court is listening. ",0.9863
8,"~Yes . . . Susan   :)        ~THANK YOU~<br/>You just gave - me - and every cancer survivor out there: freedom.<br/>Freedom in your one - simple - beautiful - statement:<br/>""...The best cancer diet consists of eating whatever we can and not eating whenever we can't.""<br/>Imagine the peace and tranquility it will bring to 'simplify' our stressful lives by simply preparing healthy meals = with no pressure to the amount we, ourselves, consume, or when, but enjoy the smile on the face of your husband/partner/wife/caregiver when you both enjoy an appealing snack or soup together - - - add in a little candlelight and some music (my personal favorite - Tony Bennet's Duets) and enjoy the moment - FREE - of any guilt for adding in a handful of potatoes chips - or whatever other indulgence a nutritionist might cringe over.<br/>Honestly - what could be better than that !<br/>Blessings for sharing your continued wisdom in our cancer journeys.<br/>Beverly Jean",0.9852
9,"Dear Oliver,<br/>Thank you for your wisdom, humility and honesty.<br/>As a 20-something Englishman living in New York in the early 90's, I remember you coming to visit my Dad - your old weightlifting friend, Ben Helfgott - at my apartment in Lincoln Centre. Your passion for life was infectious, and you swam vigorously and with almost childish delight in brand new appt block's magnificent pool. A few weeks later, we travelled to England together, and i spent much of the night, standing in the galley, talking with you as you didn't enjoy having to sit down!<br/>Dad often remarked upon  how many of his friends found more meaning in their Jewish roots at the very end of their lives.<br/>Your NYT articles, have been so meaningful to me and so many others. I'm excited to  leave tomorrow for holiday with On The Move packed in my suitcase.<br/>Thank you for your generosity and life's gifts, Oliver.",0.9838
