,comments,scores
0,"I believe this. I exercise all the time but I also love to eat so I can't lose any weight. I wish exercise was enough to keep the weight off because I am one of those rare people who absolutely loves to exercise (seriously there is nothing else that makes me feel better then exercise) but it is not, otherwise I would not be overweight. I love food, growing it, cooking it and eating it!",0.988
1,"<a href=""http://nyti.ms/1IsRr4t"" title=""http://nyti.ms/1IsRr4t"" target=""_blank"">http://nyti.ms/1IsRr4t</a><br/>As I was exploring the New York times, I found myself clicking on a topic that interested me; science. While searching the science section, I saw an article that discussed the importance of a new vaccine created to help in an epidemic. It was intriguing to me because I was curious about how the process of developing a vaccine worked. Last year, an experiment for a vaccine was tested on Ebola in Guinea. Luckily, the vaccine was successful and provided protection 10 days after the injection. The president of the Sabin Vaccine Institute, Dr. Peter J. Hotez, stated “We should have had an Ebola vaccine two or three years ago.” Ebola vaccines weren’t put in trials until the West African Outbreak last year. Shortly after the vaccine, the rate of the people with the disease decreased. Vaccines save thousands of lives. However, they are difficult to develop. Dr. Plotkin explained how designing experimental forms to test on plants and animals can cost $25 million dollars. Also, the researchers have to put the vaccine through many trials in humans. Dr Plotkin, Dr. Mahmoud, and Jerry Farrar issued a call for better ways to get vaccines through the pipeline quicker. In addition, they proposed the creation of a global vaccine-development fund. In conclusion, I learned a lot about vaccines and I have high hopes that researchers will continue to create more of them to help protect the world.",0.9851
2,"Many studies have shown that PT is JUST as, if not more effective than, many knee surgeries. Have you lost weight? Just 5 lbs can make a difference to your knees. What about your posture - that affects knee pain, too. As does the condition of your feet. E.g., pronation (from falling arches) will lead to knee pain that can be slowly but effectively solved with specific arch support (available online at reasonable prices). I solved 90% of my knee pain by losing 12 lbs, using gel toe separators to re-align my leg from the foot up, wearing Vionic shoes and arch supports, and walking daily to build muscle support for joints. When I still have pain, I use a $30 knee support with a magnet and that works quite well.<br/><br/>These solutions cost me less than $200. LOL. I will have the health care I want - not the overpriced drug and surgery focused health care that the ACA promotes.",0.9799
3,"The article that most captured my interest this week on the New York Times, was the Mexican Cavefish Obesity article. This is due to the fact that, not only does it speak of the fascinating discovery of these small fish that have developed the ability to eat everything they can manage to swallow, made by scientists in Mexico, but also that it draws attention to the genetic problems that lead to obesity, in this case the mutation in the melanocortin 4 gene seen in many obese people as well as the fish, and the possible solutions to this issue. This discovery, I believe, will prompt a solution to the ever-growing problem of obesity by means of extensive studies conducted to the Mexican cavefish, without much disturbance to their environment, I hope, and the detailed analysis of obese people's genetic makeup, which might give us the ability to reduce obesity by a substantial amount. To summarize, this discovery has amazing potential, if scientists are given the liberty to pursue it, the outcomes may be very benefiting to many.",0.978
4,"The bar for being acceptable as a treatment that physicians and other providers can offer, and have the blessing of the FDA and overall being paid for by CMS, is variable.<br/><br/>I can chop up alfalfa and stuff it in a capsule and sell it as a supplement with the magic phrase ""Not evaluated by FDA for effectiveness"" or some such rot, yet there were some useful items removed a few years ago becaues the FDA said prove they work or take them off the market.  As generics and with little funding otherwise to do the needed rigorous studies, no one did them.<br/><br/>I'm not so sure that genetic testing will be the magic bullet to allow us to say which person will respond to a less than always helpful drug or treatment or not, but it is well known that some people do well with a 'drug' or treatment and others act as if they'd taken water.<br/><br/>I agree we need to be able to offer the most likely treatment first off, then have others in the list to tell patients about, and try if they wish.<br/><br/>The big money waster in this country right now is the flood of TV and internet and display space in drug stores of products which really have an extremely marginal chance of doing anything except transferring the money from the user to the charlatan promoting it.  Colonic cleansing comes quickly to mind.<br/><br/>The billions wasted on those hopeful treatments should be diverted to good food, preventative care which includes exercise and avoidance of items such as tobacco which have no benefit to society or the individual",0.9705
5,"I had endometriosis as a teenager, as did one of my sisters.  I am now older and in menopause so it is no longer an issue.  Recently I found out that endo is an autoimmune disease, of which I have two others.  I have been on an autoimmune protocol diet for about a year now, after reading Sarah Ballantyne's ""The Paleo Approach:  Reverse Autoimmune Disease and Heal Your Body.""  I don't know if this diet would have controlled my endo, but I have fewer migraines, better concentration, better sleep patterns, and better moods on the diet.  For those looking for a dietary approach, I would definitely recommend reading this book.  Also, if a person has one autoimmune disease, the chances of having a second or third are much higher.  Few autoimmune diseases are diagnosed as such, and the numbers seem to be increasing with all the environmental triggers of modern society.  Women seem to be affected by autoimmune conditions to a greater extent than men.",0.9689
6,"Well, it's bit late in the comments game, but for what it's worth, my experience Mirrors Mr. Gameau's. When I eat sugar, my weight goes up and I'm hungry all the time. When I cut out sugar, my weight goes down to its ideal level and I'm not hungry all the time. (Not sure if refined carbs of other kinds have a similar effect since I tend to eat them/cut them out in sync but fructose is known to be uniquely fattening and it is important to note that added sugars can consist of processed natural foods like fruit juice -- you might as well be eating sodas with vitamin c.)",0.968
7,"I’m not surprised at the comments chastising this writer for staying in therapy for 45 years, or the ones chastising the therapist for being more of a friend than a therapist. The suggestions to try more “effective” remedies, such as drugs or CBT, are predictable as well. The fact is that some people are just wired differently, and they do what works for them and muddle through the best they can. Pills and CBT haven’t worked for me at all. What has helped me has been mostly talking to people with whom I have relationships, albeit non-professional, like my husband and friends. I’m still riddled with anxiety, but I am functional and happy and surrounded by wonderful people. There are worse things to do with your life than to engage in a lifelong, meaningful conversation with someone who cares about you. ",0.9674
8,"This is a great read, and Dan Buettner clearly has done a lot of interesting field research. As a nutrition professional, I am on board with a lot of his recommendations. However, to completely eschew certain classes of foods without taking into consideration their preparation is a bit off-base. For example: Cow's milk, when cultured into yogurt or kefir, can be an incredible source of nutrition and beneficial live bacteria that can drastically improve health and digestive function. To suggest that we should completely call off all forms of dairy and replace it with soy milk is not a longevity-boosting move for many people. Soy milk- especially the commercial kind sold everywhere that is full of preservatives like carageenan and xanthan gum- has not been traditionally fermented like tempeh/miso/soy sauce, which removes many of it's harmful properties like phytoestrogens and lectins. Unfermented soy can be particularly harmful for those with thyroid conditions, autoimmune disorders, and hormonal imbalances. I love a lot of this information but think that, like any nutrition advice, the claims need to be researched more thoroughly. ",0.96
9,"The article is lovely, but the comments are priceless. I've enjoyed reading them all. I'm 68 and waiting to have a hip implant within the next two days. I have been just fine till my hip and my back caused painful trouble making it difficult to manage simple things. I live alone and It surprised me how much I had relied on my body just being there, doing what I asked of it and suddenly it couldn't. <br/><br/>The next three months will be spent rehabilitating and my hope is that the sense of suddenly being 'old' will leave me as I (stationary) bike my way back to walking health. I have always been physically active, Aikido, tennis, long walks and so on, but now I note the fat spreading its way around my waist - no thanks. <br/><br/>I have become deaf, that was really quite unpleasant, but I have a Cochlear Implant (CI) which is a marvelous thing, I love being able to hear the blackbirds singing in my garden. I don't envision living till I am 90, but with the CI and the new hip, I should be alright even so. ",0.9436
