,comments,scores
0,"The point of dialogue is not simply to share points of view or experiences. We have now reached a point in time where real structural change is critical, not only to black people but to the nation as a whole. So for me dialogue needs to focus on what policies continue to reflect and reinforce white domination and how we can come together to change them. In high school I was part of a ""Human Relations Club."" That was over 50 years ago and its premise was since we lived such separate lives it would be good to come together and share things we had in common.<br/><br/>While that's all well and good, it won't change the policies of mass incarceration and the racialized manner manner it which it is carried out. Nor will it change policing policies to require policing methods based on service, community involvement and community cooperation. Some police forces do this and have few racial incidents, but many don't. That needs to change.<br/><br/>Health care is crucial to all but as a commodity it is measured out with profits and privilege in mind. This literally costs black lives, as do environmental policies that overload minority communities with toxic materials.<br/><br/>I welcome a dialogue about race on these issues. As we work to better understand just how racialized many public policies have become I expect that many whites will proclaim that they never knew this was being done in their name. This struggle for justice for all of us is the new common ground for better racial understanding.",0.9832
1,"Anne, you have some unusual friends!<br/><br/>I founded an organization in college called HAPA (the half Asian people's association) in a playful riff on both the proliferation of ethnic-specific student associations and the Hawaiian pidgin word for 'half.' Of the many scores of multi-racial students I interacted with, none identified solely, or primarily, as white. Almost all identified as X-American, where the ""X"" might be African, Asian, Mexican, etc. Many identified as bi/multi-racial. Of course this was at a very diverse school, and differences were celebrated, so there was safety in differentness. And that really seems to be the root of the difference. People often identify with the culture in which they were raised. Asian Americans whether biracial or not often work with and live near many Caucasians. They don't identify as 'white' but feel perfectly comfortable operating in that world. Uniquely, African- and Native-Americans still often live in segregated fashion, so whether someone is bi-racial black-white or 'just black', they often spend inordinate time around the black community, which naturally shapes their identify.<br/><br/>I think your friends' response is very far from the mainstream with respect to how most bi-racial Asian Americans would respond.",0.978
2,"Claudia Rankine: Thank you so much for telling the truth about this story. The best quote which I am going to frame in my head and on my wall is: “The notable difference between black excellence and white excellence is white excellence is achieved without having to battle racism.”<br/>I have been through that, and it is even more difficult if you are black with an accent. They approve of the accent of the Europeans but not the non-Europeans. One of the best articles ever!!!",0.9585
3,"The whole premise that culture can be stolen or borrowed is based on ignorance of history. Should native Americans give up technology and stylistic influences that are post 1500? Should African Americans give up the tempered musical scale developed in Europe? It seems that only whites are being asked not to borrow, and then only certain popular themes like dance moves or hair styles. <br/><br/>Even worse, who owns culture? Do you need to have a certified pedigree or DNA analysis to adopt cultural themes? Or a politically correct stance before you can, say, buy certain clothes or dance a certain way? Or did you have to grow up in a certain neighborhood? All this flies in the face of our basic American value - freedom to express yourself, freedom of speech. My clothes, my accent, my music, my furniture, etc. is my way of expressing me, politically correct or not, and THAT is the core of what makes me American. ",0.9465
4,"There seem to be some parallels with the affirmative action debate in the US, particularly this: ""Many Patels, Hardik included, readily agree that the government should give extra help to poor families, regardless of caste. They object, however, to India’s quota system precisely because it is built around caste, not economic status."" <br/><br/>It's a commonly heard argument against affirmative action in the US, that economic class should be used rather than race. That a parallel argument is made in each society might point to some common root cause, namely the deflection of the respective privileged groups. <br/><br/>I wonder if that argument exists to sanitize their opposition to caste quotas or affirmative action, while seeking to minimize the role of the caste system or racism in limiting people's opportunities. In essence, saying that really economics alone is what's important, as if someone who is relatively affluent but is from a lower caste in India or black in the United States has the same opportunities as a person of higher caste or a white person respectively. <br/><br/>That each privileged group is more comfortable with economics as the cause of inequality than caste or race might suggest just the opposite.",0.946
5,"Race is the lie that has been used to justify genocide and many ""well meaning"" white people have historically and to this day fell for it. Ethnicity is a diferent type of classiification based on culture, language and cultural geography, shared social practices and geographic origin. Many white Americans are just flat out confused when it comes to race except when they are committing race-based crimes against humanity, whereas Ms. Dolezal appears to be one of the least confused about race. Genetically, we are all mutts and can interbreed, hence there is only one race, the human race. Spread the love, not lies and war. Peace. ",0.9243
6,"Racism can be applied to other people of color. In my community, with a growing population of Hispanics, we see bigoted attitudes towards them. (African Americans are a small population in Utah.) And yet... when people are polled here, the majority think race relations are good. Their opinions do not reflect the experience of many Hispanics. Perhaps they think the questions only apply to African Americans. Most people want to believe that they are not racist. Recently a seemingly tolerant, ell-educated friend returned from his annual vacation in  Newport Beach and remarked that ""Mexicans"" are taking over California. He would be surprised to be called racist. But he is. We are having our own controversy over Dixie State University in St. George, Utah. Many people love their Rebels.",0.8992
7,"There is a a very simple reason why Trump is popular with the Republican base. Like other plutocrats such as the Kochs and the Waltons, he has spent his entire life perfecting the moral justification of unearned wealth. The corollary of that life quest is the moral justification of the poverty of those who do not inherit wealth whether they work or not. The white Republican base never tires of hearing implicit moral justification of white privilege and black poverty. That racial rhetoric, blunt or coded, is second nature to Trump.",0.872
8,Nearly 60 years ago my parents accepted a request that they enroll my sister and me in a majority-Black YWCA summer program for low-income girls.  We two white sisters were meant to be part of a desegregation effort.  My life was immeasureably enriched by this introduction to children whom I otherwise would never have met.  It predisposed me to be far more open-minded and interested in subsequent studies in boarding school and my universities.  Thank goodness I wasn't confined to the homogeneous environment of my own cultural and economic background!,0.8707
9,"This is not the first instance of a ""race change"" from white to black. Fans of the old ""Kudzu"" comic strip may remember that Nasal T. Lardbottom, the Cartman like character of that strip had a ""race change operation,"" so that he could dunk basketballs effortlessly and ""high-five"" without injuring himself. <br/><br/>One of the funniest ""Kudzu"" strips showed Lardbottom in his High School  language lab, where other students were practicing their French and Spanish, repeating ""Ebonics"" idioms: ""What it is!,"" ""What it be!"" and ""Yo Momma!"" Maybe Rachel Dolezal, like Nasal T. Lardbottom, could star in her own comic strip on the ""race changing"" experience!",0.8679
