,comments,scores
0,"Woo Hoo!  Let's get behind the Pope!  Now that we have climate change out of the way, let's take up another one of his Papal opinions and finally outlaw abortion which is the murder of the unborn!  Wait, where'd everybody go?  Religion is not meant to be a convenient thing folks, and don't put the man on a pedestal unless you're willing to buy the entire package.  But then again, environmentalists do have a rich history of cherry picking their advocates.  Anybody remember Ira Einhorn?  The wonderful founder of EarthDay, who also kept the decomposing body of his girlfriend in a trunk in his apartment.  So love the Pope and his strong messages for the faithful, but remember that those messages are not meant to be a Chinese Menu",0.9838
1,"Dear Mr.Edsall,<br/>                      Thank you for a courageous article.There is a major struggle going on in America &amp; around the world, it is the struggle between the secular &amp; religious.First we must define secular.Not all secular thinking people denounce a higher power, but we prefer to keep that higher power out of our bedrooms &amp; government, &amp; support a distinct separation between Church &amp; State.If the Church wins this battle, our progress in Science &amp; Medicine, will be curtailed ,such as when Bush put limitations on Stem Cell research.The surge of young people pursuing higher education has been a boom to openness and questioning, with the result in the equality of life for the Gay community.Gay Marriage would have been unthinkable 50 years ago.Inter marriage is on the rise, as the young put love before dogma, in spite of the raving from the pulpits, &amp; grand parents.Progress &amp; love is flourishing in all facets of humanity, except where the hold of fanatical religious fervor has an Iron hold on reason.As one who has a Higher Power, I pray for this continuous<br/>progress towards enlightenment.",0.9808
2,A good thing for bringing attention to and acceptance of those who decide they must at last honor the person they are inside. Of course this is the ultimate freedom- to be who we are.<br/>And we should honor that absolutely.<br/>Acceptance and honor their decision.<br/><br/>But my next thought is... God I'm so tired of the celebrity world.<br/>When will we ever get a break from having these self-important folks shoved in our faces?<br/><br/>I long for people like Paul Newman whose modesty was as great as his talents.,0.9803
3,"Mary came up pregnant without having had Biblical knowledge of her husband Joseph. But she was much more imaginative than Bristol Palin. Jesus and his  chosen 12 male disciples partied, drank wine and dined while on a three year sabbatical that ended in doubting fearful forsaken crucifixion. Did they lust mentally and physically while enjoying the pleasures of the human flesh? Abraham, David, Moses and Muhammad were husbands, lovers and fathers. <br/><br/>The problem with the appeal of rhetorical divine faithful purity is the not so divine biological animal primate ape  real practical quest for salt, sugar, fat, sex, water, kin, habitat and food. Unless there is a resurrection or return of  a Messiah coupled with divine judgment then we are full of exceptional hubris living in delusional denial. ",0.9793
4,"Jesus was a radical, not a conservative. Just as he ate with tax collectors and talked with strange, unconventional women, defending their rights to life and -freedom in 1st century Palestine, he would celebrate same-sex unions and demand that we continue to feed the hungry, clothe the naked, and care for the planet in 21st Century America. Just as he said that 'the laborer is worthy of HIS wage' back then, he would say that so is SHE today. His life and teachings were all about compassion (which, literally, means shared suffering), love, helping those who are in any kind of need, upholding the basic dignity of every individual - no matter how lowly or depraved they may have become - and looking to working out one's OWN salvation while sharing the good news with others. He never said to beat anyone over the head with the Bible, or shame them into silence, he said to set an example and invite (not force) others to follow.<br/>When the mainline churches get around to implementing this, then they will prosper again.",0.9783
5,"I used to make up little adages.  One that stands out said: ""Freedom Without Sin"".       Throughout America's history, immigration has consisted of people seeking a new life here, and it seems people took the full meaning of living a life well, more seriously back in earlier times.  They came, usually already having a moral code they followed.    But today they come to an America that has tended, by way of laws passed, and especially by way of judicial decisions, to scorn moral codes in favor of a new way of looking at freedom.   <br/><br/>It has come to mean a base, degenerate, kind of freedom, a freedom even form any religious or other meaningful and actually respected, kind of guides to living.<br/>Life at the same time has lost its guides to material influence, the influence of a culture dominated too much by devotion to material and money value.   Subjected to bombardment daily by a media with its abundant commercials, and shows on TV that reflect the same crassness.<br/><br/>Granted that there is yet through media and other means, an attempt to counteract this, it exerts its relentless war against basic adherence to the earlier values.<br/>And granted that earlier values need to be kept up to date, something they provided is yet being warred against, while then the country's basic values are being degraded ever faster.   And now the immigrants don't even perceive a good reason to come to America except basically, for the money.  This is very sad.",0.9677
6," Belief systems and the language needed to integrate  one's ethics and morality within the world are shifting indeed. Think of all the kids in our G7/8/9 cultures that grow up trained only the quotidian materialism of economic survival and its rewards.   The market place is the invisible hand of God. A materialistic belief system  without any responsibility to our fellow human beings.<br/>Midrash, the ability to interpret our traditions for a contemporary society, I believe, is the only way to save religion from itself.  Christianity is locked in a archaic defilement of what Jesus taught us.  Something I think Conservatives need to consider for the benefit of their souls.<br/>There is no one Christian Church view about  social redemption. It's mercy and love which is required of us all. ",0.9657
7,"American pluralism is definitely her strength - Republican Party does not share this narrative. The coded narrative of American Exceptionalism of Republican Party is the subtle message of White superiority. And new narrative of this story is the ""anchor baby"". <br/><br/>Since the elimination of Jim Crow, Republican Party systematically using coded message to propagate their devisive narrative - Republican Presidential candidate Bobby Jinxle is a powerful sign of pluralism. He can not position  himself as an Indian American, as American only. <br/><br/>The same issue is not there for California AG - she is a democratic candidate for Senate as Indian American.Republican Party following the Putin doctrine in US politics.",0.9584
8,"For some reason it has become a truism that religious or faith-based judgements are somehow more noble or more deserving of respect than any other kind of judgement or decision. Why should this be so? Why is the freedom to express a religious belief or a religious practice more in need of protection or respect than any other kind of belief or practice? Personally, I don't think it is.<br/><br/>In fact, I think the very REASON we have a secular society is so that religions with competing claims and beliefs (or indeed sects within ""a religion"") can co-exist, without some kind of government institution adjudicating. Instead, we enforce a set of secular rules based on principles enshrined in our constitution. As long as religions operate within those bounds, they are fine. If they violate them (hey, we'd like to sacrifice a virgin!) then they are against the law. I don't really see the problem with that. <br/><br/>Often times, the ""freedom"" the religious people seem to want is the freedom to make everyone else conform to their religion.",0.9553
9,"Socrates, I hope that your optimism and the sunny forecast for Iran's engagement in the civilized world will occur. I remind myself that there is such a huge difference between what we are accustomed to in the Western World in a country (among other countries) whose foundations are based on English Common Law, the Magna Carta, and practice fundamental honesty without cultural bribery, treachery, and graft; versus what we see practiced in totalitarian and theocratic nations composed of tribes and, by our standards, of fundamentally dishonest and inhumane people.  Are we ""perfect?"" Far from it. But, unlike many nations or tribal associations, I am buoyed by the knowledge that we are continuing to progress and to strive for a better life..not only for ourselves but for the generations who will succeed us.",0.9538
