,comments,scores
0,"""Live and Kicking"" by Andrew Das<br/><br/>In this article, Barcelona is winning most of their games in the Champions Cup and now they will have to beat Europe for the trophy. I think this is great because I like Barcelona and I will be happy if they win. Their team captain, Lionel Messi, is saying that they are pushing their limits to win this cup. Messi also said that when they play Europe he wants there to be no hard feelings because his team has a good relationship with Europe and he wants to keep it that way.<br/>	It surprised me how Messi is pretty calm about this but still wants to win this cup for his family and, of course, for all of Spain. This article makes me feel good about Messi and it makes me feel sure that Barcelona is going to win this Champions Cup. I’m sure the coach feels good about Messi and the team being ready to face Europe because they beat them three times before and they can do it again.<br/>	 If I can change anything it’s for Barcelona to get better and for each individual player to get better at their position. I would also make sure that the key players pass the ball to others and make all players feel sure that they can win.  I would also put pressure on the coach to make him train the players harder and have more practice time. This will ensure that the team is ready to play the championship game and win. ",0.9979
1,"LeBron James May Be Right, but His Boasts Still Rankle<br/> ""There is no I in team"" is the first thing that comes to mind when I read this article and reflect upon the NBA Finals. Without a doubt, LeBron James is an excellent basketball player and possibly one of the best. However, as it was shown by the Golden States Warriors winning the title being the best player does not guarantee a championship. In fact I viewed James' comment ""I feel confident because I am the best player in the world"" as rude and not a good thing to say when there is eleven other members on your team. Similar to football player Lawrence Taylor from the article, it would be okay to say that if you were a solo tennis player or a golf player but not as a basketball player, where you have to rely on other members to help you win a game. Taking on the task of defeating five other professional athletes on a court is not a task one can do. Especially when the Most Valuable Player is on the other team. That is why I believe Golden State won the series and the World Championship. They played as a team. They did not have others claiming that they were the best player in the world but they had other members of the team sacrificing their playing time for each other and for the team. Yes, LeBron James did have other All-Star players get hurt during the series like Kyrie Irving and Kevin Love but to me in order to win you have to use your teammates and be a team player.",0.9972
2,"While I very much appreciate the candor, frankness, and the heartfelt emotion in this essay, I must admit the writer lost me at the end.  Maybe it's because I'm not male (although I am athletic), but the sports analogy just fell flat.  Someone dying while you are trying to help them is like giving up the winning run in a baseball game?  C'mon.....please, or more politely - there was absolutely no resonance for me.   From my perspective, the requirement to go on is not that ""my team is counting on me"".  Who is that team, anyway?  Your fellow physicians?  Or is it your patients, and if so how are they your ""team""?  I truly admire individuals in the health care profession, such as the writer, who can continue to try to help people despite the emotional toll it takes on them day after day, year after year.  To remain compassionate and not become inured, as well as to forge forward in administering treatment without becoming scared or paralyzed (which is what I think the writer meant by getting back on the mound), is truly a Herculean task - it is most definitely not analogous to a baseball game.",0.994
3,"This was a terrific series to watch.  Competitive down to almost every possession, great back stories, great players.  I'm still befuddled by professional, best in the world players who can't make free throws.  But I'm being picky.  What I don't see is the game ""changing at light speed .. selfless, passing, etc"".  The Warriors are terrific.  They have a great system, very smart first year coach and staff.  They are also loaded with talent which gave them the ridiculous luxury of having two all-stars (Iggy and David Lee) ride the bench.  They remained remarkably healthy too.  That matters.  A lot.  We'll never know what kind of series it would have been with Irving and Love.  But to the point about the shift in the game.  If you can duplicate the Warriors model perhaps you play ""small ball"" and beat bigger, longer, slower teams.  Who's going to do that?  How you can possibly even get close to duplicating GS depth?  Within the salary cap?  How many Iguodala's, David Lee's are there out there willing to sit the bench?  At $12mm and $10mm/yr respectively by the way.  Where do you find another Draymond Green at pick 49 on the board?  The stars aligned for this great Warriors team.  But I submit that you still need big guys in the paint offensively and to rebound the ball.  There is 1 Steph Curry and there was one great Steve Nash to run these fabulous free flowing offensive schemes.  Everyone else has to make do with much lesser talents.  The game is evolving but not that much.",0.9937
4,"It is hard for me to separate out what is racism from other issues.  I know I have unconscious biases against blacks having grown up in the United States.  But I know that I enjoy watching Serena play and watching what she can do.  Because she is so good, I don't enjoy watching women's tennis as much as men's these days.  In men's tennis, Novak Djokovic is clearly the best.  But in 2015 he lost to Wawrinka in the French, to Murray in Montreal, to Federer in Cincinnati.  Her skill, power and court tactics are so far above the next best players that she rarely loses.  So when I watch, it is to admire what she can do.  When I watch men's tennis it's more engaging for me because anything can happen. ",0.9914
5,"Morgan is definitely not 100% or is playing with the injury still in her mind. The speed came from O'Hara and A-Rod on the same side of the pitch. Sure A-Rod sometime may need 10 shots to score 1, but I'll keep her up there anytime, no one works as hard as her and her movement opens up a lot of space. Press hit the cross bar and Johnston had a ball taken off the line not to mentioned a missed header, plus a great diving effort by O'Hara. Sure it could have been more, but Chinese played all defense sometime out of strategy and sometimes out of survival. I don't think Ellis will go with 3 up top, and that's ok, but I would keep O'Hara (Rapinoe is too slow and holds the ball to long) in there she really changed that entire right side and Krieger finally had her best match of the series so far. Don't mind having Holiday back in even though Brian finally showed some maturity. I think having Sauerbraun back there alongside helps JJ a lot, but definitely can sit Abby with JJ there for set pieces. Press has the best vision on the team (except for the one time she didn't look at the goal before she to the shot), but a little nervy and still doesn't seem to have a set position. What worries me is going into PK's with Germany, US aren't so good (both taking them and stopping them) and they seem perfect. Let's avoid that at least. Will be a good one. Clean sheet again, 2-0 US.",0.9904
6,"Since I was a little girl, I loved watching football with my dad. The MNF team was always terrific - fun, colorful, kind, and made the sport easy to understand. The Giants were my heroes, and Frank Gifford, handsome and charming, the former Giant, was particularly special to me.<br/><br/>I am deeply saddened to learn of his passing. It truly feels as though a part of my childhood is gone. May his memory be for a blessing, and peace to his family and many, many fans.",0.9878
7,"<a href=""http://www.nytimes.com/2015/08/05/technology/with-halo-5-microsoft-seeks-to-lure-e-sports-players-back.html?hp&amp;action=click&amp;pgtype=Homepage&amp;module=mini-moth"" title=""http://www.nytimes.com/2015/08/05/technology/with-halo-5-microsoft-seeks-to-lure-e-sports-players-back.html?hp&amp;action=click&amp;pgtype=Homepage&amp;module=mini-moth"" target=""_blank"">http://www.nytimes.com/2015/08/05/technology/with-halo-5-microsoft-seeks...</a>®ion=top-stories-below&amp;WT.nav=top-stories-below<br/><br/>With Halo 5: Guardians, Microsoft seeks to Lure Esports Players Back<br/><br/>Microsoft attempting to lure e-sports players back to Halo 5 is amazing. E-sports player play games competitively for the love, and money. Nick Wingfield signifies e-sports importance: "" Now, for Microsoft and other gamemakers, e-sports is considered a crucial leg to the multimillion-dollar marketing push"". E-sports is indeed very important for Halo. E-sports players play the game the most and put money into the game by competing in competitions. Nick also states: ""There are more than 113-million e-sports fans worldwide"". this number continues to grow and will eventually overtake the casual gamers.<br/><br/>Halo 5 leaning towards e-sports is good for the community and Halo. Nobody wants to play a boring repetitive game that is easy like Call of Duty. I myself know of some people on Playstation 4 that would come to Xbox for Halo. Nick points out something crucial: "" The Xbox One, is trailing sonys Playstation 4 in sales"". The release of Halo 5 alone will make the sells go up. Since Microsoft is showing they care about e-sports many Playstation users may switch over. Deniis fong stated: "" Halo is the singular, defining franchise of Xbox"". E-sports will bring success, fame, money, and community for Halo. ",0.9863
8,"      .<br/>      I totally agree with the definition of the problem - 'one country, on vote' - but I am not sure about the solution.<br/><br/>     What exactly would impede a country, with deep history of corruption, to register a good chunk of its population as 'soccer players' - amateur or professionals -  thus conferring it with a much heavier weight on the FIFA's vote ?<br/>     And as we know, unfortunately, there are too many countries in the globe capable of such corrupted actions.<br/><br/>    Maybe a better alternative is one that already exists in tennis and, actually, on FIFA itself:  the vote weight can be assigned by a ranking of countries based on performance on the field.  So Germany's(#1 in the current rank)  1x vote  would be multiplied by its ranking points, the same for South Korea, and so on.<br/><br/> The advantages would be:<br/>. it's clear for all to see and check: we can all see how Japan did on the Asia Cup or how Nigeria did in its friendly matches in 2014, for ex., -  and how many points each of those team got.  And note that these points are itself weighted: friendly matches gets lower points than official tournaments.<br/><br/>.  it allows nations that invest in soccer nationally to climb in the ranking and get more weight in the next FIFA election.  So if Latvia wants to have a bigger voice and improve their position and weight, they may want to do like the USA and invest in their own local soccer league - and like the USA did in the past 2 decades, constantly climb up..Francisco C.",0.9852
9,"Thank you for your objectivity and honesty, and to people of all races who have risen to the occasion to congratulate Ms. Williams for her amazing accomplishments. For it has been heartbreaking to notice how many of her own countrymen and -women have always cheered for her foreign opponents, especially those opponents of European ancestry. They also cheer for her Asian opponents and those of African ancestry, but only because they are not number 1--or the best woman tennis player of all times, as Serena certainly is. If any other player of African ancestry ever replaces her as the best ever, these same racists will pray for her to lose as well -- every time she steps onto a tennis court. And this unabashed, simmering meanness by so many with regard to this great champion is multiplied throughout the western world. ",0.9848
