,comments,scores
0,"Your friend, who is not in need of household toys and clothes, which presumably she can afford to buy,  accepts your free and generous offers, left for those who may benefit to take them for free. Obviously your intention is for these items to find users, who would not need to pay for them, for these item to e still useful rather than thrown in the trash and to be used and enjoyed by those who like them, but may not have time the means to buy them. But, your  intention is not to make a financial profit. Therefore your friend's action of taking advantage of your honorable intention and turning  your genres gesture into a commercial profit venture for herself is not honorable nor decent, therefore not ethical. This is not a high principled person and your instinct is right. Best not to leave more items or share them with her, but directly donate to those in need. ",0.9902
1,"Thanks for reminding us.  One good turn deserves another, so let me remind you about the willingness of SOME scientists to be complicit in tobacco companies' efforts to hide the dangers of their products.  It's not that all private funding corrupts the scientific efforts, but the public is robbed of their ability to judge for themselves whether or not they trust the source of this information because the research group in this article ""forgot"" disclose a donor with an unquestionable conflict of interest.  Not only that, the same research group's findings just happened to be advantageous to that same undisclosed donor's pecuniary interests.  Finally, the disclosure might NEVER have happened if light had not been for exposure (i.e., the cat is out of the bag).  We wouldn't be having this discussion if Microsoft secretly donated money to research the causes of obesity and it happened to benefit Coca-Cola, but that's not the case, now is it?  This is more like Exxon donating to a research group that just happens to publish a study indicating that crude oil is actually more beneficial to marine life than most people think!  It's fine for them to donate, but you'd best be transparent right from the beginning about such conflicts of interest if you want to be taken seriously.",0.9733
2,"I think what DRS is saying is, ""I worked hard and made something of myself... and those jerks can now steal my money for health care they're too lazy to afford on their own.""<br/>  Some are lazy. Some not. The proportion of lazy poor to poor is probably about the same as the proportion of avaricious rich to rich. Some of ACA beneficiaries have congenital conditions. Some had very productive lives until the cancer (or whatever) started beating them with a large stick. Some are making something of themselves in ways that don't make large incomes.<br/>  When government helps individuals, there's always outrage from some. But our money supports a lonely highway in Wyoming that sees 10,000 sets of tires a year. No benefit to me. Our money supported research that didn't work out. That scientist ate on my dime and produced nothing! A hurricane of our money blows into the military. Why punish me to protect Okinawa? Our money goes a million places providing no that benefit for me, yet somehow it's especially offensive when the money goes to feed, clothe, shelter, and yes provide health care for some people less fortunate than me.<br/>  A preacher I used to play racquetball with told this story about trying to get relief funds. A particularly successful church member said, ""I've worked hard for my success. I work hard every day."" The preacher answered, ""Do you think the woman in Uganda who walks seven miles every day to get water for her family is not working hard?""",0.9698
3,"<a href=""http://www.nytimes.com/2015/07/03/us/anonymous-donors-give-over-3-million-for-charleston-scholarship-fund.html?&amp;moduleDetail=section-news-2&amp;action=click&amp;contentCollection=U.S"" title=""http://www.nytimes.com/2015/07/03/us/anonymous-donors-give-over-3-million-for-charleston-scholarship-fund.html?&amp;moduleDetail=section-news-2&amp;action=click&amp;contentCollection=U.S"" target=""_blank"">http://www.nytimes.com/2015/07/03/us/anonymous-donors-give-over-3-millio...</a>.®ion=Footer&amp;module=MoreInSection&amp;version=WhatsNext&amp;contentID=WhatsNext&amp;configSection=article&amp;isLoggedIn=false&amp;pgtype=Blogs<br/><br/>This is amazing and very generous of these unknown people! It really is truly amazing to see the love, support, and power of how people in the local town just all work together and help out anyway they can. In just the matter of few days the power of the people can make such a big difference. The city states that scholarships would pay for the advanced degrees for ""members of the extended"" church community. The fund also carries the name of the senior pastor of the church, Clementa C. Pinckney. Who was also unfortunately one of the nine in the killing.",0.9614
4,"Better stated one party believes those who are successful should be robbed to potentially assist those who are not.  Republicans give way more to charity and thus are very interested in helping others, as long as those are really in need, and not just lazy or not responsible.  Simple!!!",0.9581
5,"I encourage everyone to read Dr. Tober's article. It is fascinating but limited in scope. If you read my book, you will see that one of the things that amazed me was how different the Iranians treated the ideas of ""selling"" or donating a kidney from one province to another. Shiraz, where Dr. Tober did her research is a province in Iran that has never implemented the national policy of allowing recipients to ""buy"" kidneys. It was always the convention of the Shiraz medical community that there was no buying or selling going on there -- Only compensating donors for their expenses. Now, in Shiraz, living donors are not even given enough to cover their expenses but only the small token gift from the national government.  Dr. Tober's insights are worth reviewing, but it is also worth noting that my book explores those regions where the legal sale -- or the national policy of allowing compensation for donation is implemented (e.g. Tehran)  AND I also explore regions that have taken a different approach to compensating donors -- namely Isfahan and Mashhad where donors are given a set payment to cover expenses and then other types of material benefits other than money. Tehran does some of this as well, but their general approach is a regulated market approach, while Isfahan and Mashhad have a social service approach. To understand more of what I mean by this watch my TEDMED or, if you can, read my book.",0.9578
6,And how would you feel if you spent 20 years and millions of dollars inventing a revolutionary widget but then had to hand over your patent to others to profit from your idea (and to your detriment) after 17 years?  How would your benefactors feel?  Once again the socialists want to benefit from other people's efforts.,0.932
7,This great fort LGBT community and having a dialog for transgender rights however this coming out as been carefully orchestrated.  Carolyn's manager is making her a tidy sum of cash on this newly found freedom and yet another 15 minutes of fame for Jenner. ,0.9136
8,"Ultimately, the experts in finance will Trump the rewards to those who have dedicated themselves to superiority in any other field.<br/>The purpose of finance is to make money based on the value of others' efforts.<br/>We spend all our time studying the economic benefits that others provide and the means to extract those benefits for ourselves.<br/>That's Capitalism - do you have a problem with that?",0.9081
9,"Angst, angst, the world financial system worries the Greece problem will spread to others. Worry that borrowing money to live on might catch up with others.  <br/><br/>It is a make believe world we live in.  Economic geniuses unite!  Money isn't real, it is a phantom. Un-tethered to anything real . . . work, effort, accomplishment or thing.  <br/><br/>It sloshes out of central banks to water the seeds of politician's promises. As they pander to populations clamoring after the wealth of others.  But needing the support of the wealthy, they deliver by slight of hand.<br/><br/>Money - once the symbol of work and savings.  Now a fool's gold mystically  created to enable lifestyles unearned. <br/><br/>There is no light at the end of that tunnel.  For the very reason you can't run a train through a mountain until the whole tunnel is dug. The effort and work must come first before the champagne party ride.<br/><br/>Enjoy your ride America, your children will pay for it. VOTE FOR MORE!",0.9008
