,comments,scores
0,"Dopey, wooden and predictable characters, but so what?  It's a DINOSAUR movie! Enjoy it for what it is, an exciting action adventure with thrills galore. Why does every movie (not ""film"") have to MEAN something?<br/><br/>I love watching what I like to call ""grown-up movies"" but once in awhile, it's nice to put the brain in idle and just enjoy the thrill of being eight years old again, and I'm sure many viewers agree.",0.9923
1,"How many times did they mention the name CBS it ridiculous also the endless amount of commercials more than usual<br/><br/>Chenoweth and Cumming were really good, funny, authentic and they shared a natural effortless comedic camaraderie, they should seriously think about writing a sitcom TV series together and pitching it to A&amp;E I believe it would work, I know I would watch these 2 together again<br/><br/>Some of the winners speeches were disappointing except for Cerveris, Sharp, Gold etc.<br/><br/>I don't get Helen Mirren talent? I just don't - wins why?<br/><br/>In Memoriam what a mess - camera work - song should not have upstaged those amazing talents that passed on, the camera focus should have been right on those faces - who conceived this? in fact no song is necessary here<br/>silence is necessary for In Memoriam<br/><br/>All Winners should have been announced live, Mackintosh, Tune, sound, music score, music book, lighting, scenic design IMPT crafts that should not be tossed and diminished<br/><br/>The fashion choices looked dignified and understated<br/><br/>Enough please with the Jersey Boys really every year the Jersey Boys?<br/><br/>Some of the titles of those plays – where do they get those titles....<br/><br/>Tony Yasbeck should have won the Tony even though I like Cerveris <br/><br/>Good to see Rita Wilson, brave woman, wish her well!",0.9889
2,"""Jon Stewart Signs Off From ‘Daily Show’ With Wit and Sincerity""<br/><br/>This article put me into a bit of a melancholic mood. I used to watch The Daily Show almost everyday ever since eighth grade to get at least some knowledge on current events. I didn't always understand Mr. Stewart's puns or jokes. But most of the time I let out a laugh or a smirk because of his amazing ability to make a serious manner into a playful shout at fixing U.S. problems. As evidence by his ""good bye"" speech, his word choice is always thought provoking yet satisfying. I will miss watching him point out flaws in the Republican party or the U.S. in general. I hope I see more of him soon.",0.9806
3,"My wife and I got on a plane to Washington to attend Jon's Rally to Restore Sanity. It didn't, of course, but it helped us keep our own sanity to be among so many people who had been similarly inspired. <br/><br/>Whenever the show descended into jokes about male body parts, or sycophantic celebrity interviews, I would ask myself why I still watch. And then he would do something brilliant. <br/><br/>Bravo Jon for all those great shows, and bravissimo for stepping down with style and grace at the top of your game. ",0.978
4,"I couldn't decide which I like better, Veep or Silicon Valley. But this finale, which was superb, won me over. The sight of TJ Miller's Bachmann throwing on his carpal-tunnel brace and sitting down to code with his hair in girl clips was the peak. A hilarious sight gag inside a wonderful episode of a brilliant show.",0.9771
5,"Richard is such a tool that this episode almost turned me off from the show. There are only so many times that you can see such an idiot in action. <br/><br/>One could very easily see a spin off show called Gilfoyle, in the same way Saul Goodman got his (never saw that show but loved BB). <br/><br/>I know nothing of starting up a company but have friends who have and if you have a blockbuster product from the get go then yes maybe you can retain full control but if you are struggling initially then it could be very easy to sell yourself to get the money you need and then good things happen later and its not really your company anymore; so I don't think its implausible.  ",0.9765
6,"Hdb, Good luck with your tech idea and company. Maybe you should find a trustworthy guy with the CEO qualifications and then be the CTO and have best of both worlds.<br/><br/>You might find that recommendation condescending since you think vicious, pushy behavior is distasteful. Fair enough, but we confuse kindergarten etiquette with the real world at our own peril. Remember who makes more money, hence better quality of life and opportunities in life - kindergarten teachers or the jerks who run corporations? And who made that happen? All of us did.<br/><br/>A better and more thoughtful explanation is provided in the most recent episode of ""Happyish"" on Showtime. The episode is #5, ""Starring Josey Wales, Jesus Christ and the NYTimes"". Bradley Whitford's character explains to Steve Coogan's character how each of us came into this world. <br/><br/>That show itself is a bit moody and brooding, but some of the writing in these shows is really impressive. Good luck with your idea and may the Schwartz be with you!",0.9752
7,"Letterman owned Leno by trading popularity for brains. Colbert will continue this tradition and though one can adore Jimmy Fallon for his puppy-like enthusiasm, DVR's gift us the ability to time shift disposable entertainment and that with more ""Ooomph"". Good luck Stephen! ",0.973
8,"Thank you for preserving the story of how this amazing revolution started, and the discussions inside Kodak during those times.<br/><br/>It is indeed ironic that the company that developed the digital camera was putting itself out of business by doing so.  Yet film, and wonderful as it was, had to go.<br/><br/>And I believe the world is so much richer for it.<br/><br/>Many photos of rare events that have been captured because everyone has a camera in their pocket now, along with videos of weather events, of natural beauty, of accidents, and of course human interactions, some beautiful and some tragic and deadly.<br/><br/>Thanks Mr. Sasson for your work and ideas.  And thanks, Kodak, for making memories.",0.9708
9,"I don't have a television and rarely watch anything online but I did get hooked on Rae's wonderful Misadventures series. I suspected that Rae did not have a typical upbringing and her experience navigating between different cultures surely contributed to making this entertaining series. I feel depressed but not surprised to read that they wanted to cast another lighter skinned, straight hair women for the TV adaption but I am happy to read that Rae refused to sell out. I look forward to seeing Rae's future work. Thank you NY Times for this interesting profile.",0.9623
10,"This is a beautiful film featuring a splendidly talented cast. But I couldn’t help notice that it was also an unwittingly perfect example of the narrow White perspective being portrayed as a significant stumbling block to healing and equality in our country’s current dialogue about race and privilege.<br/><br/>What originally tipped me off wasn’t the all-White main cast or the fact that the few people of color in this film were mainly serving cocktails and checking out groceries. It was the fact that the film centered around a lush green Southern California golf course during a disastrous 4-year drought facing the area (3 years in at the time of filming). Then came the almost too-ironic-to-be-true scene depicting White women getting pulled over by the police and getting away with their illegal “antics” by amusing the officer.<br/><br/>A year ago, I might not have noticed any of this. As an avid film festival attendee, I’ve delighted in dozens of “all-White” independent films that exquisitely dramatize my emotional truth.<br/><br/>But we are living in different times thankfully, and against the backdrop of the current discussion about the legacy of majority culture and its unending impact on minority lives, “I’ll See You in My Dreams” felt so out of touch that it could have been a satirical portrayal of the incredibly narrow perspective of the White, affluent class – in this case, Baby Boomers who are facing loss and dying but who, more significantly, seem sheltered from how most of the world lives.",0.9581
11,".<br/>.<br/>Please INDULGE ME for a couple of remarks about JFC's avatar for Thursday's puzzle, inspired by Charles's favorite movie, ""LAURA"".<br/><br/>I have seen all the Oscar-winning Best Pictures, many of which were superb; and in my estimation, one of the 10 best winners of that award was ""Best Years of Their Lives"" with Dana Andrews, Frederic March, and a whole lot of other talent.  I have no idea what impact it made when it was playing in the theaters, but when I saw it 40+ years later, I thought it was an incredibly important document (although it was mostly fictional).<br/><br/>And I guess it goes without saying that I find it better than ""LAURA"", as good as that film is.<br/><br/>But back to Dana Andrews: I have now read all of Thursday's comments and am not sure how to feel about no one remarking, ""Dana Andrews said prunes gave him the runes, and passing them used lots of skills"".  (Movie reference: ""Night of the Demon"", re-released as part of a double feature using the name ""Curse of the Demon"".)<br/><br/>People I thought might mention the lyric include spenyc, arcoiris, and especially Jimbo.  I thought HalinNY may have caught a midnight movie in Uniondale a time or 2 as well.<br/><br/>Well, what's done is done!<br/><br/>This version is from the gimmick TV series ""Glee"".  I chose it because it shows the 'lyrics', and we're all word people.<br/><br/><a href=""https://www.youtube.com/watch?v=RkUjfKVk1QI"" title=""https://www.youtube.com/watch?v=RkUjfKVk1QI"" target=""_blank"">https://www.youtube.com/watch?v=RkUjfKVk1QI</a> <br/><br/>I found other videos with composer/lyricist Richard O'Brien singing, but the visuals were meh. You want the real thing, see the movie!",0.9579
12,"First ladies may not be paid directly, but it is a pretty good gig. Big House. Big Staff. Expense account. The Airplane.  Instant celebrity, which is a negotiable commodity.  And all of the Ladies that I can recall were given huge book contracts. It's not for everyone, but few would consider it exploitation.<br/><br/>I am surprised, however, that the writer wouldn't want Bill Clinton, should Hillary win, to assume the role of First Gentleman, or First Lad. What a shock that would be to the country--to cast a former president in a secondary and ceremonial role.  I suppose the real question is, could Bill could do it? I mean without getting into trouble.",0.9572
13,"A GREAT NEW AWARDS SHOW FOR TV . . .<br/><br/>Why not televise the KLUGE PRIZE AWARDS SHOW. Just get the celebrities du jour from Hollywood, Nashville, some gangsta wrappers and a few scientists and have them give the KLUGERS to the noteworthy.<br/><br/>Cheap to produce; ratings to be seen. ",0.9541
14,"I was sp impressed by him on the Saturday morning news years ago.  He's cool, he's smart, and he's a good reporter.  Plus he's hot, and most anchors and reporters are not hot.  (Even then then young Rivera whom I once kissed at the courthouse, LOL, wasn't that good looking.)  OK so now Holt's hairline has moved back a few inches over the years, but his reporting is still great.  Race is not an issue.",0.9526
15,"Agreeing with those critical of the staging of the Memoriam. There was a simple, beautiful, elegant idea– the combined casts of all nominated musicals, performing together, respecting their predecessors– was compromised and diminished. And Josh Groban? Really? Why not Bernadette Peters? Patti Lupone? Someone appropriate for the moment, at least. Take a cue from the most emotionally resonant productions of recent years: Fun Home, Curious Incident, and Next To Normal. Keep it simple, informed by the idea of the thing. Groban was neither of these and he croaked. ",0.9506
16,"Coolhunter, it's telling that you use the ""Elf on a Shelf"" as your icon.  Like the elf, Trump is nothing but a fantasy character.  He is, like the elf, a stuffed characterization of a fairy tale, propped up by the fear of small minds.  There is absolutely no truth or honesty to his being; both Trump and the elf are creations of the imagination - the former from the imagination of a twisted narcissism, and the latter, a story told to young children to encourage good behavior in the days before Christmas.  ",0.9503
17,"I watched the earlier series back in the 70s. I don't remember much, but the new one is gripping: Demelza is beautiful and enchanting and Ross is sexy, brave, and headstrong. I can't wait for season 2. Meantime, I will rush out and buy the novels.<br/><br/>Cheers to to the Brits. What would we do without them?",0.9481
18,"Interesting article, it first hand account of history. At first it seem like in the way the bomb and its after effect was being documented that the government was actually being very open. But classification soon followed those the government sent to record first hand what had occurred. In some cases its only now 70 years later that we are learning new details.<br/><br/>NHK World has actually run some interesting documentaries and you can watch them on demand over at their website. I recommend ""Beneath the Mushroom Cloud"", although it doesn't look like they are available yet on demand. But I think they will be in a few days.<br/><br/>Beneath the Mushroom Cloud<br/><a href=""http://www3.nhk.or.jp/nhkworld/english/tv/documentary/archive201508021900.html"" title=""http://www3.nhk.or.jp/nhkworld/english/tv/documentary/archive201508021900.html"" target=""_blank"">http://www3.nhk.or.jp/nhkworld/english/tv/documentary/archive20150802190...</a>",0.9481
19,"I found many of the comments amusing, if less than enlightening. Then, I found the following report sobering. Good taste (and clever comments) do not make for an accurate measure of popular desire.<br/><br/> ""Fandango reports that 50% of its ticket sales today were for Warner Bros.’ Entourage. The feature adaptation of the Emmy-winning HBO series outsold such upcoming big pics like Jurassic World and Inside Out in the most recent 24-hour cycle as well as pics currently in release such as San Andreas.""",0.9444
20,Just like Game of Thrones we seem to have really smart charters who are effective knowing all the ins and out only to be dispatched too fast and too easily after making some uncharacteristic moves.  <br/><br/>If there is a season three.  I want fewer characters and a smaller focus.  The bad guys seemed too smart and the good guys seemed to have no institutional support. <br/><br/>If you need expansiveness I think using a series of old cold cases linking to events of today would be a better story to follow. ,0.944
21,"Oh come on, this article is laugh out loud funny and the website probably deserves this sort of pillorying(?). Thanks for a good morning laugh, Janet",0.9393
22,"Megyn Kelly asked Donald Trump about some of the ‘horrible’ things he’s said to women. In that question, she said this among her line-up of insults:<br/>“You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees.” Now the way that statement was framed by Kelly implies that Trump was being sexually suggestive, alluding that it would be a pretty picture to see that contestant on her knees…you know. But that’s not what happened at all. In the clip from Celebrity Apprentice, Brett Michaels was explaining to Trump that Brande Roderick didn’t want to get fired and had gotten down on her knees and begged not to be fired.<br/>Trump responded “excuse me, you dropped to your knees?” Roderick responded “Yes.”<br/>Then Trump joked “must be a pretty picture, you dropping to your knees.”<br/>Trump was joking about something that had already occurred. He wasn’t suggesting she get down on her knees or that it would be pretty if she did.<br/>Now maybe the joke was inappropriate. But Brande Roderick doesn’t think so. In fact she didn’t even remember it.",0.9377
23,"The continuing attention to the role of first lady is cringe-worthily reminiscent of monarchy worship.  We, too, need our queens and princesses, as evidenced by our continuing fascination with royal weddings and royal pregnancies and royal babies and royal maternity/infant fashion.<br/><br/> Does anybody really believe that the presidential spouse functions as anything more than a retro P.R. royal to charm and appease the masses? Like any aristocrat/celebrity, she has a huge staff to perform such odious tasks as invitation-writing, flower-arranging and speech-writing.<br/><br/>And first ladies also act as diversions from unpopular, corrupt administrations. They engage in such heartwarming and attention-getting initiatives as reading, healthy foods and supporting the troops while their hubbies wage their misbegotten wars and shill for job-destroying trade deals. Laura Bush, for one, remained beloved throughout her White House tenure, despite her marriage to a guy whom many have judged to be the worst president ever (though now that he's been out of power awhile, his popularity is starting to strangely rise. So much for the memory skills of the American people.)<br/><br/>The media doesn't help either, with its insipid portrayal of first ladies as mannequins. From Hillary's hairstyles to Michelle's bangs and blowouts, these women do not so much influence as they ""stun"" and ""wow"" in their designer clothes.<br/><br/>First ladies, wittingly or not, serve mainly to aid and abet an oligarchic power structure.",0.9365
24,@Nomad -you have no sense of humor? The ability to laugh at ones self is a great thing. The joke was both unexpected and funny.,0.9325
25,"Mike Judge and Alec Berg explain why Richard is such a tool and why Pied Piper seems to find ways to snatch defeat from every jaw of victory it encounters in an interview with Emily Chang in Bloomberg's Studio 1.0. It is an interesting 30min or so.<br/><br/>The reason Richard has to be such a tool is so Pied Piper will actually have to struggle, which makes for better comedy and more interesting situations. If Richard were brilliant at everything and everyone saw it and showered him with money and Pied Piper went on to be a great success it would be a lousy show, wouldn't it? Who would watch it?",0.932
26,"When we are entertained we learn; without even knowing it.  its how good teachers work well with young children.  Their comedy was simply meant to enlighten us, and then we must decide to act or not to act.  most of his audience is intelligent enough to know that the laughter helps to swallow the medicine of truth, because it is often so ugly and nasty tasting.  ",0.9259
27,"When we are entertained we learn; without even knowing it.  its how good teachers work well with young children.  Their comedy was simply meant to enlighten us, and then we must decide to act or not to act.  most of his audience is intelligent enough to know that the laughter helps to swallow the medicine of truth, because it is often so ugly and nasty tasting.  ",0.9259
28,"Maureen... Good for you, getting paid for froth, a souffle of emptiness, a thin broth of nothingness, an empty bouteille of air. Like St#@!x*s ""cappuccino"" - when you stir it there's nothing there. You are achieving beyond the wildest dreams of a retired Greek train driver or hairdresser, happily reaping far more than you ever sowed. Those funny foreign French who can't even pronounce Sean Penn's name correctly, that ""celebrity"" who is dining out on a dress, dead pop ""stars"", all mingled together in a cheery journalistic ""bouillabaisse"" - they all celebrate your wit!",0.9258
29,"Since Brian Williams did NOT embellish nightly news  with exaggerations and self  aggrandizing, and did only on entertainment shows with other buffoons, HE SHOULD NOT HAVE BEEN FIRED. He must be brought back to work alongside Mr. Holt, who is doing a great job himself. ABC's Muir is no challenge to the gentle demeanor of Williams as well as Holt. Muir seems to be in such a hurry to spit out whatever, and makes me wonder if he has ants in his pants or forgot to go to toilet before sitting down to read the news. Also Muir thinks he is the news unlike Holt. Somebody should remind him, even Uncle Walter was a news reader.",0.9255
30,"No one in media is remotely as brilliant and imaginative as Stephen Colbert.  Commonly accepted wisdom is that he sold out by going to ""The Late Show,"" but he may well surprise us by reinventing it. I certainly hope so.",0.9246
31,"@sfdphd:  We know he's not the Colbert character (and, oh, how I miss Colbert every day) and I can't wait to see how he transforms into a different format.  He's so creative, so smart, his interviews are so tremendous, he can sing, dance, act, so tremendously funny.  He makes the world a whole lot better just walking around in it.",0.9236
32,"As much as I love and admire Jon Stewart, and enjoy his critiques of news media - especially CNN - I still think this particular anecdote is unfair to CNN. John King interviewed Jon Kyle live, whereas Jon Stewart critiqued the interview after the fact, with the benefit of substantial staff research. King did not know in advance what Kyle would say, so that he could send staff researchers off to look into it.<br/><br/>That distinction illustrates a much more serious flaw in conventional news presentation that Jon Stewart demonstrated almost every night. CNN and other participants in the 24/7 news cycle are obsessively focused on delivering viewers the absolutely newest breaking news. Once the Kyle interview was done, it was likely never mentioned on CNN again.<br/><br/>The Daily Show, on the other hand, is not live, but taped, and not 24/7 but just 88 minutes a week. Stewart is not, and could not possibly be, in competition with the 24/7 outlets to deliver the latest tidbit of alleged information. Stewart is able to research that tidbit, consider its history and context, and develop a considered - and almost always hilarious - analysis of it.<br/><br/>What 24/7 news outlets can learn from Jon Stewart is that most of the time, the absolutely newest factoid is not really important, and CNN could more profitably spend much of its time reflecting on things that happened earlier this week, and not always focus on what happened earlier this minute.<br/><br/><a href=""http://politicsbyeccehomo.wordpress.com"" title=""politicsbyeccehomo.wordpress.com"" target=""_blank"">politicsbyeccehomo.wordpress.com</a>",0.9226
33,"Such a fun show, such a great cast, it should not be allowed to close.  ""Gigi"" closes, ""The Visit"" closes, and, now, ""It Shoulda Been You"" closes.  Broadway is so merciless - and so wrongheaded.  God forbid, anything excepitonal should be there to entertain - and enlighten - us.",0.9155
34,"I'm with Roger Ebert.  I always loved his reviews because he not only knew films, but he cared about their impact on the larger cultural community.  He was a real humanist, which I loved about him.",0.91
