,comments,scores
0,"Monies created by the state and not some private corp (bank), is there for the state to use.  The major care the state must be aware of is the horde of money changers who would without doubt prey on the state's new currency.... but in the end, the value of the  created money is all about the worth of the trust of the state's people.   The Greek people have demonstrated that they are indeed a great industrious people and worthy of our trust.",0.9842
1,"The sanctimonious egalitarianism you and the Times show the transgendered is as bad as open hostility.  Some people mock them, but they are honest.  You are nice, and you perpetuate lies.  I choose to treat people as I would treat my loved ones.  With love and the truth.",0.9728
2,"The principles of the Public Trust outlined by the For Love of Water organization could be the most important element in this entire article: <a href=""http://flowforwater.org/public-trust-solutions/public-trust-principles/"" title=""http://flowforwater.org/public-trust-solutions/public-trust-principles/"" target=""_blank"">http://flowforwater.org/public-trust-solutions/public-trust-principles/</a><br/><br/>Kudos and heartfelt thanks to environmental lawyer Jim Olson, founder and president of FLOW, for his tireless labor on behalf of the Great Lakes and the Great Lakes Compact. I hope more people become aware of FLOW, but even more importantly, of our rights as human beings expressed by the legal framework of the Public Trust.",0.9724
3,"""Contrition and responsibility?"" The guy spent 22 years in jail!<br/><br/>Your insensitivity is astounding. Yes, he sold drugs, but maybe if America hadn't abandoned its African-Americans and inner cities and provided some of that ""opportunity"" the Republicans love to talk about so much, he might have found a better career path.",0.9434
4,"""It Doesn't Matter"".  I""ve heard this quoted often by detached and yet sympathetic obeservers of this story. The statement is meant to be an anything goes as long as your happy I'm happy statement of semi-support. When it's your little girl who is trapped in the lie that is GID then it does matter. A whole lot!   So please educate yourselves to the psychiatric issue and mental illness which is GID. Because by you saying it doesn't matter affects my little girl who will start to believe that it truly doesn't matter that she is going to irreversibly destroy her God given beautiful gift which is called the female sex. ",0.9431
5,"Why did she have to lie about her race? IF her intent was to be an advocate for social justice and peaceful change, then couldn't she have done that effectively as a white woman? You cannot simply adopt a racial identity because you ""identify"" with that race, that's plain and simple dishonest. Effective leadership is first and foremost about being authentic and she lacked that quality. <br/><br/>She's probably been living in constant fear of the truth being revealed, thanks to her parents she's been exposed as the fraud and phony that she really is. The fact that she's been living a lie for decades and has been actively trying to conceal her background, speaks more about her own inner personal demons and turmoil than anything else. At some point hopefully she can start living as who she really is now that this is out in the open. Good luck to her, it's going to be a long, rough road back to normal. ",0.9192
6,"NOBODY but Christie, in either party, has EVER stood up to the lies and deceit and outright thievery of public school teacher's unions.<br/><br/>When I saw that clip, I had tears of joy in my eyes -- because he spoke the truth to power. (The teacher's unions are the most powerful and wealthy unions in the country.)<br/><br/>He's my hero.",0.9069
7,"True, you can prove anything with statistics. Which means you just believe what you want to believe.<br/><br/>I'm curious if when you post comments on your radical right wing blogs you include citations to web sites. These would of course offer 'proof' of the truth of your beliefs. But you won't bother to check in to the credentials and credibility of the people who wrote this article why? Because you don't agree with them. That clearly means they're slanted toward the left.<br/><br/>Unfortunately for you the truth slants toward the left.",0.867
8,"Give the man a break. I have exaggerated things I have done before to make myself look better, or to get a laugh sat a party. I suspect we all have. Even so, I consider myself a truthful person and would not go so far as to call my exaggerations lies. Embellishments, yes. Lies sounds unnecessarily harsh. The man has been brought down by a culture that seems poised to play gotcha at every turn. Let he who has never exaggerated his exploits cast the first stone. ",0.8442
9,"Jon Stewart was an avatar of Socrates, the wisest man in Athens because he knew he did not know.  But Jon, like Socrates, knew enough to demonstrate that others who thought they knew didnt.  Socrates claimed to know nothing, and Jon claimed to be just a comedian.  The reality was very different, multidimensional and absurd.  ",0.8271
