,comments,scores
0,"""Supreme Court Ruling Makes Same-Sex Marriage a Right Nationwide""<br/>June 26, 2015<br/>By: Adam Liptak<br/><a href=""http://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html"" title=""http://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html"" target=""_blank"">http://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html</a><br/><br/>I found this article interesting because it is the first time in the United States to allow same- sex marriages. In this article, it stated that the Supreme Court ruled 5-4 to allow same- sex marriages. Only about fifteen years ago, no one would have thought that same- sex marriage would be possible to do. Now in 2015, any race or gender can marriage whoever they want. This is a turning point in the society. People, who couldn't marry the same gender, now have the freedom to marry. In my opinion, I believe that the Supreme Court made the right decision by allowing same- sex marriages in the United States. The United States of America is known for the land of freedom so by legalizing same- sex marriages; it's living up to it's name. If the Supreme Court denied rights for same- sex marriages, then practically they are denying rights for people in the gay rights movement. This decision made by the Supreme Court will change the future of the whole world. Now, other countries might legalize same- sex marriages by following what the United States did. Same- sex marriages should be legal to do anywhere on Earth. By the decision the Supreme Court made, they gave hope for people who couldn't marry because they were different from others. Same- sex marriages is now free for anyone in the United States.         ",0.9939
1,"This is a great day not just for gay people but for all free women and men who want their marriages to be based on love rather than the biological imperative of reproduction. The Supreme Court has just sided with Shakespeare who said ""let us not to marriage of true minds/admit impediment"".  It does not matter what bodies these minds are housed in; it does not matter whether these bodies are capable of, or interested in, producing offspring. All animals reproduce; marriage is a human institution. And in a free society, this institution celebrarates our unique human capacity to find fulfillment in another human being.",0.9882
2,"""A Profound Ruling Delivers Justice on Gay Marriage""<br/>	A very interesting article this week was “A Profound Ruling Delivers Justice on Gay Marriage” written by the Editorial Board. This article is very pro-same-sex marriage and allows the readers to see how quickly the Supreme Court decision on legalizing same-sex marriage in all states has affected many. It persuades the reader to think that this decision represents the majority of Americans. This is backed up as fact since the author added convincing statistics saying how “marriage is legal in 36 states and the District of Columbia” and that it “represents more than 70 percent of all Americans.” Also, it compares it to other Supreme Court cases that have made big impacts on American history such as Dred Scott v. Sandford which puts into perspective the importance of this decision. The author used these facts to strengthen their opinion presented in the article. Though some groups may feel left out when the article refers to only “gays and lesbians” because there are many people of  other sexualities (bisexual, pansexual, etc.) that this affects. The decision seems to have erased other sexualities other than gays and lesbians, according to this article, which is the weak point in this article. other than that, the article has a clear argument that agrees with the Supreme Court’s decision.",0.9778
3,"I am a devout, practicing Christian.<br/>It makes me so terribly sad that people who claim to be Christians don't understand three things that are fundamental to the issue.<br/>1) Jesus Christ said ""Love thy neighbor as thyself"". In other words, God made everyone, God loves everyone, and so should you.<br/>2) In nature, about 10% of everything, plants, animals, fish, whatever, are ""homosexual"". Which is about the same ratio as gay humans, according to many studies.<br/>3) Gay marriages are more stable than straight marriages, and the children raised in same sex households tend to thrive. Those of us who are straight could learn a lot from the examples commitment and stability gay marriage provides.<br/>So what is the  point in getting all upset about some manufactured moral position that has no basis in spirituality, religious faith or nature? <br/><br/>Very personally, one of my dearest friends, a woman who was happily married to a man for many years, widowed, and has several children (both her own and adopted) and was alone for many years, just told me she is now engaged to her (female) life partner. I am thrilled for her, for them both. They love each other very much, and they just want to be married. <br/><br/>Nobody has the right to steal or interfere with anyone's happiness. It's guaranteed in the US Constitution and is the most basic of human rights.<br/><br/>My fellow Christians who have trouble with gay people: Get over it. Read your bibles. Remember what Christ said. Be supportive or shut up.",0.977
4,"The engagement party, bachelor party, bachelorette party,bridal party,rehearsal dinner,actual wedding reception,and post wedding brunch! Whew! Where does the money come from to pay for all these parties? I am a baby boomer who was married in 1984(and divorced in 2010) All we had was a wedding reception and a honey moon which we could barely afford. It appears everyone planning their wedding today must have annual incomes close to seven figures. Even so, instead of spending all their money on the wedding, dosen't it make more sense to use that money to buy a marital residence? And be sure to have a pre-nuptial agreement and save money for the divorce lawyers in case your marriage does not last ""till death do you part""! The last time I checked,50% of marriages still end in divorce!",0.9722
5,"Actually, the great thing is that we don't have to (reproduce, that is).  Straight people (and, to be accurate, also some gay people) are doing a bang-up job of producing gay people already, and there's no sign that that will stop.  Maybe they'll even do a better job of raising us now.  I love Darwinism, too, and have a great deal of respect for (and delight in) its sometimes counterintuitive results.",0.9674
6,"This letter is a big shout-out for Planned Parenthood!!  Although I am way beyond childbearing, Planned Parenthood has provided support and services on so many occasions in so many places, even while I was still a student.  I am the mother of a wonderful and wise young man, indirectly because of the support that I received from Planned Parenthood at the right times--they are accessible and budget-friendly (more than you can say about health care in the US, past and present).  The personnel are empowering--I have learned much about myself through them.<br/>I invite the bashers to take a stroll down memory lane to understand what reproductive services were like in the US before Roe v Wade, when only women with a large wallet or a cooperative physician would help them get the reproductive services that they needed.<br/>Sometimes I don't know if we are moving forward or backward.",0.9674
7,"If only you could be other than a white male for a day, Chris! Your blithe assertion that ""equal rights fully exist now"" is belied every day, every hour, every minute, by the experiences of those who are not heterosexual white males.<br/>Equal right do not exist for women, for African Americans, for Hispanics (whatever their birth status), for the handicapped, for the poor, and certainly not for the GLBT community.<br/>Marriage as a civil, legal, state-approved relationship has nothing to do with your god or your judgment; it is a contractual right between people who choose whom to wed and for their own purpose and reason--whether to be parents, or to enjoy the security of established companionship, or the bliss of romance, or simply the one-thousand-and-one legal and financial benefits bestowed on those who are married and that are unavailable to those who are not.<br/>Like so many, you know not of what you speak.",0.9606
8,"I have been arguing for years that prostitution (now called sex trade) should be decriminalized both will respect to the seller and with respect to the buyer.  The only interest that the state has in these transactions is with respect to health and disease related to both parties.  For instance, condoms should be required.  Regular health testing should be required.  Active consent should be required.  For those who have no other sexual outlet and want sex as a physical release the purchase of sexual favours is important to mental and physical health.  Spare me the morals.  The sex trade has been around for eons.  ",0.9538
9,"Do you really believe that President Kennedy would have approved of abortion on demand and gay marriage? Perhaps I am wrong but I don't recall  him advocating for those two issues. Everyone's character is made up values and convictions which have to come from somewhere. Should we search for presidential candidates whose values were formed from just the study of philosophy or , perhaps, reading the NYTimes religiously? Many people have a strong faith after years of study and it becomes the guiding light in their lives and cannot be separated from their whole being.",0.9452
