,comments,scores
0,"Such ""resume"" mentioned in the passage has really targetted what our Asian parents are thinking: they are always enrolling in those activities such as, looking for the best school in the city for their children to go to, registering for the renowned cram schools for their children to review what they have learned, or even schedule for children's summertime.<br/>I dislike this idea, though. My mom either. We both think that life is not only about schoolwork; instead, it is about things more! Such as, painting, going on a trip, watching movies, or even making some new friends. It is these elements combined and form our life.<br/>Unlike my friends, going abroad, joining camps, and hanging out in malls, I am going to prepare for the SAT test this summer. I know it will be tough for me, but, this is the road I am willing to take, and this is what I have been asking for since I have my dream of studying abroad. I see this test as a challenge, so that it seems like a game to me. For Asians to gain high scores on SAT, it is somewhat ""dehydrating"", especially the writing section. However, I am planning to conquer it, as it is on the path I am walking on.<br/>Also, I am planning to spend some time sketching and oil painting. I want to fine my skills. After painting all the works, I want to decorate my room with the works to give my room a brand-new look.<br/>This is my summer plan. Intense but satisfying, busy but relaxing. I love it, and hopefully will enjoy it a lot.",0.9919
1,"Well geez.  If they decide we*ve all got to go back to Grandma*s country now because every place we live really belongs to somebody else*s grandchildren, who the hell*s gonna vote for *em?<br/><br/>As many commenters have already noted, here come the re-education camps, in spades.<br/><br/>So this is how you*re gonna keep the White House?  We*re supposed to ignore the truly astounding degree of venality that is Hillary*s defining characteristic, but pretend we were founded by--oops, NOBODY left on the safe list?  Guess we*re all gonna have to give up Presidents Day as a holiday now, kids.  Oh well, we need to clock more hours anyway...<br/><br/>It would be funny, if it wasn't the death knell of our democracy small d.",0.967
2,"These issues are so unconnected that it is silly. I don't know anyone who ""binges"" at happy hours in my state, where we certainly have them -- it's just cheaper drinks and food for a few hours to lure customers in. If anything, it makes us *more* likely to consume and *less* likely to get drunk.<br/><br/>Also, happy hours often take place in cities, like mine, where afterwards everyone either walks home or takes public transportation home. If this isn't possible in your community: build some public transportation. And teach your friends good drinking manners so they don't get drunk at 6pm in the evening -- who does that?! And it will be fine. Banning is puritanical and entirely illogical, unnecessary.",0.9663
3,"I've never enjoyed working for someone. I think it goes far deeper than this article talks about. I tend to be a bit of a misanthrope + introvert. I work for myself now and do well with what I do with almost zero interactions with people. Last week, my interactions were outside of work; buying groceries pretty much. I work when I want. I suppose what would make me enjoy a work environment more is less extroversion, less meetings - send an email. Let me work from home (in most cases this is possible.) I really do not like coming into a work place and seeing the bosses or coworkers face. I don't hate them, just..ugh..people. Cheerful talkative people..who keep the thermostat way too warm (I keep my home at 50 degrees.) Add the commute and the first thing to deal with is a meeting. I don't think I'm going back to working for someone. What I do I make enough without making me miserable. <br/><br/>The dream for me I suppose is when all jobs are automated. A basic minimum income is devised in some form that is sustainable budget wise. Use that money to keep going to school, to invest or trade with. Start your own business, do whatever. For me, the ideal would be everyone gets 2 PhDs. No one would really work..but would be rather intelligent. Some say school is not for everyone, but then again work is not for everyone either; we seem to push it despite that. If done well, it'll be glorious the day with automation eliminates most of the jobs out there and a bmi is developed.",0.9605
4,"""You put four children through high school, and you find yourself reflecting""<br/><br/>Three for me, at the same point just now.<br/><br/>I disagree somewhat. Yes, application to the task at hand and hard work are vital to happiness. <br/><br/>However, one must balance that by looking up from the grinding wheel to see a longer view. Otherwise, one can grind away and get nowhere, not happy either.<br/><br/>Also, one must work to live, not live to work. Happiness is in the living, not the working. It includes work, and hard work, and paying attention doing that work. It also includes much more, a more that is at least as important to real happiness.",0.9551
5,"Summertime. The living’s easy. With the help of air-conditioning, that is. The experience of blistering heat &amp; eagerness to find shade are no joke these days. Where can one truly escape the heat? Indoors. It’s a relief to be in a welcoming building after sun exposure. However, indoor temperatures can be drastically different from how it is outside. Yes, we do have the A/C too high at times. It’s preposterous to think that people &amp; myself complain about how cold it is inside when it’s the exact opposite if stepped foot outside. If it’s that cold, why don’t they turn it down a notch? The reason why is that people see it as a sense of “power.” I've noticed that shops have various climates. This represents my belief that cooler indoor climates exemplifies a sign of luxury. Study shows the public building settings are based off of men’s higher metabolism rates. Complaints are heard mostly from women &amp; it'd be more pleasing if they adjusted temperatures. The A/C effects people environmental &amp; money wise. The majority of them during this time of year tend to be dependent on it to the point where it's on the entire day. Is it necessary to use the A/C immensely? No. Even though it’s evident that the dreadful heat can’t withstand somebody’s tolerance, there are alternatives. From the article, it implies society should learn how to save cash &amp; energy. Sure, people have the option to sacrifice a few bills from time to time on the A/C if they please. But the issue is some take advantage.",0.9488
6,"So I have to admit that I couldn't bring myself to turn on the happy hour or prime time debate. I watched all of them the last time around. I have kept up with all the coverage of the various players, too numerous to even keep track of, and just had better things to do, like taking a nap, so that I could stay up to watch Jon Stewart sign off last night.  I won't get a chance to even consider voting for any of them until the actual election so what is the point?  Coverage this morning has filled me in on the low points of the evening.  What a great list of potential candidates!!! I just can't wait for November 2016. ",0.9231
7,I am grateful to these men for their service and sacrifice. We Americans can sleep a little easier at night knowing these men stand ready to protect us and do rough justice on our behalf. I tip my hat...,0.9187
8,"I was going to buy one, but I got wary from all my friends constantly saying “Don’t expect a coup de foudre."" Everywhere I went, morning to night, that's all I heard. Even the taxi driver told me, ""Madam, don't expect a coup de foudre."" When the guy selling me coffee at the diner said, ""Just don't expect a coup de foudre,"" that was the coup de grace of my dreams of coup de foudre.",0.9081
9,"I went to Greece after college twenty years ago, and was blown away.  The work schedule was remarkable, the amount of vacation was in months, not weeks.  People also retired very young and received pensions and government payments which made their living very comfortable.  I was sold, and very young and naive.<br/><br/>There is an important lesson here for the U.S., but I am afraid it will go widely unnoticed, and certainly unmentioned.<br/>It's actually very simple, like the story of the grasshopper and the ant we were all told as children.  You can't spend your life just lying in the sun and taking months off every year, then expecting to retire at 50-----it would be nice, but it just doesn't work here in the real world.<br/>At some point Greece has to accept their choices, and deal with the pain.  It is not the responsibility of other to pick up the tab now that their party is over.",0.9074
