,comments,scores
0,"The US is a 'socialist' country.    Capitalism itself is a form of 'top down socialism' that simply favors production over humans.    It does provide some natural elements of ""competition"", but in the end, it's natural tendency is towards monopoly.    Our founding father's were careful to repeatedly warn against the need to 'regulate human interest into capitalism', that is, to give it a heart, a brain, and the courage to face uncertainty and the lack of absolute control associated with the human condition..<br/><br/>The more familiar form of socialism sacrifices some or all of the benefits of pure animal behavior in order to serve the 'common good'.    It's a human thing that, without government, has no place in the objective world of 'pure capitalism'.    We socialize access to 'common goods' such as air, water, power, communications, transportation, education, and defense in order to guarantee a level of support for ALL members of society.    It's a winning socialist formula.<br/><br/>We don't do that out of the 'goodness of our heart', but out of our self interest in the protection and advancement of our society.    The 'bleeding hearts' among us recognize that the platform of civilization is built by we, the humans, and the 'stone hearts' among us would attribute the 'lions share' to themselves.    In the end, the lottery of human existence depends on a critical and focused mass of mutually supportive humans.    For now, at least, exceptionalism is an anomaly, not the norm.",0.9907
1,"The US is a 'socialist' country.    Capitalism itself is a form of 'top down socialism' that simply favors production over humans.    It does provide some natural elements of ""competition"", but in the end, it's natural tendency is towards monopoly.    Our founding father's were careful to repeatedly warn against the need to 'regulate human interest into capitalism', that is, to give it a heart, a brain, and the courage to face uncertainty and the lack of absolute control associated with the human condition..<br/><br/>The more familiar form of socialism sacrifices some or all of the benefits of pure animal behavior in order to serve the 'common good'.    It's a human thing that, without government, has no place in the objective world of 'pure capitalism'.    We socialize access to 'common goods' such as air, water, power, communications, transportation, education, and defense in order to guarantee a level of support for ALL members of society.    It's a winning socialist formula.<br/><br/>We don't do that out of the 'goodness of our heart', but out of our self interest in the protection and advancement of our society.    The 'bleeding hearts' among us recognize that the platform of civilization is built by we, the humans, and the 'stone hearts' among us would attribute the 'lions share' to themselves.    In the end, the lottery of human existence depends on a critical and focused mass of mutually supportive humans.    For now, at least, exceptionalism is an anomaly, not the norm.",0.9907
2,"Illuminating the Plight of Endangered Species<br/>The rate at which many species of animals are dying out at is alarming. Two men by the names of Louie Psihoyos, a photographer and Travis Threlkel, are using a large scale opportunity to call attention to the subject- projecting a film on the side of the Empire State Building. The pair is hopeful to ""Draw attention to the creature's plight and possibly provide footage for a coming documentary"" (Tom Roston). Their idea for a major light show came to life last Saturday where they used 40 projectors to play a powerful short film on the south face of the building. The two film makers attempted to do the most they could to let the world know what they are losing. It is a truly inspiring feat. Not only are these men doing light shows to raise awareness, but Louie Psihoyos has directed the Oscar winning documentary 'The Cove'. It focuses on slaughtering of dolphins in Japan. The work these activists have done is truly inspirational. Especially with all the news coverage of Cecil the Lion's killing, it is the perfect time to start focusing more on problems like this. I am drawn to this subject because endangered species are extremely venerable and I believe everyone can do something to help. More extinctions can and will happen if people do not focus on it. If more people take the time to think about problems like this in the world, it can be a better place for us, and our animal companions.   ",0.9778
3,"There is an important ongoing discussion about this notion, centered in part on the <a href=""http://www.grandin.com/references/humane.slaughter.html"">work of Temple Grandin</a> and on the notion of developing technologies for <a href=""http://dotearth.blogs.nytimes.com/2008/04/11/can-people-have-meat-and-a-planet-too/?smid=tw-share"">having meat without livestock</a> (I'm a big fan of this effort; see ""<a href=""http://dotearth.blogs.nytimes.com/2011/05/16/meat-without-slaughter/"">Meat Without Slaughter</a>"").<br/><br/>I have good friends who are strict vegetarians for ethical reasons, others who carefully raise beef cattle for eventual slaughter and others who are avid bow and firearm hunters. I personally don't see a clear right or wrong in this arena, but I do understand the strong passions of people engaged around this question.<br/><br/>I encourage anyone interested in this question to read this piece in Modern Farmer: ""<a href=""http://modernfarmer.com/2013/04/this-is-what-humane-slaughter-looks-like-is-it-good-enough"">This is what humane slaughter looks like - is it good enough?</a>""",0.9765
4,"Mr Nzou,   decent people everywhere are outraged over this lions death.   It is NOT ok to kill an innocent animal for fun, for sport. That is obscene and monstrous<br/>Cecil was minding his own business, going about his own life, enjoying passing his days with his pride, raising and protecting his family.  He was not ready to die or be tortured.<br/> The lion did not  harm people nor eat peoples food, and many Africians looked at him as an icon.  Walter Palmer is not Africian yet  he flew half way around the world to kill a gloriously alive animal he didn't even know, that was not even bothering him. Cecil was not in Palmer's backyard &amp; and  Palmer didn't belong in Cecils backyard if he intended him harm.<br/>Finally, you don't know me or many Americans so please don't speak for me and make the ridiculous statement that Americans care more about animals than people. Caring for both is a no brainer for decent people.  You don't have to choose! Animals and children have no power, no voice.  Both need our protection.<br/><br/>People who see no horror in the slaughter or torture of animals for pleasure, fun, ""sport"" are like V123 observed ""without hearts, souls &amp; without shame...who abuse (or annilate) others for their own gain""<br/>Mr Palmer needs extradited to Zimbawbe to answer for what he did.",0.9723
5,"Much praise to the two human beings that put themselves in harms way to stop a heinous act. This is an awesome act of human bravery and courage to save other human beings. It transcends countries and borders... people looking out and caring for other people. With such ugliness and awful things happening in the world, keep faith in humanity, as there is always acts of compassion and good deeds going on world-wide. Bravo and thank you good people!",0.9712
6,"Sometimes living life at the fullest is not risking it, but being willing to do the mundane ordinary things, like getting married, raising kids, going to work, buying a house, and paying one's fair share of taxes day in and day out.  Dropping out is easy.<br/><br/>To be willing to fight for one's precious life even in the face of a diagnosis of cancer; in the face of bodily and cognitive decline.  To get up day after day and schlep to some job you hate, so your kid can go to college and have a better life, to face another day of taking care of your incontinent parent, or making the decision to finally give the okay to pull the plug - that's courage.  <br/><br/>Brave is not someone so afraid of living and life that they would rather risk such a precious finite gift every single day.  And for what?   Proof of what? Proof that they cared so little for their own well-being?  Being so careless of the feelings of the people who loved them (and the ones that will end up having risk their lives to retrieve them)?<br/><br/>They were adults and did what they wanted to do.  Good for them.  I feel for the dog, the girl/boy-friends, and, most of all, the parents they selfishly left behind.<br/><br/>Since when is risking ones life needlessly and carelessly living life to the fullest?  Who created that definition?  I think that meme came about from the survivors, who, so piteously desperate to assuage their grief, had to find some way to justify their senseless loss.  ",0.9559
7,"Listening and asking ""How can I help?"" is of course the best and the most compassionate response to anyone in need, and the response that most of us long for. America used to be a far more compassionate society.  That compassion needs to be restored.",0.9484
8,"Hello Dr. Sachs, <br/><br/>We in our family, and like so many others are both saddened to hear of your current situation and of course, very impressed and humbled by your acceptance and your embracing of this final chapter of your life. <br/><br/>A number of years ago, after a lecture on Human Evolution that you had just given at Montclair State University, I asked you whether or not, you had seen any recent evidence of current human evolution and you were somewhat stumped as to offer a strong example. I should not have worried, as you and your ever present zest for life is as good an example of on-going Human Evolution as there ever was. <br/><br/>Please keep your spirits up and continue writing as long as possible. And, please continue to introduce us all to newer forms of Humanity and Human Evolution, as that is your’s and everyone else’s mission in life.",0.9347
9,"Veganism is historically rooted in ethics. The word vegan was coined in 1944 by a British guy named Donald Watson who was concerned by how humans were treating other members of the animal kingdom, which also includes insects by the way (the latter is why vegans don't use honey, beeswax, silk and carmine or intentionally participate in entomophagy). Look up the history of the word vegan. <br/><br/>You may be confused by the fact that some 70 years later there is now more than one kind of person who calls themselves vegan. There are health vegans, formerly called dietary vegans, who are only concerned about their own health. The moral imperatives of health vegans will not be rooted in compassion for animals. What they call a vegan diet is actually simply a plant-based diet, because veganism is about compassion for animals first and everything else is a derived postulate from that. They have misunderstood the meaning of the word vegan as it was originally defined.<br/><br/>Vegans who follow the original intent of Donald Watson are also called ethical vegans. Many ethical vegans started out first as health vegans and later evolved to become ethical vegans.",0.926
