0,american,america,country,history,flag,culture,south,nation,fight,people
1,school,work,high,education,student,college,class,job,good,teacher
2,care,abortion,drug,doctor,medical,patient,die,life,health,risk
3,year,time,long,ago,happen,lose,back,start,month,end
4,give,stop,hand,happen,put,back,turn,leave,force,line
5,black,white,gun,police,kill,crime,shoot,race,criminal,murder
6,law,rule,decision,case,court,legal,act,freedom,religion,religious
7,fact,point,conservative,liberal,claim,base,argument,view,side,wrong
8,state,government,citizen,public,vote,national,interest,control,federal,power
9,article,read,time,comment,write,story,news,report,medium,nyt
10,republican,president,trump,party,candidate,vote,obama,gop,democrat,run
11,time,day,guy,talk,give,thing,long,week,call,hour
12,population,science,number,datum,earth,rise,effect,increase,scientist,power
13,woman,man,sex,feel,male,girl,female,person,wear,make
14,question,issue,answer,understand,human,group,individual,race,matter,important
15,people,make,good,thing,bad,wrong,lot,feel,idea,sense
16,war,deal,iran,country,military,iraq,israel,isis,russia,world
17,live,city,place,drive,home,move,car,house,build,area
18,show,aos,watch,aot,ai,tv,movie,character,love,great
19,food,water,eat,animal,human,make,grow,kill,good,dog
20,good,play,great,big,game,run,team,make,sport,player
21,greece,money,greek,debt,economy,country,economic,government,europe,bank
22,child,life,family,live,parent,kid,love,friend,young,bear
23,call,lie,speak,word,fear,truth,hear,hate,respect,comment
24,problem,world,change,real,system,country,create,good,solution,society
25,pay,money,tax,cost,low,benefit,high,rich,income,increase
26,work,job,business,company,worker,employee,sell,corporation,market,free
