0,state,law,rule,case,court,legal,decision,citizen,require,constitution
1,fact,race,lie,claim,base,group,person,true,truth,identify
2,read,article,write,comment,time,story,book,piece,nyt,author
3,work,time,hard,good,find,make,lot,amazon,part,place
4,br,dear,sic,lefty_liberal,kalidan,gt,ergo,albert_einstein,gt_gt,ter
5,child,family,parent,kid,life,friend,young,live,age,home
6,experience,person,understand,feel,culture,life,personal,mind,individual,behavior
7,republican,trump,vote,candidate,party,democrat,gop,election,voter,president
8,government,president,obama,congress,power,support,public,interest,politician,bill
9,science,number,study,show,datum,research,climate,scientist,year,evidence
10,gun,control,kill,people,fear,act,stop,carry,violence,attack
11,lose,end,hope,leave,move,back,great,bring,turn,time
12,make,good,bad,thing,idea,choice,give,decision,point,sense
13,year,time,day,ago,long,week,month,hour,back,early
14,political,conservative,liberal,medium,support,policy,politic,anti,wing,leave
15,br,amp,http_www,target,href_http,title,article,news,www,http
16,guy,big,head,run,face,real,talk,thing,stupid,folk
17,black,white,police,crime,criminal,officer,community,cop,prison,case
18,people,thing,live,make,feel,lot,understand,talk,kind,change
19,food,eat,add,make,exercise,drink,healthy,weight,recipe,fat
20,american,country,america,world,nation,citizen,usa,african,immigrant,united_state
21,market,china,economic,economy,price,rate,free,growth,low,trade
22,problem,poor,system,society,people,rich,create,solution,social,class
23,religious,religion,freedom,world,church,christian,god,group,moral,belief
24,woman,man,abortion,sex,male,female,girl,wear,gender,young
25,school,student,high,college,education,public,teacher,learn,teach,university
26,pay,money,tax,government,cost,income,spend,dollar,fund,benefit
27,job,business,company,worker,pay,work,employee,profit,wage,corporation
28,give,happen,stop,wrong,time,call,line,put,hand,thing
29,show,watch,love,movie,tv,character,great,music,enjoy,art
30,word,speak,hear,call,show,mr,comment,speech,talk,voice
31,city,car,live,drive,area,home,place,house,build,move
32,greece,greek,debt,bank,country,money,germany,government,europe,german
33,issue,question,point,answer,agree,argument,fact,important,matter,reason
34,war,iran,deal,military,israel,iraq,isis,russia,nuclear,fight
35,play,game,team,sport,great,world,player,good,win,run
36,water,energy,land,grow,oil,produce,california,power,clean,resource
37,change,term,long,result,fail,lead,failure,process,effort,future
38,life,human,live,world,die,kill,death,animal,save,dog
39,state,history,flag,war,south,fight,slavery,racist,civil,today
40,care,health,insurance,medical,patient,doctor,drug,treatment,cost,healthcare
41,information,service,free,security,internet,check,send,call,phone,technology
