0,change,society,mind,accept,pretty,reality,common,false,guess,point
1,woman,line,work,face,gun,man,antibiotic,apparently,talk,ignore
2,child,parent,refuse,contract,immunization,add,play,preventable,infectious_diseas,sad
3,vaccine,shot,recommend,schedule,side_effect,administer,cdc,site,develop,receive
4,child,vaccinate,reason,young,pediatrician,family,delay,room,longer,ca
5,virus,immunity,expose,infection,antibody,immune,birth,occur,bacteria,future
6,vaccine,reaction,injury,court,damage,manufacturer,injure,sue,pay,mention
7,safe,prove,effective,harm,product,buy,medication,freedom,show,promote
8,disease,vaccine,prevent,due,spread,decline,easily,smallpox,death,outbreak
9,good,reason,dangerous,allergy,side,friend,logic,health,fine,idea
10,health,care,pay,cost,program,insurance,medical,include,service,private
11,make,comment,argument,single,ignorance,good,involve,internet,easy,nyt
12,vaccination,disease,illness,epidemic,population,childhood,effect,prevent,question,clear
13,school,home,test,require,sick,vaccinate,opt,vaccination,stay,teach
14,vaccine,doctor,year,week,boy,explain,convince,diagnose,son,fever
15,vaccine,safety,question,completely,educate,raise,ingredient,nvic,dear,frank_bruni
16,article,study,medical,author,datum,publish,journal,information,conclusion,review
17,food,eat,process,diet,chemical,avoid,sort,suggest,refuse,afraid
18,people,kill,million,drive,work,car,lose,happen,live,worry
19,cdc,statement,report,mmr,document,cover,thompson,merck,fact,regard
20,law,california,state,protect,pass,mandate,reason,personal,belief,healthy
21,drug,medicine,company,market,profit,cure,money,big_pharma,pay,industry
22,work,hope,thing,bring,american,check,immigrant,cough,folk,threat
23,long,hold,opinion,hard,matter,attack,follow,end,campaign,instance
24,kid,parent,vaccinate,low,vaccinated,choose,house,grow,freedom,disagree
25,measl,unvaccinated,measle,case,vaccinated,vaccinate,pertussis,outbreak,rare,percentage
26,die,death,family,remember,kill,watch,thousand,world,hour,wipe
27,thing,write,point,simply,record,affect,miss,hand,require,lot
28,issue,public_health,large,group,discussion,feel,important,part,subject,fear
29,anti_vaxxer,poor,conspiracy,claim,ignorant,vaccine,proof,effect,expect,ill
30,day,time,today,back,wrong,government,decade,result,totally,hundred
31,big,make,climate_change,time,oppose,trump,vote,warn,candidate,hate
32,people,great,learn,make,good,feel,job,decide,fall,interest
33,call,expert,scientific,column,brain,kennedy,position,real,bruni,frank
34,anti,gmo,science,crowd,nonsense,doubt,true,truth,generally,environmental
35,risk,put,vaccine,small,benefit,due,high,catch,worth,visit
36,force,fight,thing,war,religious,book,american,ai,religion,avoid
37,flu,pregnant_woman,pregnancy,http_www,influenza,death,fetal,flu_shot,study,dose
38,people,time,scientist,person,find,article,important,level,entire,tiny
39,vaccine,age,year,receive,concern,give,number,understand,concerned,compare
40,rate,world,country,vaccination,high,nation,realize,community,ignore,accord
41,medical,patient,treatment,physician,practice,order,treat,environment,care,community
42,public,bad,choice,idea,consequence,white,denier,policy,black,faith
43,government,provide,science,choose,individual,side,lead,state,lie,efficacy
44,leave,show,fact,issue,science,political,republican,news,base,solution
45,mercury,thimerosal,amount,form,fish,exposure,thimerosol,preservative,remove,dangerous
46,child,mother,give,suffer,daughter,shoot,month,sister,illness,pain
47,year,polio,africa,case,health,country,common,healthy,area,milestone
48,read,medium,fact,http_www,hear,bill,anti_vaxxer,information,natural,theory
49,vaccine,money,find,time,create,scientist,epidemic,article,dollar,topic
50,scientific,autism,anti,understand,present,vaccination,knowledge,lack,movement,answer
51,autism,study,link,mmr,autistic,evidence,increase,show,connection,spectrum
52,vaccinated,number,herd_immunity,protect,compromise,wait,fully,recently,high,hospital
53,vaccination,start,agree,piece,reader,trust,approach,provide,attempt,majority
54,vaccine,give,baby,aos,aot,pregnant,month,multiple,hep,massive
55,science,fact,evidence,base,real,point,support,class,protect,scientist
56,problem,make,stop,happen,spend,continue,love,find,interested,future
57,liberal,world,lead,deny,claim,kind,human,difference,wrong,rest
58,life,live,save,cost,heart,bear,offer,long,continue,employee
59,polio,disease,rubella,measl,childhood,shingle,whooping_cough,measles_mump,complication,diphtheria
60,immune_system,body,cell,develop,aluminum,infant,human,response,normal,immune_response
61,year,water,measure,control,exist,victim,condition,city,obvious,health
62,research,fact,history,speak,national,current,fail,post,date,term
63,adult,cancer,result,age,include,true,list,high,long_term,impossible
64,education,system,sell,american,support,america,open,dog,grow,virtually
